Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudohastigerina naguewichiensis,Chiloguembelina cubensis,Jenkinsella continuosa,Globigerinella obesa,Dentoglobigerina galavisi,Chiloguembelina martini,Comment
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,121, 753,A,  5,H,CC,  10.00,     43.3500,Waggoner ,Planktonic Foraminifers                      ,               ,                  ,                                 ,.3%                     ,1.8%                  ,1.6%                ,1.8%                     ,.3%                    ,from ODP Leg 121 SR Chapter 3 Table 3 p 94
,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,121, 753,A,  6,H, 3, 110.00,     47.7000,Waggoner ,Planktonic Foraminifers                      ,               ,                  ,1.6%                             ,                        ,                      ,                    ,                         ,                       ,from ODP Leg 121 SR Chapter 3 Table 3 p 94
,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,121, 753,A,  6,H,CC,  26.00,     53.6000,Waggoner ,Planktonic Foraminifers                      ,               ,                  ,                                 ,.3%                     ,                      ,                    ,                         ,                       ,from ODP Leg 121 SR Chapter 3 Table 3 p 94
,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,121, 753,A,  7,H,CC,  26.00,     63.2500,Waggoner ,Planktonic Foraminifers                      ,               ,                  ,1.6%                             ,.3%                     ,                      ,                    ,                         ,                       ,from ODP Leg 121 SR Chapter 3 Table 3 p 94
,,,,,,,,,,,,,,,,,,,,,,,
