Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],BF preservation,BF Group abundance,Agglutinated spp. (indeterminate),Adelosina dubia?,Alabamina spp.,Ammobaculites agglutinans,Ammobaculites spp.,Ammodiscus anguillae,Ammodiscus spp.,Ammodiscus tenuis,Ammolagena clavata,Ammonia beccarii,Ammoscalaria foliacea,Ammoscalaria tenuimargo,Amphicoryna scalaris,Amphicoryna spp.,Amphistegina spp,Angulogerina spp.,Anomalina spp.,Anomalinoides spp.,Articulina cf. tubulosa,Astacolus crepidulus,Astacolus spp.,Asterigerina planorbis,Asterigerinata sp.,Astrononion spp.,Awhea spp.,Bathysiphon filiformis,Bathysiphon spp.,Bigenerina nodosaria,Biloculinella sp.,Bolivina spp.,Bolivina cf. robusta,Bolivinita quadrilatera,Bolivina subaenariensis,Bolivina/Brizalina spp.,Brizalina spp.,Brizalina alata,Brizalina cf. difformis,Brizalina cf. dilatata,Brizalina dilatata,Brizalina earlandi,Brizalina spathulata,Brizalina striatula,Budashevaella multicamerata,Bulimina acanthia,Bulimina aculeata,Bulimina cf. alazanensis,Bulimina elongata,Bulimina gibba,Bulimina marginata,Bulimina spp.,Bulimina striata gr.,Bulimina striata mexicana,Bulimina striata striata,Buliminella elegantissima,BF Comment,File Data,eodp_id
339-U1387C-2R-CC-PAL-FORAM,339,U1387,C,2,2-CC,R,CC,PAL,FORAM,0,5,299.54,299.59,G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,R,,,,P,,,,,P,P,,,,,,da4e2bf6cb3be0ff988d4c5a8af627a5
339-U1387C-3R-CC-PAL-FORAM,339,U1387,C,3,3-CC,R,CC,PAL,FORAM,0,5,308.31,308.36,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,A,,,,,,R,,,,,,P,,,,,,84512ee54644b8249f15cebbc08b9485
339-U1387C-5R-CC-PAL-FORAM,339,U1387,C,5,5-CC,R,CC,PAL,FORAM,0,5,327.64,327.69,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,c25e67fa82eff7825150b56f060d3cb6
339-U1387C-7R-CC-PAL-FORAM,339,U1387,C,7,7-CC,R,CC,PAL,FORAM,0,5,346,346.05,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,P,,,,,R,P,R,,,,,,,,,,R,,,,,,58fac3413cc2e1fdc9fbdf361016006c
339-U1387C-9R-CC-PAL-FORAM,339,U1387,C,9,9-CC,R,CC,PAL,FORAM,0,5,365.2,365.25,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,R,,P,,,,,,d785306618954605ba7086a4f084acb7
339-U1387C-11R-CC-PAL-FORAM,339,U1387,C,11,11-CC,R,CC,PAL,FORAM,0,5,386.08,386.13,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,F,R,R,,,,P,,,,,,P,,,,,,e0a58ea6c798b7585e7805366a3c7ada
339-U1387C-13R-CC-PAL-FORAM,339,U1387,C,13,13-CC,R,CC,PAL,FORAM,0,5,404.86,404.91,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,R,,,,,,,,,,,,,,,P,,,3a8ef0afe14a5d512c2b67f93c13980a
339-U1387C-15R-CC-PAL-FORAM,339,U1387,C,15,15-CC,R,CC,PAL,FORAM,0,6,422.92,422.98,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,A,,,,,,A,,,,,,P,,,,,,7aca0a6a973017c1266af8e58fc17b2e
339-U1387C-17R-CC-PAL-FORAM,339,U1387,C,17,17-CC,R,CC,PAL,FORAM,0,5,436.81,436.86,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,D,,,,,,,,,,,,,,,,,,cdca0d90cb2beaf059f528cda2c90b2e
339-U1387C-18R-CC-PAL-FORAM,339,U1387,C,18,18-CC,R,CC,PAL,FORAM,0,5,452.57,452.62,M,A,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,R,,R,,,,,,a210aa321dbaff29f9ae67c3ac8f256a
