Exp,Site,Hole,"Core,    section",Top Depth [m],Bottom Depth [m],Abundance,Preservation,Actinocyclus curvatulus,Actinocyclus ochotensis,Actinoptychus senarius,Asteromphalus brookei,Aulacoseira spp.,Bacterosira fragilis,Chaetoceros furcellatum spores,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Cyclotella spp.,Cymbella spp.,Delphineis surirella,Delphineis kippae,Detonula confervacea,Diploneis spp.,Eunotia spp.,Fragilaria sp.,Fragilariopsis cylindrus,Fragilariopsis oceanica,Fraglariopsis spp.,Gomphonema spp.,Meridion spp.,Navicula spp.,Neodenticula seminae,Nitzschia spp.,Odontella aurita,Paralia sulcata,Pinnularia spp.,Porosira glacialis,Proboscia barboi,Proboscia curvirostris,Paralia sol,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. hiemalis,Rhizosolenia hebetata f. semispina,Rhizosolenia spp.,Thalassionema nitzschioides,Thalassiosira antarctica spores,Thalassiosira eccentrica,Thalassiosira cf. leptopus,Thalassiosira gravida,Thalassiosira hyalina,Thalassiosira jouseae,Thalassiosira latimarginata,Thalassiosira leptopus,Thalassiosira nordenskioeldii,Thalassiosira oestrupii,Thalassiosira spp.,Thalassiothrix longissima,Diatom Zone (NPD) in Yanagisawa and Akiba (1998),Core,Section,Type,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1345,C,1H-CC,5.86,5.96,C,G,,,,,,C,C,,R,,R,F,R,R,,,,R,C,,,,,F,C,R,C,,C,,,,,,,,R,C,,R,A,R,,R,,,R,F,,Neodenticula seminae (NPD12),1,CC,H,,,,323-U1345C-1H-CC,3125de7cc86f2f8f658ca340d2a6354e
323,U1345,C,2H-CC,15.72,15.82,F,M-G,F,,F,,,F,F,,,,,F,,,,,,,F,R,,,,F,F,,A,,,,,F,F,,,,F,A,,,,,,C,,R,,R,R,Neodenticula seminae (NPD12),2,CC,H,,,,323-U1345C-2H-CC,b341ce8e006c871cac3f31fb836db0d1
323,U1345,C,3H-CC,25.56,25.66,F,M-G,C,,,,,C,C,,R,,,F,,,R,,R,,F,,,,F,F,,R,C,F,,,,C,,,,,,A,,,,F,,C,,F,,F,,Neodenticula seminae (NPD12),3,CC,H,,,,323-U1345C-3H-CC,8859b45c22bcba7e9b30191317b481ae
323,U1345,C,4H-CC,35.04,35.14,C,M-G,C,,,,,C,,,F,,,C,,,,,,F,F,,,,R,R,F,,C,,,,,A,C,R,C,,R,C,,,,R,,C,,F,,R,,Neodenticula seminae (NPD12),4,CC,H,,,,323-U1345C-4H-CC,c99b2abebbe68652ff64da13d0e5684b
323,U1345,C,5H-CC,43.94,44.04,C,M,C,,,,,F,F,,,,R,,,,,,,,,,,,R,C,R,R,,R,F,,,,C,,R,,R,A,,,,,,A,,,F,R,,Neodenticula seminae (NPD12),5,CC,H,,,,323-U1345C-5H-CC,f839e1e935301a161da88dafa8a2551c
323,U1345,C,6H-CC,53.77,53.87,C,M,C,,,,,F,,,,,,,,,,,,,F,,,,,,R,,A,F,,,,,F,,R,,,A,,,,,,F,,,,,,Neodenticula seminae (NPD12),6,CC,H,,,,323-U1345C-6H-CC,f3c1407086c40e9cab81c1c4f108ebe7
323,U1345,C,7H-CC,63.11,63.21,C,M,,,,,,C,,,,,,,F,,,,,,,F,,,,F,C,,A,,,,,,,,,,,A,,,,R,,F,,,F,R,,Neodenticula seminae (NPD12),7,CC,H,,,,323-U1345C-7H-CC,d3c7c46628d7c6fa7112712c16962970
323,U1345,C,8H-CC,72.5,72.6,C,M-G,C,,R,,,C,C,F,R,,,,,R,,,,,,,,,,F,F,R,C,,R,R,C,F,F,,F,,,A,,,F,,F,C,,,F,R,,Proboscia curvirostris (NPD11),8,CC,H,,,,323-U1345C-8H-CC,dd2479f44a7b6611cd18c15ff9009e65
323,U1345,C,9H-CC,82.04,82.14,C,M-G,C,,,,,C,F,,,,,,,,,,,F,C,C,,R,,C,F,F,,,,,F,,,,F,,F,A,,,,,C,F,,F,F,R,,Proboscia curvirostris (NPD11),9,CC,H,,,,323-U1345C-9H-CC,42f585414dcff24ebae41ec979e9f3fe
323,U1345,C,10H-CC,91.81,91.91,C,M-G,,,,,,F,,,,R,,,,,,,,,R,,,,,R,F,,R,,,,,,,,,R,,C,,,R,,,R,,,,,,Proboscia curvirostris (NPD11),10,CC,H,,,,323-U1345C-10H-CC,c3fa79a69baf9589f9aa0ab5e5a3b08f
