Exp,Site,Hole,Core,Type,Section,Top Depth [m],Preservation,Group Abundance,Marine,Actinocylus actinochilus,Actinocylus karstenii,Actinoptychus bipunctatus,Actinoptychus senarius,Coscinodiscus radiatus,Delphineis spp.,Diploneis splendida,Fragilariopsis cylindrica,Fragilariopsis fossilis,Fragilariopsis kerguelensis,Fragilariopsis obliquecostata,Grammatophora sp.,Hemidiscus karstenii,Hemidiscus sp. 1 of Zielinski & Gersonde (2002),Hyalodiscus sp.,Rhizosolenia hebetata,Rhizosolenia hebetata f. hiemalis,Stephanopyxis turris,Stephanopyxis spp.,Thalassiosira eccentrica,Thalassiosira fasciculata,Thalassiosira gracilis,Thalassiosira lentiginosa,Thalassiosira oestrupii,Thalassiosira spp.,Thalassiothrix longissima,,Coastal upwelling,Resting spores of Chaetoceros,,Coastal,Paralia sulcata,Thalassionema nitzschioides,,Fresh or brackish water,Aulacoseira granulata,Cocconeis fasciolata,Cyclotella spp.,Navicula spp.,Nitzschia? sp. 1,Pinularia sp.,Pleurosigma directum,Comments,,,,,,Top [cm],Bottom [cm],Bottom Depth [m],A/W,Sample,eodp_id
317,U1352,A,1,H,CC,4.21,-,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352A-1H-CC,a87052d8fb75fd49daf24c64f2fb2787
317,U1352,A,2,H,CC,13.67,-,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352A-2H-CC,54b457c5129587d8ea92d86bd767ef2d
317,U1352,A,3,H,CC,23.1,-,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352A-3H-CC,d8f258f89d90ea857c65f65d18ac42cc
317,U1352,A,4,H,CC,33.43,-,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352A-4H-CC,6b5b13c9dadd7c51805da8a4538accc2
317,U1352,A,5,H,CC,43.06,-,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352A-5H-CC,76acf32c42c974b559427aabe476f114
317,U1352,B,1,H,CC,8.16,P,R,,,,,,R,,,X,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,317-U1352B-1H-CC,bce451588a2092915ab716824797b15a
317,U1352,B,2,H,CC,17.7,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352B-2H-CC,2ee672cdfe37ad9468d31309b83d2654
317,U1352,B,3,H,CC,27.41,P,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,317-U1352B-3H-CC,d91a3c741b7848da4c45add8f980fb5a
317,U1352,B,4,H,CC,37.38,P,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,317-U1352B-4H-CC,2414ec989ca82c1de445919005c29cd5
317,U1352,B,5,H,CC,46.7,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352B-5H-CC,a98b4fd84018b5b7bf58cda8bdb5f19f
317,U1352,B,6,H,CC,55.76,P,R,,,,,,X,,,,,,X,,,,,X,,,,,,,X,,,,,,,,,R,X,,,,,,,X,,,,,,,,,,,,,317-U1352B-6H-CC,0ae97a2cfd54c849a0829b0e64402a66
317,U1352,B,7,H,CC,64.92,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352B-7H-CC,105c3b57e7643473e44c5fd3b2c194de
317,U1352,B,8,H,CC,75.34,P,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352B-8H-CC,c62ffd62dca4584c05461820a71781d3
317,U1352,B,9,H,CC,84.22,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352B-9H-CC,6e67c346fa10a02d2f9d0b0e293b3dcd
317,U1352,B,10,H,CC,94.12,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352B-10H-CC,a24ce6ed37d18592fb709dabf90dc027
317,U1352,B,11,H,CC,103.74,P,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352B-11H-CC,6d23dc2b53f9f873bc50dfaffa207c2d
317,U1352,B,12,H,CC,112.98,M,R,,,,,,,,,,,,R,,,,,,,,,,X,,,,,,,,,,,R,X,,,,,,,,,,,,,,,,,,,,317-U1352B-12H-CC,282f946143c0b9f2104aca53be6ea4ba
317,U1352,B,13,H,CC,121.1,M,F,,,,,,,,X,F,,X,X,,,,,X,,,,,X,,X,,,,,,,,,X,X,,,,X,,,,,,,,,,,,,,,,317-U1352B-13H-CC,e910903ead71710a8545056653a59c85
317,U1352,B,14,H,CC,130.86,M,R,,,,,,,,,,,R,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,317-U1352B-14H-CC,a675b4d2019e597b58b56c0c61faecbc
317,U1352,B,15,H,CC,141.7,P,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317-U1352B-15H-CC,3fae62694afc1fc1756bf942d2f7a169
317,U1352,B,16,H,CC,150.79,M,F,,,,,,,,,F,,F,,,,,,,,,,,R,X,,R,,,,,R,,,X,R,,,R,R,,,F,X,,,,,,,,,,,,317-U1352B-16H-CC,fcd6bfebf398658fef246471566902f2
317,U1352,B,17,H,CC,156.1,M,R,,X,,,,,,,,,X,,,,,,,,,,,X,,,X,,,,,X,,,R,,,,,,,,X,,,,,,,,,,,,,317-U1352B-17H-CC,2ebe0dff96f658d7acc7521eec71a5e5
317,U1352,B,18,H,CC,164.18,P,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,317-U1352B-18H-CC,c65b2cfa3c54d3dac178b4c38be6fa09
317,U1352,B,19,H,CC,174.34,M,R,,,,,,X,,X,,,X,X,X,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,317-U1352B-19H-CC,8152d154ac45ab7bdfcb12c68bf0eb11
317,U1352,B,20,H,CC,180.38,P,X,,,,,,,,,,,X,,X,,,,,,X,,,X,,,,,,,,X,,,X,X,,,,,,,,,,,,,,,,,,,,317-U1352B-20H-CC,d8708d407fb59b68604670d5bad26497
317,U1352,B,21,H,CC,189.72,M,F,,,,,,,,R,X,,R,,,,,,,,,,,,,,X,,,,,X,,,X,,,,,,,X,F,,X,,,,,,,,,,,317-U1352B-21H-CC,9a0390493f38701502e7996e5be6c51b
317,U1352,B,22,H,CC,199.08,M,F,,,,X,,,,X,X,,X,,,,,,,,,,,,,,,,,,,R,,,,X,,,,,,F,F,,,,,,,,,,,,,317-U1352B-22H-CC,6c2257b796b6725f7a83c5bbcbc8c52f
317,U1352,B,23,H,CC,208.67,M,F,,,,,,,,,,X,X,X,,,,,,,X,,,,,,X,X,,,,X,,,R,X,,,,,,,F,,,HO: F. fossilis (>0.67-0.72 Ma),,,,,,,,,,317-U1352B-23H-CC,6dd1e7d47e6366661036ba27639f7378
317,U1352,B,24,H,CC,217.96,M,F,,,,,,,,,,,X,,,,,X,X,,,,,X,,,R,X,,,,F,,,F,X,,,,,,,X,,,,,,,,,,,,,317-U1352B-24H-CC,960f10379efd607f93cba18f040a661e
