Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tuberculodinium vancampoae,Spiniferites ramosus,Spiniferites mirabilis,Spiniferites membranaceus,Spiniferites hyperacanthus,Spiniferites bulloideus,Protoperidinium subinerme,Protoperidinium pentagonum,Protoperidinium conicum,Operculodinium longispinigerum,Operculodinium israelianum,Operculodinium echigoense,Operculodinium centrocarpum,Nematosphaeropsis lemniscata,Lingulodinium machaerophorum,Impagidinium strialatum,Impagidinium sphaericum,Impagidinium sp. A,Impagidinium patulum,Impagidinium paradoxum,Impagidinium aculeatum,Hystrichokolpoma rigaudiae,Cyst type A,Achomosphaera sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,133, 820,A,  1,H, 3,  71.00,      3.7100,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,.0%                       ,2.0%                ,1.0%                  ,.0%                      ,1.0%                      ,.0%                    ,.0%                      ,.0%                       ,.0%                    ,.0%                           ,.0%                       ,.0%                      ,1.0%                       ,.0%                         ,.0%                         ,.0%                    ,.0%                    ,.0%               ,.0%                 ,.0%                   ,1.0%                  ,.0%                       ,.0%        ,.0%              ,Total count =  6; from ODP 133 SR Chapter 7 Table 1 p 95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,133, 820,A,  2,H, 3,  69.00,     10.8900,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,.0%                       ,1.0%                ,.0%                   ,.0%                      ,1.0%                      ,.0%                    ,.0%                      ,.0%                       ,.0%                    ,.0%                           ,1.0%                      ,.0%                      ,.0%                        ,.0%                         ,.0%                         ,.0%                    ,.0%                    ,.0%               ,.0%                 ,.0%                   ,.0%                   ,.0%                       ,.0%        ,.0%              ,Total count =  3; from ODP 133 SR Chapter 7 Table 1 p 95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,133, 820,A,  3,H, 3,  70.00,     20.4000,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,7.1%                      ,.0%                 ,14.3%                 ,.0%                      ,21.4%                     ,14.3%                  ,.0%                      ,.0%                       ,.0%                    ,.0%                           ,35.7%                     ,.0%                      ,.0%                        ,.0%                         ,.0%                         ,.0%                    ,7.1%                   ,.0%               ,.0%                 ,.0%                   ,.0%                   ,.0%                       ,.0%        ,.0%              ,Total count =  14; from ODP 133 SR Chapter 7 Table 1 p 95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,133, 820,A,  4,H, 3,  70.00,     29.9000,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,.0%                       ,.0%                 ,4.6%                  ,.0%                      ,25.0%                     ,31.8%                  ,.0%                      ,.0%                       ,.0%                    ,.0%                           ,34.1%                     ,.0%                      ,2.3%                       ,.0%                         ,2.3%                        ,.0%                    ,.0%                    ,.0%               ,.0%                 ,.0%                   ,.0%                   ,.0%                       ,.0%        ,.0%              ,Total count =  44; from ODP 133 SR Chapter 7 Table 1 p 95
