Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Valvulineria laevigata,Uvigerina senticosa,Uvigerina peregrina,Uvigerina auberiana,Stilostomella spp.,Pyrgo spp.,Pullenia bulloides,Oridorsalis umbonatus,Nuttallides umbonifera,Nonionella atlantica,Nodosaria spp.,Melonis pompilioides,Melonis barleeanus,Lagena spp.,Hoeglundina elegans,Gyroidinoides spp.,Globocassidulina subglobosa,Globobulimina affinis,Gavelinopsis translucens,Fontbotia wuellerstorfi,Epistominella exigua,Elphidium spp.,Eggerella bradyi,Cibicidoides kullenbergi,Chilostomella oolina,Cassidulina crassa,Cassidulina carinata,Bulimina marginata,Bulimina gr. costata,Brizalina subaenariensis,Bolivina pseudopunctata,Bolivina paula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1055,B,  1,H,CC,  19.00,      4.4500,Poli     ,Benthic Foraminifers                         ,A              ,VG                ,R                     ,-                  ,-                  ,-                  ,-                 ,-         ,F                 ,-                    ,R                     ,R                   ,-             ,-                   ,-                 ,-          ,-                  ,-                 ,F                          ,T                    ,T                       ,-                      ,-                   ,              ,T               ,-                       ,-                   ,T                 ,F                   ,-                 ,-                   ,                        ,R                      ,A             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1055,B,  2,H,CC,  15.00,     14.1900,Poli     ,Benthic Foraminifers                         ,A              ,VG                ,T                     ,-                  ,-                  ,-                  ,-                 ,-         ,T                 ,-                    ,T                     ,R                   ,-             ,-                   ,F                 ,R          ,-                  ,T                 ,C                          ,-                    ,R                       ,-                      ,-                   ,              ,-               ,-                       ,-                   ,-                 ,F                   ,-                 ,-                   ,T                       ,T                      ,A             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1055,B,  3,H,CC,  27.00,     23.9800,Poli     ,Benthic Foraminifers                         ,A              ,VG                ,-                     ,-                  ,-                  ,T                  ,-                 ,-         ,-                 ,-                    ,-                     ,R                   ,-             ,-                   ,F                 ,R          ,-                  ,T                 ,F                          ,-                    ,R                       ,-                      ,-                   ,R             ,-               ,-                       ,-                   ,-                 ,F                   ,-                 ,-                   ,-                       ,-                      ,A             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1055,B,  4,H,CC,  24.00,     33.5900,Poli     ,Benthic Foraminifers                         ,C              ,VG                ,T                     ,-                  ,-                  ,-                  ,-                 ,-         ,-                 ,-                    ,-                     ,R                   ,-             ,-                   ,R                 ,T          ,-                  ,R                 ,F                          ,R                    ,T                       ,-                      ,-                   ,F             ,-               ,R                       ,-                   ,-                 ,F                   ,-                 ,-                   ,-                       ,-                      ,A             ,       
