Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spiniferites ramosus,Comment
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1071,B,  5,X,CC,  22.00,     65.6900,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                   ,Bitectatodinium tepikiense and Algidasphaeridium minutum present; Brigantedinium spp. common.
,,,,,,,,,,,,,,,,,,
