Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	pleurostomellid taxa	lagenid taxa	Tritaxa spp.	Sitella cf. plana	Other trochospiral taxa	Other bulimid taxa	Osangularia velascoensis	Oridorsalis spp.	Nuttallinella sp. B	Nuttallinella sp. A	Nuttallides truempyi	Nonionella spp.	Nonion spp.	Hyperammina/Bathysiphon frag.	Gyroidinoides tellburmaensis	Gavelinella beccariiformis	Cibicidoides hyphalus	Buliminella beaumonti	Bulimina velascoensis	Bulimina trinitatensis	Bulimina sp. 185 (apical spine)	Bulimina sp. (triangular)	Bulimina sp. (apical spine)	Bolivinoides delicatulus	Aragonia velascoensis	miolinids unknown	Pyramidina? sp. (without ap. spine)	Gyroidinoides globosa	Glomospira spp.	Brizalina/Coryphostoma spp. (small)	other agglutinated taxa	Spiroplectammina cf. jarvisi	Quadrimorphina allomorphinoides	Pyramidina rudita	Paralabamina hillebrandti	Nodogenerina spp.	Gyroidinoides depressus	Dorothia trochoides	Cibicidoides dayi	Alabamina cf. dissonata	Gyroidinoides spp.	Coryphostoma midwayensis	Allomorphina trochoides	Pullenia coryelli	Bulimina spinea	Osangularia mexicana	Bulimina sp. (elongate)	Aragonia semireticulata	Quadrimorphina profunda	Pullenia spp.	Cibicidoides praemundulus	Haplophragmoides? spp.	Bulimina thanetensis	Bulimina semicostata	Spiroplectammina spectabilis	Gyroidinoides girardanus	Globorotalites sp. A	Globocassidulina subglobosa	Bulimina macilenta	Bulimina cf. semicostata	Pullenia eocaenica	Karreriella subglabra	Uvigerina rippensis	Cibicidoides grimsdalei	Buliminella grata	Cibicidoides subspiratus	Cibicidoides sp. (m. Eocene; 1051A)	Bulimina tuxpamensis	Comment



  IR	                 	Middle Eocene    	                  	              	171	1051	A	  5	H	CC	  19.00	     44.0900	Widmark  	Benthic Foraminifers                         	F              	M                 	4                   	30          	            	                 	2                      	                  	                        	1               	                   	                   	2                   	               	           	                             	                            	                          	                     	                     	                     	                      	                               	                         	                           	                        	                     	                 	                                   	                     	               	                                   	                       	                            	                               	                 	                         	9                	                       	                   	                 	                       	                  	                        	                       	                 	               	                    	                       	                       	                       	             	1                        	                      	                    	1                   	                            	                        	                    	                           	                  	                        	                  	                     	                   	3                      	                 	2                       	1                                  	3                   	       

  IR	                 	Middle Eocene    	                  	              	171	1051	A	 10	H	CC	   0.00	     91.0200	Widmark  	Benthic Foraminifers                         	C              	M                 	3                   	22          	1           	                 	1                      	                  	                        	2               	                   	                   	                    	               	           	                             	                            	                          	                     	                     	                     	1                     	                               	                         	                           	                        	                     	                 	                                   	                     	               	                                   	5                      	                            	                               	                 	                         	1                	                       	                   	                 	                       	                  	                        	                       	                 	               	1                   	                       	                       	                       	             	                         	                      	                    	1                   	                            	                        	                    	                           	                  	                        	4                 	                     	                   	3                      	5                	                        	                                   	                    	       

  IR	                 	Middle Eocene    	                  	              	171	1051	A	 15	H	CC	  14.00	    138.9700	Widmark  	Benthic Foraminifers                         	R              	G                 	1                   	11          	            	                 	                       	                  	                        	2               	                   	                   	                    	               	           	15                           	                            	                          	                     	                     	                     	1                     	                               	                         	                           	                        	                     	                 	                                   	                     	               	                                   	2                      	                            	                               	                 	                         	                 	                       	                   	                 	                       	                  	                        	                       	                 	               	                    	                       	                       	                       	1            	                         	                      	                    	                    	                            	                        	                    	                           	                  	                        	2                 	                     	                   	                       	                 	                        	                                   	                    	       

  IR	                 	Middle Eocene    	                  	              	171	1051	A	 20	X	CC	  27.00	    187.1600	Widmark  	Benthic Foraminifers                         	R              	G                 	3                   	            	            	                 	                       	                  	                        	3               	                   	                   	5                   	               	1          	4                            	                            	                          	                     	                     	                     	                      	                               	                         	                           	                        	                     	                 	                                   	                     	               	                                   	                       	                            	                               	                 	                         	1                	                       	                   	                 	                       	                  	                        	                       	                 	               	                    	                       	                       	                       	             	                         	                      	                    	                    	                            	                        	1                   	                           	                  	                        	1                 	1                    	2                  	                       	                 	                        	                                   	                    	       
