Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triquetrorhabdulus milowii	Triquetrorhabdulus carinatus	Sphenolithus moriformis	Sphenolithus dissimilis	Sphenolithus delphix	Sphenolithus compactus	Reticulofenestra haqii	Discoaster deflandrei	Cyclicargolithus floridanus	Coccolithus pelagicus	Coccolithus miopelagicus	Calcidiscus leptoporus	Triquetrorhabdulus rugosus	Reticulofenestra gelida	Ericsonia obruta	Discoaster variabilis	Helicosphaera granulata	Coronocyclus nitescens	Helicosphaera intermedia	Hayaster perplexus	Sphenolithus conicus	Reticulofenestra minutula	Pontosphaera spp.	Helicosphaera carteri	Coccolithus streckerii	Calcidiscus premacintyrei	Discoaster adamanteus	Calcidiscus macintyrei	Reticulofenestra minuta	Reticulofenestra pseudoumbilica	Scyphosphaera spp.	Tetralithoides symeonidesii	Discoaster druggii	Sphenolithus abies	Sphenolithus belemnos	Discoaster spp.	Dictyococcites productus	Helicosphaera euphratis	Cyclolithella annula	Sphenolithus heteromorphus	Discoaster exilis	Discoaster formosus	Discoaster brouweri	Discoaster kugleri	Discoaster challengeri	Discoaster prepentaradiatus	Discoaster bollii	Catinaster coalitus	Discoaster surculus	Discoaster neohamatus	Discoaster calcaris	Discoaster bellus	Discoaster hamatus	Catinaster calyculus	Discoaster pansus	Discoaster neorectus	Discoaster pentaradiatus	Discoaster triradiatus	Discoaster loeblichii	Discoaster asymmetricus	Discoaster berggrenii	Discoaster quinqueramus	Helicosphaera wallichii	Amaurolithus primus	Discoaster blackstockae	Amaurolithus delicatus	Amaurolithus amplificus	Sphenolithus grandis	Coccolithus crassipons	Helicosphaera neogranulata	Umbilicosphaera sibogae	Scapholithus fossilis	Reticulofenestra asanoi	Ceratolithus acutus	Syracosphaera pulchra	Oolithotus fragilis	Gephyrocapsa aperta	Ceratolithus rugosus	Amaurolithus tricorniculatus	Rhabdosphaera stylifera	Helicosphaera sellii	Pseudoemiliania lacunosa	Gephyrocapsa sp. (small)	Helicosphaera hyalina	Discoaster decorus	Reticulofenestra ampla	Discolithina japonica	Rhabdosphaera clavigera	Gephyrocapsa sinuosa	Comment



  SR	                 	                 	NN19              	              	130	 806	B	  5	H	 4	  26.00	     39.7600	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                      	                     	                           	T                    	                        	26                    	                          	                       	                	                     	                       	                      	                        	                  	                    	46                       	                 	T                    	                      	                         	                     	T                     	86                     	                               	                  	                           	                  	                  	                     	               	2                       	                       	                    	                          	                 	                   	                   	                  	                      	                           	                 	                   	                   	                     	                   	                 	                  	                    	                 	                    	                        	                      	                     	                       	                     	                       	                       	                   	                       	                      	                       	                    	                      	                          	11                     	                     	1                      	                   	2                    	1                  	4                  	                    	                            	                       	5                   	8                       	8                       	                     	                  	                      	                     	                       	                    	from 130SR.Chapter 11.Table 14.pages 198-207.

  SR	                 	                 	NN18              	              	130	 806	B	  5	H	CC	  18.00	     44.9500	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                      	                     	                           	3                    	                        	25                    	                          	                       	                	                     	1                      	                      	                        	                  	                    	72                       	T                	2                    	                      	                         	                     	T                     	74                     	                               	                  	1                          	                  	                  	                     	               	                        	                       	                    	                          	                 	                   	T                  	                  	                      	                           	                 	                   	                   	                     	                   	                 	                  	                    	                 	                    	                        	T                     	                     	                       	                     	                       	T                      	                   	                       	                      	                       	                    	T                     	                          	9                      	                     	T                      	                   	1                    	1                  	                   	T                   	                            	                       	T                   	8                       	2                       	                     	                  	                      	T                    	                       	1                   	from 130SR.Chapter 11.Table 14.pages 198-207.

  SR	                 	                 	NN18              	              	130	 806	B	  6	H	 4	  26.00	     49.2600	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                      	                     	                           	T                    	                        	15                    	                          	                       	                	                     	                       	                      	                        	                  	                    	15                       	T                	2                    	T                     	                         	                     	T                     	132                    	                               	                  	1                          	                  	                  	                     	               	4                       	                       	                    	                          	                 	                   	9                  	                  	                      	                           	                 	                   	                   	                     	                   	                 	                  	                    	                 	                    	                        	                      	                     	                       	                     	                       	T                      	                   	                       	                      	                       	                    	T                     	                          	5                      	                     	2                      	                   	T                    	5                  	3                  	                    	                            	                       	2                   	3                       	                        	                     	                  	                      	                     	                       	2                   	from 130SR.Chapter 11.Table 14.pages 198-207.

  SR	                 	                 	NN18              	              	130	 806	B	  6	H	CC	  12.00	     54.4900	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                      	                     	                           	2                    	                        	16                    	                          	                       	                	                     	                       	                      	                        	                  	                    	47                       	T                	1                    	                      	                         	                     	T                     	108                    	                               	                  	T                          	                  	                  	                     	               	                        	                       	                    	                          	                 	                   	8                  	                  	                      	                           	                 	                   	                   	                     	                   	                 	                  	                    	                 	                    	                        	                      	                     	                       	                     	                       	1                      	                   	                       	                      	                       	                    	T                     	?                         	11                     	                     	                       	                   	T                    	                   	1                  	?                   	                            	                       	2                   	2                       	                        	                     	                  	                      	                     	1                      	                    	from 130SR.Chapter 11.Table 14.pages 198-207.
