leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding
16,155,,2,5,0.0,73.0,443.00,449.26,449.99,, CLAYSTONE," 5GY5/1-MED.GREENISH GREY N4-MED.DK.GREY,N5-MED.GREY",, MODERATELY DEFORMED THROUGHOUT,,,, GETS DK (N5 TO N4 55-65 CM, INDURATED, 00000000
16,155,,2,5,73.0,150.0,443.00,449.99,450.76,, NANNO MARL, 10Y4/2-GREYISH OLIVE, SOMEWHAT MOTTLED WITH DKR AND LTR SHADES, MODERA TELY DEFORMED, PYRITE NODULE AT 77 CM, PYR,,, SEMI-INDURATED, 00000000
16,155,,2,6,0.0,10.0,443.00,450.76,450.86,, NANNO CLAYSTONE, 5GY5/1-MED.GREENISH GREY,, MOD DEFORMED,,,, VOID IN CENTRAL REGION, INDURATED, 00000000
16,155,,2,6,10.0,85.0,443.00,450.86,451.61,, CLAYSTONE, 5GY/1-MED.GREENISH GREY,,,,,,, INDURATED, 00000000
16,155,,2,6,85.0,86.0,443.00,451.61,451.62,, PYRITE SAND, -BLACK,,,, PYRITE,, 0.8 CM ZONE AT CONT ACT, SEMI-INDURATED, 00000000
16,155,,2,6,86.0,150.0,443.00,451.62,452.26,, NANNO MARL, 10Y4/2-GREYISH OLIVE, SOMEWHAT MOTTLED WITH DKR AND LTR SHADES,,,,,, SEMI-INDURATED, 00000000
16,155,,3,1,0.0,150.0,452.00,452.28,453.78,, NANNO MARL," 10Y5/2-OLIVE,1/Y4/2-GREYISH OLIVE,5Y5 /2-LT.OLIVE GREY", 10Y4/2 AND 5Y5/I SHADES OF MOTTLING,, PYR NODS AT 60/114 CM OF 1CM DIAM, PYR,,, SEMI- INDURATED, 00000000
16,155,,3,2,0.0,83.0,452.00,453.78,454.61,, NANNO MARL," 10Y4/2-GREYISH OLIVE,5Y5/2-LT.OLIVE G REY,5Y3/2-OLIVE GREY", SUBHORIZONTA L BUT SHARP LOWER CONTACT 5Y5/2 AND 5Y3/2 MOTTLING,,,,,, SEMI-INDURATED, 11121210
16,155,,3,2,83.0,150.0,452.00,454.61,455.28,, CLAYSTONE, 5GY5/1-GREENISH GREY,, MODERATELY DEFORMED THROUGHOUT,,,, WAX Y, INDURATED, 33231000
16,155,,3,3,0.0,115.0,452.00,455.28,456.43,, CLAYSTONE, 5GY5/1-GREENISH GREY, HORIZONTAL LOWE R CONTACT, MODERATELY DEFORMED THROUGHOUT,,,, WAX Y, INDURATED, 33231000
16,155,,3,3,115.0,150.0,452.00,456.43,456.78,, NANNO MARL," 10Y3/2-DK.GREYISH OL IVE,5Y4/2-MED.OLIVE GREY,5Y6/2-YELLOWISH TO LT.OLIVE GREY", PYRITE-RICH LAYER AT UPPER CONTACT 1 CM THIC K WITH PYR DIAM 0.8 CM,, PYR, PYR,,, SEMI-INDURATED, 12210000
