Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Truncorotalia truncatulinoides (sin.),Truncorotalia truncatulinoides (dex.),Pulleniatina obliquiloculata,Orbulina universa,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Neogloboquadrina dutertrei,Globorotalia tumida flexuosa,Globorotalia tumida (right),Globorotalia tumida (left),Globorotalia scitula,Globorotalia menardii,Globorotalia inflata,Globorotalia hexagonus,Globorotalia crassaformis,Globigerinoides trilobus trilobus,Globigerinoides trilobus sacculifer,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides ruber (high),Globigerinoides conglobatus,Globigerinita glutinata,Globigerina rubescens,Globigerina quinqueloba,Globigerina calida,Globigerina bulloides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 930,D,  1,H, 1,   0.00,      0.0000,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,-                                    ,-                                    ,R                           ,-                ,-                                      ,-                                    ,C                         ,-                           ,-                          ,R                         ,-                   ,C                    ,-                   ,R                     ,-                        ,C                                ,F                                  ,C                            ,F                           ,-                           ,-                          ,-                      ,-                    ,-                      ,-                 ,-                    ,from Leg 155IR p. 107 Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,Z                 ,              ,155, 930,D,  1,H,CC,   7.00,      3.9300,Showers  ,Planktonic Foraminifers                      ,R              ,M                 ,-                                    ,R                                    ,R                           ,R                ,-                                      ,-                                    ,C                         ,-                           ,-                          ,R                         ,-                   ,R                    ,-                   ,-                     ,-                        ,C                                ,F                                  ,F                            ,-                           ,-                           ,R                          ,-                      ,-                    ,-                      ,-                 ,-                    ,from Leg 155IR p. 107 Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,Y                 ,Z             ,155, 930,D,  2,H, 4,   0.00,      8.5000,Showers  ,Planktonic Foraminifers                      ,R              ,M                 ,-                                    ,-                                    ,-                           ,-                ,-                                      ,-                                    ,A                         ,-                           ,-                          ,F                         ,-                   ,-                    ,-                   ,-                     ,-                        ,A                                ,-                                  ,-                            ,-                           ,-                           ,R                          ,-                      ,-                    ,-                      ,-                 ,-                    ,from Leg 155IR p. 107 Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 930,D,  2,H,CC,  12.00,     12.6000,Showers  ,Planktonic Foraminifers                      ,R              ,M                 ,-                                    ,-                                    ,-                           ,R                ,-                                      ,-                                    ,A                         ,-                           ,-                          ,-                         ,-                   ,-                    ,-                   ,-                     ,-                        ,A                                ,-                                  ,A                            ,-                           ,-                           ,-                          ,-                      ,-                    ,-                      ,-                 ,-                    ,from Leg 155IR p. 107 Table 5
