Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylosphaera coronata coronata,Spongodiscus sp. A,Lithomespilus mendosa,Entapium regulare,Dorcadospyris sp. A,Stylosphaera sp. B,Spongurus quadratus,Dorcadospyris sp. cf. D. platycantha,Clathrocycloma parcum,Buryella tetradica,Buryella sp. cf. B. clinata,Buryella pentadica,Astrosphaerin sp. F,Astrosphaerin sp. E,Xiphosphaera circularis,Stylosphaera sp. A,Stylosphaera goruna,Phormocyrtis striata exquisita,Lychnocanoma sp. E,Entapium chaenapium,Bekoma campechensis,Bathropyramis sp. cf. B. woodringi,Thecosphaerella ptomatus,Periphaena decora,Lychnocanoma sp. D,Lychnocanoma sp. A,Lithomitra docilis,Entapium sp. A,Cornutella californica,Amphisphaera minor,Theocorys sp. cf. T. phyzella,Stylotrochus alveatus,Siphocampe sp. aff. S. arachnea,Saturnulus sp. A,Lychnocanoma sp. C,Clathrocycloma sp. A,Bekoma sp. aff. B. campechensis,Amphymenium splendiarmatum,Amphiternis sp. cf. ?Stichomitra alamedaensis,?Lithochytris sp. A,Buryella sp. A,Ceratospyris sp. aff. C. articulata,Bekoma divaricata,Velicucullus sp.,Stylotrochus nitidus,Pterocodon (?) ampla,Dorcadospyris sp. B,Dictyomitra andersoni,Theocorys phyzella,Lychnocanoma sp. B,Heliostylus sp,Dictyoceras caia,?Lychnocanoma sp. F,Phormocyrtis striata striata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 16,X, 1,  67.00,    123.3700,Blome    ,Radiolarians                                 ,R              ,M                 ,                              ,                  ,                     ,                 ,R                  ,                  ,                   ,                                    ,                     ,R                 ,                           ,                  ,                   ,                   ,R                      ,R                 ,                   ,                              ,                  ,                   ,                   ,                                  ,R                       ,                 ,                  ,R                 ,                  ,              ,                      ,                  ,                             ,                     ,                               ,                ,                  ,                    ,                               ,                          ,                                             ,                   ,              ,                                   ,                 ,                ,                    ,                    ,                   ,                     ,R                 ,                  ,              ,                ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 16,X, 2,  67.00,    124.8700,Blome    ,Radiolarians                                 ,R              ,M                 ,R                             ,                  ,                     ,                 ,R                  ,                  ,                   ,                                    ,                     ,R                 ,                           ,                  ,                   ,                   ,                       ,R                 ,                   ,                              ,                  ,                   ,                   ,                                  ,                        ,                 ,                  ,R                 ,                  ,              ,                      ,                  ,                             ,                     ,                               ,                ,                  ,                    ,                               ,                          ,                                             ,                   ,              ,                                   ,                 ,                ,                    ,                    ,                   ,                     ,                  ,                  ,              ,                ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 16,X, 3,  67.00,    126.3700,Blome    ,Radiolarians                                 ,R              ,M                 ,R                             ,                  ,                     ,                 ,R                  ,                  ,                   ,                                    ,                     ,R                 ,                           ,R                 ,                   ,                   ,R                      ,R                 ,R                  ,                              ,                  ,                   ,                   ,                                  ,                        ,                 ,R                 ,R                 ,                  ,              ,                      ,                  ,                             ,R                    ,                               ,                ,                  ,                    ,                               ,                          ,                                             ,                   ,              ,                                   ,                 ,                ,                    ,                    ,                   ,                     ,                  ,                  ,              ,                ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 16,X, 4,  67.00,    127.8700,Blome    ,Radiolarians                                 ,R              ,M                 ,                              ,                  ,                     ,                 ,R                  ,                  ,                   ,R                                   ,                     ,R                 ,R                          ,R                 ,                   ,                   ,R                      ,R                 ,R                  ,                              ,                  ,                   ,                   ,R                                 ,                        ,                 ,                  ,R                 ,                  ,              ,                      ,R                 ,                             ,                     ,                               ,                ,                  ,                    ,                               ,                          ,                                             ,                   ,              ,                                   ,                 ,                ,                    ,                    ,                   ,                     ,                  ,R                 ,              ,                ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
