Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys peregrina,Lamprocyrtis heteroporos,Dictyophimus splendens,Clathrocyclas bicornis,Anthocyrtidium pliocenica,Lychnocanoma nipponica sakaii,Pseudocubus warreni,Stylatractus universus,Sphaeropyle robusta,Stichocorys delmontensis,Phormostichoartus crustula,Eucyrtidium erythromystax,Eucyrtidium calvertense,Dictyophimus crisiae,Actinomma popofskii,Pterocanium auritum,Lamprocyrtis neoheteroporos,Lamprocyclas hadros,Botryostrobus praetumidulus,Sphaeropyle langii,Cycladophora davisiana davisiana,Botryostrobus aquilonaris,Cycladophora bicincta,Eucyrtidium matuyamai,Stylacontarium acquilonium,Lamprocyrtis nigriniae,Botryostrobus tumidulus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,B. aquilonaris    ,              ,167,1016,B,  1,H,CC,  12.00,      1.7700,Caulet   ,Radiolarians                                 ,C              ,M                 ,                     ,                        ,                      ,                      ,                         ,                             ,                   ,                      ,                   ,                        ,                          ,                         ,                       ,R                   ,A                  ,F                  ,T                          ,                   ,                           ,                  ,A                               ,A                        ,A                    ,                     ,                          ,                      ,C                      ,from IR. Ch 10. Tables 8 and 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,B. aquilonaris    ,              ,167,1016,B,  2,H,CC,  25.00,     11.7400,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                        ,                      ,                      ,                         ,R                            ,                   ,                      ,                   ,                        ,T                         ,                         ,F                      ,C                   ,A                  ,                   ,                           ,                   ,                           ,R                 ,A                               ,                         ,A                    ,                     ,                          ,A                     ,C                      ,from IR. Ch 10. Tables 8 and 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,B. aquilonaris    ,              ,167,1016,B,  3,H,CC,  13.00,     21.0000,Caulet   ,Radiolarians                                 ,R              ,M                 ,                     ,                        ,                      ,                      ,                         ,                             ,                   ,                      ,                   ,                        ,                          ,                         ,                       ,R                   ,                   ,                   ,T                          ,                   ,                           ,                  ,                                ,                         ,R                    ,                     ,                          ,                      ,                       ,from IR. Ch 10. Tables 8 and 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,S. universus      ,              ,167,1016,B,  4,H,CC,  11.00,     30.6200,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                        ,                      ,                      ,                         ,                             ,                   ,C                     ,                   ,                        ,                          ,                         ,                       ,F                   ,                   ,R                  ,                           ,                   ,                           ,A                 ,A                               ,C                        ,A                    ,                     ,                          ,A                     ,                       ,from IR. Ch 10. Tables 8 and 9.
