Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeaglobigerina rubescens,Zeaglobigerina nepenthes,Zeaglobigerina decoraperta,Pulleniatina primalis,Neogloboquadrina acostaensis,Globorotalia scitula,Globorotalia menardii,Globigerinoides trilobus,Globigerinoides ruber,Globigerinoides obliquus,Globigerinoides extremus,Dentoglobigerina altispira,Globorotalia limbata,Globorotalia juanai,Globoquadrina venezuelana,Globigerinoides sacculifer,Dentoglobigerina globosa,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Globorotalia tumida,Globigerinoides tenellus,Globigerinoides conglobatus,Zeaglobigerina apertura,Neogloboquadrina humerosa,Globorotalia multicamerata,Neogloboquadrina dutertrei,Globorotalia theyeri,Globorotaloides hexagona,Globorotalia tosaensis,Globigerinoides quadrilobatus,Globigerinella aequilateralis,Globorotalia inflata,Globigerinoides immaturus,Globigerina bulloides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1041,A,  2,H,CC,   0.00,     14.0300,Ibaraki  ,Planktonic Foraminifers                      ,R              ,P                 ,                        ,                        ,                          ,                     ,                            ,                    ,                     ,F                       ,                     ,                        ,                        ,                          ,                    ,                   ,                         ,                          ,                        ,                         ,                            ,R                  ,                        ,                           ,                       ,                         ,                          ,R                         ,                    ,                        ,                      ,                             ,                             ,                    ,                         ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1041,A,  3,X,CC,  47.00,     21.1200,Ibaraki  ,Planktonic Foraminifers                      ,R              ,P                 ,                        ,                        ,                          ,                     ,                            ,                    ,R                    ,                        ,                     ,                        ,                        ,                          ,                    ,                   ,                         ,                          ,                        ,R                        ,R                           ,R                  ,                        ,                           ,                       ,                         ,                          ,R                         ,                    ,                        ,                      ,                             ,                             ,                    ,                         ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1041,A,  4,X,CC,  46.00,     24.9200,Ibaraki  ,Planktonic Foraminifers                      ,T              ,P                 ,                        ,                        ,                          ,                     ,                            ,                    ,                     ,                        ,                     ,                        ,                        ,                          ,                    ,                   ,                         ,                          ,                        ,                         ,                            ,                   ,                        ,                           ,                       ,                         ,                          ,                          ,                    ,P                       ,                      ,                             ,                             ,                    ,                         ,P                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1041,A,  5,X,CC,  40.00,     34.2100,Ibaraki  ,Planktonic Foraminifers                      ,F              ,M                 ,                        ,                        ,                          ,                     ,                            ,                    ,R                    ,R                       ,                     ,R                       ,rR                      ,                          ,                    ,                   ,                         ,                          ,                        ,                         ,R                           ,R                  ,                        ,                           ,                       ,R                        ,                          ,R                         ,                    ,                        ,R                     ,                             ,                             ,R                   ,R                        ,                     ,       
