leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
30,286,,PLEISTOCENE,,0.0,26.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,  1.8,.9055,DSDP INITIAL REPORTS
30,286,,UPPER PLIOCENE,,35.5,45.0,,NO AGE GIVEN,,NO AGE GIVEN,  1.8,  3.4,  2.6,DSDP INITIAL REPORTS
30,286,,LOWER PLIOCENE,,54.5,64.0,,NO AGE GIVEN,,NO AGE GIVEN,  3.4,    5,  4.2,DSDP INITIAL REPORTS
30,286,,MIDDLE MIOCENE,UPPER OLIGOCENE,73.5,83.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 10.5,   30,20.25,DSDP INITIAL REPORTS
30,286,,UPPER OLIGOCENE,,95.0,102.0,,NO AGE GIVEN,,NO AGE GIVEN, 22.5,   30,26.25,DSDP INITIAL REPORTS
30,286,,UPPER OLIGOCENE,LOWER OLIGOCENE,111.5,121.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 22.5, 37.5,   30,DSDP INITIAL REPORTS
30,286,,LOWER OLIGOCENE,,130.5,140.0,,NO AGE GIVEN,,NO AGE GIVEN,   30, 37.5,33.75,DSDP INITIAL REPORTS
30,286,,LOWER OLIGOCENE,UPPER EOCENE,149.5,159.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   30,   43, 36.5,DSDP INITIAL REPORTS
30,286,,UPPER EOCENE,,168.5,292.0,,NO AGE GIVEN,,NO AGE GIVEN, 37.5,   43,40.25,DSDP INITIAL REPORTS
30,286,,MIDDLE EOCENE,,301.5,649.0,,NO AGE GIVEN,,NO AGE GIVEN,   43,   49,   46,DSDP INITIAL REPORTS
