path,type,expedition,site,taxon_group
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/168/1028/HOLE_A/Age_Model_Initial_Report.csv,age,168,1028,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/168/1026/HOLE_C/Age_Model_Initial_Report.csv,age,168,1026,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/168/1026/HOLE_A/Age_Model_Initial_Report.csv,age,168,1026,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/168/1027/HOLE_B/Age_Model_Initial_Report.csv,age,168,1027,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/168/1029/HOLE_A/Age_Model_Initial_Report.csv,age,168,1029,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/168/1030/HOLE_B/Age_Model_Initial_Report.csv,age,168,1030,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/168/1031/HOLE_A/Age_Model_Initial_Report.csv,age,168,1031,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/168/1025/HOLE_B/Age_Model_Initial_Report.csv,age,168,1025,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/168/1024/HOLE_B/Age_Model_Initial_Report.csv,age,168,1024,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/168/1023/HOLE_A/Age_Model_Initial_Report.csv,age,168,1023,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/157/954/HOLE_B/Age_Model_Initial_Report.csv,age,157,954,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/157/954/HOLE_A/Age_Model_Initial_Report.csv,age,157,954,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/157/953/HOLE_C/Age_Model_Initial_Report.csv,age,157,953,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/157/953/HOLE_A/Age_Model_Initial_Report.csv,age,157,953,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/157/952/HOLE_A/Age_Model_Initial_Report.csv,age,157,952,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/157/955/HOLE_A/Age_Model_Initial_Report.csv,age,157,955,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/157/950/HOLE_A/Age_Model_Initial_Report.csv,age,157,950,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/157/956/HOLE_B/Age_Model_Initial_Report.csv,age,157,956,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/157/956/HOLE_A/Age_Model_Initial_Report.csv,age,157,956,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/157/956/HOLE_A/Age_Model_Shipboard.csv,age,157,956,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/157/951/HOLE_B/Age_Model_Initial_Report.csv,age,157,951,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/157/951/HOLE_A/Age_Model_Initial_Report.csv,age,157,951,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/150/906/HOLE_A/Age_Model_Initial_Report.csv,age,150,906,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/150/903/HOLE_C/Age_Model_Initial_Report.csv,age,150,903,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/150/903/HOLE_D/Age_Model_Initial_Report.csv,age,150,903,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/150/903/HOLE_A/Age_Model_Initial_Report.csv,age,150,903,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/150/904/HOLE_A/Age_Model_Initial_Report.csv,age,150,904,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/150/905/HOLE_A/Age_Model_Initial_Report.csv,age,150,905,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/150/902/HOLE_C/Age_Model_Initial_Report.csv,age,150,902,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/150/902/HOLE_D/Age_Model_Initial_Report.csv,age,150,902,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/159/962/HOLE_B/Age_Model_Initial_Report.csv,age,159,962,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/159/959/HOLE_D/Age_Model_Initial_Report.csv,age,159,959,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/159/959/HOLE_A/Age_Model_Initial_Report.csv,age,159,959,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/159/960/HOLE_C/Age_Model_Initial_Report.csv,age,159,960,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/166/1005/HOLE_C/Age_Model_Initial_Report.csv,age,166,1005,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/166/1005/HOLE_A/Age_Model_Initial_Report.csv,age,166,1005,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/166/1003/HOLE_B/Age_Model_Initial_Report.csv,age,166,1003,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/166/1003/HOLE_C/Age_Model_Initial_Report.csv,age,166,1003,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/166/1003/HOLE_A/Age_Model_Initial_Report.csv,age,166,1003,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/166/1004/HOLE_A/Age_Model_Initial_Report.csv,age,166,1004,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/166/1008/HOLE_A/Age_Model_Initial_Report.csv,age,166,1008,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/166/1006/HOLE_B/Age_Model_Initial_Report.csv,age,166,1006,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/166/1006/HOLE_A/Age_Model_Initial_Report.csv,age,166,1006,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/166/1007/HOLE_B/Age_Model_Initial_Report.csv,age,166,1007,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/166/1007/HOLE_C/Age_Model_Initial_Report.csv,age,166,1007,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/166/1009/HOLE_A/Age_Model_Initial_Report.csv,age,166,1009,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/161/977/HOLE_A/Age_Model_Initial_Report.csv,age,161,977,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/161/979/HOLE_A/Age_Model_Initial_Report.csv,age,161,979,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/161/978/HOLE_A/Age_Model_Initial_Report.csv,age,161,978,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/161/976/HOLE_B/Age_Model_Initial_Report.csv,age,161,976,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/161/976/HOLE_C/Age_Model_Initial_Report.csv,age,161,976,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/161/974/HOLE_B/Age_Model_Initial_Report.csv,age,161,974,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/161/975/HOLE_B/Age_Model_Initial_Report.csv,age,161,975,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/105/645/HOLE_E/Age_Model_Initial_Reports.csv,age,105,645,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/105/645/HOLE_B/Age_Model_Initial_Reports.csv,age,105,645,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/105/645/HOLE_D/Age_Model_Initial_Reports.csv,age,105,645,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/105/647/HOLE_B/Age_Model_Initial_Reports.csv,age,105,647,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/105/647/HOLE_A/Age_Model_Initial_Reports.csv,age,105,647,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/105/646/HOLE_B/Age_Model_Initial_Reports.csv,age,105,646,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/105/646/HOLE_A/Age_Model_Initial_Reports.csv,age,105,646,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/133/818/HOLE_B/Age_Model_Post_Moratorium.csv,age,133,818,
