Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra umbilica	Reticulofenestra dictyoda	Coccolithus formosus	Chiasmolithus solitus	Chiasmolithus grandis	Zygrhablithus bijugatus	Discoaster saipanensis	Dictyococcites bisectus	Cribrocentrum reticulatum	Coccolithus eopelagicus	Chiasmolithus oamaruensis	Chiasmolithus expansus	Sphenolithus moriformis	Discoaster nodifer	Discoaster barbadiensis	Isthmolithus recurvus	Dictyococcites scrippsae	Chiasmolithus altus	Discoaster tanii ornatus	Coccolithus pelagicus	Clausicoccus subdistichus	Cyclicargolithus floridanus	Cyclicargolithus abisectus	Dictyococcites antarcticus	Braarudosphaera bigelowii	Helicosphaera euphratis	Sphenolithus capricornutus	Micrantholithus entaster	Discoaster tanii	Discoaster deflandrei	Coccolithus miopelagicus	Rhabdosphaera procera	Calcidiscus leptoporus	Helicosphaera carteri	Sphenolithus belemnos	Sphenolithus heteromorphus	Scyphosphaera spp.	Reticulofenestra pseudoumbilicus	Discoaster variabilis	Calcidiscus premacintyrei	Triquetrorhabdulus rugosus	Sphenolithus abies	Discoaster exilis	Coronocyclus nitescens	Reticulofenestra minuta	Helicosphaera rhomba	Calcidiscus macintyrei	Reticulofenestra gelida	Reticulofenestra haqii	Minylitha convallis	Discoaster pentaradiatus	Discoaster neohamatus	Discoaster brouweri	Sphenolithus neoabies	Amaurolithus ninae	Discoaster surculus	Discoaster quinqueramus	Amaurolithus tricorniculatus	Rhabdosphaera clavigera	Discoaster triradiatus	Pseudoemiliania lacunosa	Dictyococcites productus	Small Gephyrocapsa spp.	Pontosphaera japonica	Umbilicosphaera sibogae	Syracosphaera pulchra	Scapholithus fossilis	Rhabdosphaera stylifera	Helicosphaera kamptneri	Gephyrocapsa aperta	Reticulofenestra minutula	Oolithotus fragilis	Gephyrocapsa caribbeanica	Comment

  IR	                 	Quaternary       	NN19              	NN19          	182	1134	A	  5	H	CC	  17.00	     42.8800	Shafik   	Nannofossils                                 	C              	M                 	                         	                         	                    	                     	                     	                       	                      	                       	                         	                       	                         	                      	                       	                  	                       	                     	                        	                   	                        	F                    	                         	                           	                          	                          	C                        	                       	                          	                        	                	                     	                        	                     	C                     	F                    	                     	                          	F                 	                                	                     	                         	                          	                  	                 	                      	A                      	                    	F                     	                       	                      	                   	                        	                     	                   	                     	                  	                   	                       	                            	F                      	                      	F                       	C                       	F                      	C                    	                       	                     	                     	                       	                       	                   	                         	                   	                         	       

  IR	                 	Quaternary       	NN19              	NN19          	182	1134	A	  6	H	CC	   0.00	     52.0100	Shafik   	Nannofossils                                 	C              	M                 	                         	                         	                    	                     	                     	                       	                      	                       	                         	                       	                         	                      	                       	                  	                       	                     	                        	                   	                        	R                    	                         	                           	                          	                          	F                        	                       	                          	                        	                	                     	                        	                     	C                     	C                    	                     	                          	                  	                                	                     	                         	                          	                  	                 	                      	C                      	                    	F                     	                       	                      	                   	                        	                     	                   	                     	                  	                   	                       	                            	                       	                      	F                       	A                       	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	       

  IR	                 	Late Miocene     	NN12              	NN12          	182	1134	A	  7	H	CC	  13.00	     61.8900	Shafik   	Nannofossils                                 	C              	M                 	                         	                         	                    	                     	                     	                       	                      	                       	                         	                       	                         	                      	                       	                  	                       	                     	                        	                   	                        	C                    	                         	                           	                          	C                         	                         	                       	                          	                        	                	                     	                        	                     	C                     	C                    	                     	                          	R                 	C                               	C                    	                         	F                         	                  	                 	                      	C                      	                    	C                     	C                      	C                     	                   	R                       	R                    	                   	                     	R                 	C                  	                       	                            	R                      	                      	                        	                        	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	       

  IR	                 	Late Miocene     	NN12              	NN12          	182	1134	A	  8	H	CC	  19.00	     70.8300	Shafik   	Nannofossils                                 	C              	M                 	                         	                         	                    	                     	                     	                       	                      	                       	                         	                       	                         	                      	                       	                  	                       	                     	                        	                   	                        	                     	                         	                           	                          	C                         	                         	                       	                          	                        	                	                     	                        	                     	C                     	C                    	                     	                          	C                 	C                               	F                    	                         	R                         	F                 	                 	                      	C                      	                    	C                     	                       	                      	                   	R                       	                     	R                  	F                    	C                 	C                  	                       	R                           	R                      	R                     	                        	                        	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	       

  IR	                 	Late Miocene     	NN11              	NN11          	182	1134	A	  9	H	CC	  14.00	     80.7300	Shafik   	Nannofossils                                 	C              	M                 	                         	                         	                    	                     	                     	                       	                      	                       	                         	                       	                         	                      	                       	                  	                       	                     	                        	                   	                        	C                    	                         	                           	                          	C                         	                         	                       	                          	                        	                	                     	                        	                     	C                     	C                    	                     	                          	C                 	A                               	C                    	                         	R                         	F                 	                 	                      	A                      	R                   	C                     	C                      	                      	                   	F                       	                     	R                  	C                    	                  	C                  	                       	                            	                       	                      	                        	                        	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	       
