Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Ticinella roberti	Ticinella primula	Schackoina cenomana	Hedbergella simplex	Hedbergella delrioensis	Globigerinelloides bentonensis	Heterohelix moremani	Hedbergella rischi	Globigerinelloides ultramicrus	Rugoglobigerina rugosa	Rugoglobigerina rotundata	Globotruncanita subspinosa	Globotruncanita stuartiformis	Globotruncanita calcarata	Globotruncana ventricosa	Globotruncana orientalis	Globotruncana mariei	Globotruncana linneiana	Globotruncana arca	Globigerinelloides messinae	Globigerinelloides bollii	Contusotruncana patelliformis	Contusotruncana fornicata	Ventilabrella multicamerata	Globotruncanella havanensis	Globotruncana rosetta	Globotruncana aegyptiaca	Gansserina wiedenmayeri	Globotruncanella petaloidea	Globotruncanita stuarti	Globotruncana bulloides	Gansserina gansseri	Rugoglobigerina hexacamerata	Pseudotextularia nuttalli	Pseudotextularia elegans	Pseudoguembelina excolata	Globotruncanita pettersi	Contusotruncana contusa	Abathomphalus intermedius	Racemiguembelina fructicosa	Heterohelix dentata	Globotruncanita conica	Contusotruncana walfischensis	Abathomphalus mayaroensis	Gublerina cuvillieri	Pseudoguembelina costulata	Heterohelix rajagopalani	Rugoglobigerina milamensis	Pseudoguembelina hariaensis	Hedbergella holmdelensis	Morozovella conicotruncata	Morozovella angulata	Morozovella velascoensis	Morozovella pasionensis	Morozovella occlusa	Morozovella aequa	Igorina tadjikistanensis	Acarinina soldadoensis	Acarinina nitida	Acarinina mckannai	Acarinina coalingensis	Morozovella subbotinae	Morozovella aragonensis	Globigerinatheka senni	Acarinina primitiva	Acarinina pentacamerata	Morozovella caucasica	Igorina broedermanni	Globigerinatheka subconglobata	Acarinina libyaensis	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis kochi	Sphaeroidinellopsis disjuncta	Praeorbulina glomerosa	Paragloborotalia mayeri	Orbulina universa	Globorotalia panda	Globoquadrina venezuelana	Globoquadrina dehiscens	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinoides mitra	Fohsella peripheroronda	Dentoglobigerina altispira	Sphaeroidinellopsis subdehiscens	Globorotalia sphericomiozea	Globorotalia puncticulata	Globorotalia plesiotumida	Globorotalia menardii	Globorotalia conomiozea	Globigerinoides obliquus	Truncorotalia crassaformis	Sphaeroidinella dehiscens s.l.	Neogloboquadrina dutertrei	Globorotalia tumida	Globorotalia scitula	Globorotalia margaritae	Globigerinoides ruber	Globigerinoides conglobatus	Globigerina bulloides	Neogloboquadrina pachyderma (dextral)	Globorotalia crassula	Truncorotalia truncatulinoides	Truncorotalia tosaensis	Globorotalia inflata	Globigerinoides extremus	Globigerinella aequilateralis	Globigerinatella insueta	Comment



  IR	                 	Pleistocene      	N22               	N22           	198	1212	B	  1	H	CC	  20.00	      6.6900	planks   	Planktonic Foraminifers                      	C              	M                 	                 	                 	                   	                   	                       	                              	                    	                  	                              	                      	                         	                          	                             	                         	                        	                        	                    	                       	                  	                           	                         	                             	                         	                           	                           	                     	                        	                       	                           	                       	                       	                   	                            	                         	                        	                         	                        	                       	                         	                           	                   	                      	                             	                         	                    	                          	                        	                          	                           	                        	                          	                    	                        	                       	                   	                 	                        	                      	                	                  	                      	                      	                       	                      	                   	                       	                     	                    	                              	                    	                              	                         	                             	                      	                       	R                	                  	                         	                       	                        	R                         	                     	                       	                          	                                	                           	                         	                         	                     	                       	                        	R                         	                              	A                         	R                  	                    	                       	R                    	R                          	F                    	A                                    	                     	R                             	R                      	A                   	                        	R                            	+                       	few rads & foram frags

  IR	                 	Pleistocene      	N22               	N22           	198	1212	B	  2	H	CC	  16.00	     16.6900	planks   	Planktonic Foraminifers                      	A              	M                 	                 	                 	                   	                   	                       	                              	                    	                  	                              	                      	                         	                          	                             	                         	                        	                        	                    	                       	                  	                           	                         	                             	                         	                           	                           	                     	                        	                       	                           	                       	                       	                   	                            	                         	                        	                         	                        	                       	                         	                           	                   	                      	                             	                         	                    	                          	                        	                          	                           	                        	                          	                    	                        	                       	                   	                 	                        	                      	                	                  	                      	                      	                       	                      	                   	                       	                     	                    	                              	                    	                              	                         	                             	                      	                       	R                	                  	                         	                       	                        	R                         	                     	                       	                          	                                	                           	                         	                         	R                    	                       	                        	A                         	R                             	F                         	R                  	R                   	                       	R                    	                           	F                    	R                                    	F                    	R                             	R                      	A                   	                        	                             	                        	few rads & foram frags

  IR	                 	Pleistocene      	N22               	N22           	198	1212	B	  3	H	CC	  19.00	     26.0100	planks   	Planktonic Foraminifers                      	C              	M                 	                 	                 	                   	                   	                       	                              	                    	                  	                              	                      	                         	                          	                             	                         	                        	                        	                    	                       	                  	                           	                         	                             	                         	                           	                           	                     	                        	                       	                           	                       	                       	                   	                            	                         	                        	                         	                        	                       	                         	                           	                   	                      	                             	                         	                    	                          	                        	                          	                           	                        	                          	                    	                        	                       	                   	                 	                        	                      	                	                  	                      	                      	                       	                      	                   	                       	                     	                    	                              	                    	                              	                         	                             	                      	                       	R                	                  	                         	                       	                        	R                         	                     	                       	                          	                                	                           	                         	                         	                     	                       	                        	A                         	                              	F                         	R                  	                    	                       	R                    	R                          	R                    	R                                    	R                    	R                             	R                      	F                   	R                       	                             	                        	few rads & foram frags

  IR	                 	Pliocene         	N21               	N19-N20       	198	1212	B	  4	H	CC	  22.00	     35.6700	planks   	Planktonic Foraminifers                      	C              	P                 	                 	                 	                   	                   	                       	                              	                    	                  	                              	                      	                         	                          	                             	                         	                        	                        	                    	                       	                  	                           	                         	                             	                         	                           	                           	                     	                        	                       	                           	                       	                       	                   	                            	                         	                        	                         	                        	                       	                         	                           	                   	                      	                             	                         	                    	                          	                        	                          	                           	                        	                          	                    	                        	                       	                   	                 	                        	                      	                	                  	                      	                      	                       	                      	                   	                       	                     	                    	                              	                    	                              	                         	                             	                      	                       	R                	                  	                         	                       	                        	R                         	                     	                       	                          	                                	                           	                         	                         	R                    	                       	                        	A                         	R                             	F                         	R                  	R                   	                       	R                    	                           	R                    	R                                    	R                    	                              	                       	                    	                        	                             	                        	common foram frags; few rads
