Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)		Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tranolithus orionatus	Prediscosphaera columnata	Eiffellithus turriseiffelii	Eiffellithus monechiae	Eprolithus floralis	Gartnerago stenostaurion	Axopodorhabdus albianus	Uniplanarius trifidus	Eiffellithus eximius	Ceratolithoides aculeus	Micula staurophora	Arkhangelskiella cymbiformis	Uniplanarius sissinghii	Micula murus	Lithraphidites quadratus	Micula prinsii	Ceratolithoides kamptneri	Fasciculithus ulii	Cruciplacolithus tenuis	Chiasmolithus danicus	Fasciculithus tympaniformis	Ericsonia robusta	Discoaster multiradiatus	Tribrachiatus orthostylus	Discoaster lodoensis	Discoaster kuepperi	Discoaster barbadiensis	Discoaster tanii	Discoaster sublodoensis	Discoaster tamalis	Discoaster surculus	Discoaster pentaradiatus	Ceratolithus rugosus	Amaurolithus spp.	Gephyrocapsa oceanica	Calcidiscus macintyrei	Pseudoemiliania lacunosa	Discoaster triradiatus	Discoaster brouweri	Gephyrocapsa omega	Gephyrocapsa (small)	Gephyrocapsa parallela	Gephyrocapsa margerelii	Gephyrocapsa caribbeanica	Comment



  IR	                 	                 	CN14b             	CN14b         		198	1212	B	  1	H	CC	  20.00	      6.6900	nannos   	Nannofossils                                 	A              	M                 	                     	                         	                           	                      	                   	                        	                       	                     	                    	                       	                  	                            	                       	            	                        	              	                         	                  	                       	                     	                           	                 	                        	                         	                    	                   	                       	                	                       	                  	                   	                        	                    	                 	C                    	                      	                        	                      	                   	                  	                    	F                     	C                      	C                        	       

  IR	                 	                 	CN13a             	CN13a         		198	1212	B	  2	H	CC	  16.00	     16.6900	nannos   	Nannofossils                                 	A              	M                 	                     	                         	                           	                      	                   	                        	                       	                     	                    	                       	                  	                            	                       	            	                        	              	                         	                  	                       	                     	                           	                 	                        	                         	                    	                   	                       	                	                       	                  	                   	                        	                    	                 	C                    	                      	C                       	                      	                   	F                 	C                   	                      	                       	                         	       

  IR	                 	                 	CN12d             	CN12d         		198	1212	B	  3	H	CC	  19.00	     26.0100	nannos   	Nannofossils                                 	A              	M                 	                     	                         	                           	                      	                   	                        	                       	                     	                    	                       	                  	                            	                       	            	                        	              	                         	                  	                       	                     	                           	                 	                        	                         	                    	                   	                       	                	                       	                  	                   	                        	                    	                 	C                    	C                     	C                       	F                     	C                  	                  	                    	                      	                       	                         	       

  IR	                 	                 	CN12a             	CN12a         		198	1212	B	  4	H	CC	  22.00	     35.6700	nannos   	Nannofossils                                 	A              	M                 	                     	                         	                           	                      	                   	                        	                       	                     	                    	                       	                  	                            	                       	            	                        	              	                         	                  	                       	                     	                           	                 	                        	                         	                    	                   	                       	                	                       	C                 	C                  	C                       	                    	                 	C                    	C                     	                        	                      	                   	                  	                    	                      	                       	                         	       

