Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeugrhabdotus embergeri,Watznaueria barnesae,Tranolithus orionatus,Reinhardtites levis,Quadrum gartneri,Prediscosphaera cretacea,Prediscosphaera columnata,Micula staurophora,Manivitella pemmatoidea,Loxolithus armilla,Eiffellithus turriseiffelii,Eiffellithus eximius,Cylindralithus nudus,Cretarhabdus crenulatus,Cretarhabdus conicus,Assipetra terebrodentarius,Aspidolithus parcus parcus,Arkhangelskiella cymbiformis,Uniplanarius gothicus,Tranolithus gabalus,Lucianorhabdus quadrifidus,Aspidolithus parcus ssp. Expansus,Aspidolithus parcus constrictus,Ceratolithoides aculeus,Prediscosphaera spinosa,Lucianorhabdus arcuatus,Calculites obscurus,Dictyococcites bisectus,Cyclicargolithus floridanus,Sphenolithus heteromorphus,Discoaster exilis,Discoaster deflandrei,Coccolithus miopelagicus,Calcidiscus premacintyrei,Reticulofenestra pseudoumbilicus,Discoaster variabilis,Discoaster hamatus,Discoaster brouweri,Catinaster coalitus,Discoaster pentaradiatus,Minylitha convallis,Discoaster triradiatus,Discoaster challengeri,Discoaster berggrenii,Calcidiscus macintyrei,Discoaster loeblichii,Discoaster bergenii,Discoaster surculus,Calcidiscus tropicus,Amaurolithus spp.,Amaurolithus primus,Amaurolithus amplificus,Discoaster quinqueramus,Ceratolithus cristatus,Gephyrocapsa margerelii,Discoaster asymmetricus,Discoaster tamalis,Pseudoemiliania lacunosa,Discoaster prepentaradiatus,Gephyrocapsa caribbeanica,Reticulofenestra asanoi,Gephyrocapsa oceanica,Helicosphaera sellii,Helicosphaera carteri,Gephyrocapsa parallela,Gephyrocapsa aperta,Emiliania huxleyi,Coccolithus pelagicus (with bar),Coccolithus pelagicus,Ceratolithus acutus,Calcidiscus leptoporus,Calcidiscus carlae,Syracosphaera spp.,Pontosphaera spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN15              ,CN15          ,,198,1208,A,  1,H,CC,  15.00,      4.7000,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,                                ,                     ,                  ,                   ,                   ,                        ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,C                     ,F                      ,                       ,                  ,                        ,                           ,C                        ,                       ,C                    ,                    ,F                    ,F                     ,C                  ,C                ,F                               ,C                    ,C                  ,cC                    ,C                 ,+                 ,C                ,Not in the E. huxleyi acme event here
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CC15              ,CN15          ,,198,1208,A,  2,H,CC,  28.00,     14.2400,nannos   ,Nannofossils                                 ,A              ,                  ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,                                ,                     ,                  ,                   ,                   ,                        ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,C                     ,F                      ,                       ,                  ,                        ,                           ,F                        ,                       ,C                    ,                    ,F                    ,F                     ,F                  ,F                ,F                               ,C                    ,C                  ,C                     ,C                 ,                  ,                 ,"Reworked (?) D. broweri here, but poor specimen"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN14b         ,,198,1208,A,  3,H,CC,  18.00,     23.8200,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,                                ,                     ,                  ,                   ,                   ,                        ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,                        ,                           ,C                        ,                       ,                     ,+                   ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,CN13b         ,,198,1208,A,  4,H,CC,  20.00,     33.4700,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,                                ,                     ,                  ,                   ,                   ,                        ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,C                       ,                           ,C                        ,                       ,C                    ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
