Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triquetrorhabdulus carinatus,Sphenolithus moriformis,Sphenolithus dissimilis,Reticulofenestra gartneri,Reticulofenestra daviesii,Discoaster deflandrei,Dictyococcites bisectus,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Coronocyclus nitescens,Coccolithus pelagicus,Sphenolithus conicus,Helicosphaera euphratis,Pyrocyclus orangensis,Triquetrorhabdulus milowii,Sphenolithus belemnos,Helicosphaera intermedia,Discoaster druggii,Sphenolithus heteromorphus,Reticulofenestra spp. small,Helicosphaera granulata,Helicosphaera ampliaperta,Discoaster variabilis,Discoaster adamanteus,Cyclolithella rotula,Discoaster exilis,Calcidiscus macintyrei,Dictyococcites perplexus,Reticulofenestra pseudoumbilica,Sphenolithus abies/neoabies,Triquetrorhabdulus rugosus,Discoaster bollii,Discoaster kugleri,Discoaster challengeri,Coccolithus miopelagicus,Calcidiscus leptoporus,Helicosphaera kamptneri,Catinaster coalitus,Discoaster prepentaradiatus,Discoaster neohamatus,Discoaster hamatus,Discoaster bellus,Catinaster calyculus,Discoaster neorectus,Discoaster loeblichii,Discoaster calcaris,Discoaster brouweri,Discoaster quinqueramus,Discoaster berggrenii,Reticulofenestra doronicoides,Discoaster pentaradiatus,Amaurolithus primus,Discoaster surculus,Amaurolithus delicatus,Ceratolithus acutus,Amaurolithus amplificus,Ceratolithus rugosus,Amaurolithus tricorniculatus,Rhabdosphaera clavigera,Discoaster asymmetricus,Discoaster tamalis,Pseudoemiliania lacunosa,Pontosphaera japonica,Helicosphaera sellii,Syracosphaera pulchra,Syracosphaera histrica,Rhabdosphaera stylifera,Ceratolithus cristatus,Discoaster triradiatus,Oolithotus antillarum,Pontosphaera syracusana,Gephyrocapsa caribbeanica,Gephyrocapsa oceanica,Umbilicosphaera sibogae,Ceratolithus telesmus,Umbilicosphaera mirabilis,Thoracosphaera sp.,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,108, 659,A,  1,H, 1,  70.00,      0.7000,Manivit  ,Nannofossils                                 ,A              ,G                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,                     ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,                           ,                       ,                         ,                     ,                     ,                    ,                 ,                      ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,R                     ,                       ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,                   ,                       ,                     ,                             ,                        ,                   ,                   ,                      ,                   ,                       ,                    ,                            ,                       ,                       ,                  ,                        ,                     ,                    ,                     ,                      ,R                      ,                      ,                      ,                     ,                       ,                         ,F                    ,                       ,                     ,R                        ,                  ,A                ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN15              ,              ,108, 659,A,  1,H, 3, 130.00,      4.3000,Manivit  ,Nannofossils                                 ,A              ,G                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,                     ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,                           ,                       ,                         ,                     ,                     ,                    ,                 ,                      ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,R                     ,R                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,                   ,                       ,                     ,                             ,                        ,                   ,                   ,                      ,                   ,                       ,                    ,                            ,                       ,                       ,                  ,                        ,                     ,                    ,                     ,R                     ,R                      ,                      ,                      ,                     ,                       ,C                        ,C                    ,R                      ,R                    ,                         ,R                 ,C                ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,CN15          ,108, 659,A,  1,H, 5, 130.00,      7.3000,Manivit  ,Nannofossils                                 ,A              ,G                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,R                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,                           ,                       ,                         ,                     ,                     ,                    ,                 ,                      ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,F                     ,                       ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,                   ,                       ,                     ,                             ,                        ,                   ,                   ,                      ,                   ,                       ,                    ,                            ,                       ,                       ,                  ,                        ,                     ,                    ,F                    ,                      ,R                      ,                      ,                      ,                     ,R                      ,C                        ,C                    ,R                      ,                     ,R                        ,R                 ,F                ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,CN15          ,108, 659,A,  2,H, 1,  30.00,      8.1000,Manivit  ,Nannofossils                                 ,A              ,G                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,F                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,                           ,                       ,                         ,                     ,                     ,                    ,                 ,                      ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,F                     ,F                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,                   ,                       ,                     ,R                            ,                        ,                   ,                   ,                      ,                   ,                       ,                    ,                            ,                       ,                       ,                  ,                        ,R                    ,                    ,F                    ,R                     ,R                      ,                      ,                      ,                     ,F                      ,A                        ,A                    ,R                      ,R                    ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
