Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triquetrorhabdulus milowii	Triquetrorhabdulus carinatus	Sphenolithus moriformis	Sphenolithus dissimilis	Sphenolithus delphix	Sphenolithus compactus	Ericsonia obruta	Discoaster variabilis	Discoaster deflandrei	Cyclicargolithus floridanus	Coccolithus pelagicus	Coccolithus miopelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Sphenolithus conicus	Helicosphaera intermedia	Hayaster perplexus	Coronocyclus nitescens	Coccolithus streckerii	Reticulofenestra minuta	Reticulofenestra haqii	Helicosphaera granulata	Pontosphaera spp.	Discoaster exilis	Reticulofenestra minutula	Discoaster adamanteus	Cyclolithella annula	Reticulofenestra pseudoumbilica	Reticulofenestra gelida	Triquetrorhabdulus rugosus	Calcidiscus premacintyrei	Coccolithus eopelagicus	Tetralithoides symeonidesii	Discoaster spp.	Discoaster druggii	Sphenolithus abies	Discoaster moorei	Dictyococcites productus	Sphenolithus belemnos	Sphenolithus heteromorphus	Discoaster formosus	Solidopons petrae	Scyphosphaera spp.	Helicosphaera carteri	Discoaster brouweri	Discoaster kugleri	Discoaster calcaris	Discoaster braarudii	Discoaster neohamatus	Discoaster triradiatus	Discoaster challengeri	Catinaster coalitus	Discoaster surculus	Discoaster pseudovariabilis	Discoaster hamatus	Discoaster bellus	Catinaster calyculus	Discoaster prepentaradiatus	Discoaster pentaradiatus	Discoaster neorectus	Discoaster loeblichii	Discoaster berggrenii	Discoaster quinqueramus	Helicosphaera wallichii	Discoaster asymmetricus	Sphenolithus grandis	Amaurolithus primus	Discoaster pansus	Discoaster blackstockae	Amaurolithus delicatus	Amaurolithus amplificus	Discoaster intercalaris	Reticulofenestra asanoi	Ceratolithus acutus	Umbilicosphaera sibogae	Syracosphaera pulchra	Helicosphaera neogranulata	Ceratolithus rugosus	Amaurolithus tricorniculatus	Scapholithus fossilis	Helicosphaera sellii	Oolithotus fragilis	Discoaster tristellifer	Pseudoemiliania lacunosa	Discoaster quadramus	Catinaster altus	Gephyrocapsa sp. (small)	Gephyrocapsa aperta	Discoaster decorus	Discoaster tamalis	Comment



  SR	                 	                 	NN16              	              	130	 805	B	  7	H	CC	  21.00	     63.8200	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	                     	                     	                           	                     	                        	1                     	12                    	                    	                        	T                 	                      	                      	82                     	10                    	                       	T                	                 	65                       	                     	10                  	T                              	                       	                          	                         	                       	                           	1              	                  	                  	                 	1                       	                     	                          	                   	                 	                  	T                    	16                 	                  	                   	                    	                     	T                     	                      	                   	T                  	                           	                  	                 	                    	                           	                        	                    	                     	                     	                       	                       	T                      	                    	                   	                 	                       	                      	                       	                       	                       	                   	1                      	T                    	?                         	                    	                            	                     	?                   	                   	                       	T                       	                    	                	1                       	                   	                  	T                 	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN16              	              	130	 805	B	  8	H	 4	  23.00	     68.4300	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	?                    	                     	                           	                     	                        	3                     	16                    	                    	                        	T                 	                      	                      	69                     	3                     	                       	T                	                 	86                       	                     	12                  	                               	T                      	                          	?                        	                       	                           	1              	                  	                  	                 	                        	                     	                          	                   	                 	                  	T                    	4                  	                  	                   	                    	                     	T                     	                      	                   	T                  	                           	                  	                 	                    	                           	T                       	                    	                     	                     	                       	                       	T                      	                    	                   	                 	                       	                      	                       	                       	                       	                   	1                      	T                    	?                         	T                   	                            	                     	?                   	1                  	                       	2                       	                    	                	                        	                   	T                 	                  	Miscellaneous taxa = 2.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN16              	              	130	 805	B	  8	H	CC	  14.00	     73.5000	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	T                    	                     	                           	                     	                        	1                     	24                    	                    	                        	1                 	                      	                      	76                     	1                     	                       	T                	                 	52                       	                     	2                   	                               	                       	                          	                         	                       	1                          	               	                  	6                 	                 	                        	                     	                          	                   	                 	T                 	T                    	6                  	                  	                   	                    	                     	                      	?                     	                   	T                  	                           	                  	                 	                    	                           	2                       	                    	                     	                     	                       	?                      	1                      	                    	                   	                 	                       	                      	                       	                       	                       	                   	8                      	                     	                          	T                   	                            	                     	T                   	T                  	                       	4                       	                    	                	2                       	13                 	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN13              	NN15          	130	 805	B	  9	H	 4	  23.00	     77.9300	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	2                    	                     	                           	                     	                        	2                     	22                    	                    	                        	                  	                      	                      	86                     	2                     	                       	                 	                 	50                       	                     	3                   	13                             	8                      	                          	                         	                       	T                          	               	                  	9                 	                 	                        	                     	                          	                   	                 	T                 	1                    	T                  	                  	                   	                    	                     	T                     	                      	                   	                   	                           	                  	                 	                    	                           	T                       	                    	                     	                     	                       	1                      	T                      	                    	                   	                 	                       	                      	                       	                       	                       	                   	?                      	                     	                          	T                   	                            	                     	T                   	                   	                       	1                       	                    	T               	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.
