Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra pseudoumbilicus,Helicosphaera sellii,Discoaster surculus,Discoaster pentaradiatus,Calcidiscus macintyrei (>11 um),Calcidiscus leptoporus,Amaurolithus spp.,Discoaster brouweri,Coccolithus pelagicus,Pseudoemiliania lacunosa,Discoaster tamalis,Discoaster asymmetricus,Helicosphaera carteri,Gephyrocapsa (small),Braarudosphaera spp.,Gephyrocapsa oceanica s.l.,Gephyrocapsa caribbeanica,Gephyrocapsa large,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN15              ,              ,167,1020,B,  1,H,CC,  28.00,      7.7800,Fornaciari,Nannofossils                                 ,F/C            ,G                 ,                                ,                    ,                   ,                        ,                               ,                      ,                 ,                   ,F                    ,                        ,                  ,                       ,                     ,                    ,                    ,+                         ,                         ,                  ,+                ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1020,B,  2,H,CC,  11.00,     16.6100,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                    ,                   ,                        ,                               ,                      ,                 ,                   ,                     ,                        ,                  ,                       ,R                    ,A                   ,R                   ,C                         ,                         ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1020,B,  3,H,CC,  39.00,     27.2600,Fornaciari,Nannofossils                                 ,F              ,P/M               ,                                ,                    ,                   ,                        ,                               ,                      ,                 ,                   ,C                    ,                        ,                  ,                       ,                     ,+                   ,                    ,C                         ,                         ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1020,B,  4,H,CC,  35.00,     36.8300,Fornaciari,Nannofossils                                 ,F/C            ,M                 ,                                ,                    ,                   ,                        ,                               ,                      ,                 ,                   ,F                    ,                        ,                  ,                       ,                     ,A                   ,                    ,R/F                       ,+                        ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,              ,167,1020,B,  5,H,CC,  30.00,     46.4000,Fornaciari,Nannofossils                                 ,R              ,M                 ,                                ,                    ,                   ,                        ,                               ,                      ,                 ,                   ,                     ,R                       ,                  ,                       ,                     ,C                   ,                    ,R/F                       ,+                        ,                  ,                 ,questionable zonal assignment. from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
