Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Eucyrtidium spinosum	Cyrtocapsella japonica	Stylatractus neptunus	Stichocorys peregrina	Sphaeropyle robusta	Eucyrtidium cienkowskii	Cycladophora antiqua	Dictyophimus splendens	Stylatractus universus	Stylacontarium acquilonium	Stichocorys delmontensis	Lamprocyrtis hannai	Cycladophora humerus	Axoprunum angelinum	Anthocyrtidium ehrenbergi	Theocorythium trachelium trachelium	Stylosphaera minor	Pterocanium prismatium	Ommatartus sp D	Lychnocanoma grande	Eucyrtidium calvertense	Cannartus sp. C	Botryostrobus bramlettei pretumidulus	Botryostrobus auritus/australis	Botryostrobus aquilonaris	Anthocyrtidium angulare	Saturnalis circularis	Carpocanistrum ob	Botryostrobus bramlettei seriatus	Amphymenium splendiarmatum	Comment



  IR	                 	                 	                  	              	189	1168	A	  2	H	CC	   9.00	     17.0000	rads     	Radiolarians                                 	F              	G                 	                    	                      	                     	                     	                   	                       	                    	                      	                      	A                         	                        	                   	                    	                   	                         	                                   	                  	                      	               	                   	                       	               	                                     	                               	                         	                       	                     	                 	                                 	                          	       

  IR	                 	                 	                  	              	189	1168	A	 12	H	CC	  35.00	    112.0600	rads     	Radiolarians                                 	C              	VG                	                    	                      	R                    	C                    	                   	C                      	R                   	                      	                      	F                         	                        	C                  	R                   	                   	R                        	R                                  	T                 	R                     	C              	C                  	R                      	               	                                     	R                              	                         	R                      	T                    	R                	T                                	R                         	       

  IR	                 	                 	                  	              	189	1168	A	 13	X	CC	  15.00	    115.9500	rads     	Radiolarians                                 	C              	VG                	                    	                      	R                    	C                    	R                  	C                      	R                   	R                     	                      	F                         	                        	C                  	R                   	                   	R                        	R                                  	T                 	R                     	R              	C                  	R                      	C              	T                                    	R                              	T                        	R                      	                     	                 	                                 	                          	       

  IR	                 	                 	                  	              	189	1168	A	 14	X	CC	  25.00	    125.8100	rads     	Radiolarians                                 	C              	VG                	                    	                      	+                    	C                    	                   	C                      	R                   	R                     	T                     	F                         	R                       	R                  	R                   	R                  	T                        	                                   	                  	                      	               	                   	                       	               	                                     	                               	                         	                       	                     	                 	                                 	                          	       

  IR	Late Miocene     	Late Miocene     	                  	              	189	1168	A	 15	X	CC	  12.00	    132.8900	rads     	Radiolarians                                 	C              	G                 	                    	                      	                     	                     	                   	C                      	R                   	R                     	                      	                          	                        	                   	                    	                   	                         	                                   	                  	                      	               	                   	                       	               	                                     	                               	                         	                       	                     	                 	                                 	                          	       

  IR	Late Miocene     	Late Miocene     	                  	              	189	1168	A	 16	X	CC	  15.00	    144.8600	rads     	Radiolarians                                 	F              	G                 	                    	                      	R                    	C                    	R                  	R                      	R                   	                      	                      	                          	                        	                   	                    	                   	                         	                                   	                  	                      	               	                   	                       	               	                                     	                               	                         	                       	                     	                 	                                 	                          	       

  IR	Late Miocene     	Late Miocene     	                  	              	189	1168	A	 17	X	CC	  17.00	    154.3100	rads     	Radiolarians                                 	F              	G                 	                    	T                     	                     	                     	                   	                       	                    	                      	                      	                          	                        	                   	                    	                   	                         	                                   	                  	                      	               	                   	                       	               	                                     	                               	                         	                       	                     	                 	                                 	                          	       

  IR	Late Miocene     	Late Miocene     	                  	              	189	1168	A	 18	X	CC	  29.00	    164.8800	rads     	Radiolarians                                 	F              	M                 	                    	A                     	                     	                     	                   	                       	                    	                      	                      	                          	                        	                   	                    	                   	                         	                                   	                  	                      	               	                   	                       	               	                                     	                               	                         	                       	                     	                 	                                 	                          	       

  IR	                 	                 	                  	              	189	1168	A	 19	X	CC	  16.00	    175.2300	rads     	Radiolarians                                 	R              	M                 	                    	C                     	                     	                     	                   	                       	                    	                      	                      	                          	                        	                   	                    	                   	                         	                                   	                  	                      	               	                   	                       	               	                                     	                               	                         	                       	                     	                 	                                 	                          	       

  IR	                 	                 	                  	              	189	1168	A	 65	X	CC	  27.00	    616.5300	rads     	Radiolarians                                 	B              	                  	T                   	                      	                     	                     	                   	                       	                    	                      	                      	                          	                        	                   	                    	                   	                         	                                   	                  	                      	               	                   	                       	               	                                     	                               	                         	                       	                     	                 	                                 	                          	       

