Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Marginotruncana marginata	Hedbergella holmdelensis	Globotruncana orientalis	Globotruncana linneiana	Archaeoglobigerina cretacea	Globoquadrina venezuelana	Globorotalia opima nana	Catapsydrax dissimilis	Globigerina yeguaensis	Globigerina ciperoensis ciperoensis	Catapsydrax unicavus	Globorotalia opima opima	Globorotalia opima nana/continuosa transition	Catapsydrax spp.	Globorotaloides suteri	Globigerina tripartita	Globigerina spp.	Globigerina praebulloides	Globigerina ciperoensis angustiumbilicata	Globigerina ciperoensis angulisuturalis	Globorotaloides spp.	Globigerinoides primordius	Globigerina sellii	Globigerina gortanii	Truncorotaloides rohri	Globorotalia mayeri	Globorotalia obesa	Globigerinoides spp.	Globorotalia siakensis	Globorotalia fohsi peripheroronda	Globoquadrina spp.	Globorotalia kugleri	Globoquadrina dehiscens praedehiscens	Globoquadrina baroemoenensis	Globigerina woodi woodi	Globoquadrina dehiscens dehiscens	Globigerinoides subquadratus	Globigerinita naparimaensis	Globigerina falconensis	Comment



  SR	Early Miocene    	                 	N5                	N6            	149	 899	B	  1	R	 2	 132.00	    233.3200	Gervais  	Planktonic Foraminifers                      	R              	P                 	                         	                        	                        	                       	                           	                         	                       	R                     	                      	                                   	                    	                        	                                             	R               	                      	                      	                	                         	                                         	                                       	                    	                          	                  	                    	                      	                   	                  	                    	                      	                                 	                  	                    	                                     	                            	                       	                                 	                            	                           	                       	from 149 SR. Chapter 6. Table 8. page 178.

  SR	Early Miocene    	                 	N5                	N6            	149	 899	B	  2	R	 2	  88.00	    237.1800	Gervais  	Planktonic Foraminifers                      	R              	M                 	                         	                        	                        	                       	                           	                         	                       	                      	                      	                                   	                    	                        	                                             	                	                      	                      	R               	R                        	R                                        	                                       	                    	                          	                  	                    	                      	                   	R                 	                    	                      	                                 	                  	                    	                                     	                            	                       	                                 	R                           	                           	R                      	from 149 SR. Chapter 6. Table 8. page 178.

  SR	Early Miocene    	                 	N5                	N6            	149	 899	B	  2	R	CC	   0.00	    239.3000	Gervais  	Planktonic Foraminifers                      	R              	M                 	                         	                        	                        	                       	                           	                         	                       	                      	                      	                                   	                    	                        	                                             	                	                      	                      	                	                         	                                         	                                       	                    	                          	                  	                    	                      	R                  	                  	                    	R                     	                                 	                  	                    	                                     	                            	                       	                                 	                            	                           	                       	from 149 SR. Chapter 6. Table 8. page 178.

  SR	Early Miocene    	                 	N5                	N6            	149	 899	B	  3	R	 1	  51.00	    244.9100	Gervais  	Planktonic Foraminifers                      	R              	P                 	                         	                        	                        	                       	                           	                         	                       	R                     	                      	                                   	                    	                        	                                             	                	                      	                      	                	R                        	R                                        	                                       	                    	                          	                  	                    	                      	                   	                  	                    	                      	                                 	                  	                    	                                     	                            	                       	                                 	?                           	                           	?                      	from 149 SR. Chapter 6. Table 8. page 178.

