Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ebriopsis antiqua,Corbisema spp.,Hermesinopsis sp. B,Hermesinella spp.,Ebriopsis sp. A,Ebridians (indeterminate taxa),Dictyocha spp.,Corbisema regina,Naviculopsis spp.,Septamesocena  apiculata evexa,Pseudammodochium spp.,Pseudammodochium dictyoides,Hovassebria brevispinosa,Ebriopsis acuta,Distephanus speculum ( fenestrate forms),Dictyocha fibula s.l.,Dictyocha eocaenica,Dictyocha challengeri,Corbisema katharinae,Corbisema elata,Corbisema apiculata,Carduifolia gracilis,Ammodochium spp.,Septamesocena oamaruensis,Septamesocena apiculata apiculata,Pseudammodochium sp. C,Parebriopsis symmetrica,Naviculopsis foliacea,Hermesinopsis spp.,Haplohermesinum cornuta,Ebriopsis crenulata,Distephanus speculum  pentagonus,Dictyocha sp. B,Dictyocha carentis carentis,Corbisema triacantha s.l.,Corbisema cf. triacantha,Naviculopsis aff. constricta,Distephanus antiquus,Corbisema angularis,Hermesinopsis cf. caulleryi,Haplohermesinum spp.,Haplohermesinum hovassei,Distephanus speculum f. speculum,Distephanus speculum (diverse forms),Dictyocha cf. mutabilis,Corbisema spinosa,Corbisema sp. A,Corbisema hexacantha,Ammodochium rectangulare,Naviculopsis constricta,Hermesinopsis aplanata,Dictyocha bryonalis bryonalis,Naviculopsis spp. fragments,Dictyocha sp. A,Ebriopsis spp.,Actiniscus cf. elongatus,Hermesinella cf. transversa,Ammodochium novum,Actiniscus pentasterias s.l.,Actiniscidians indetrminate taxa,Dictyocha fibula,Ammodochium fletcheri,Spongebria miocenica,Spongebria curta,Septamesocena apiculata glabra,Distephanus crux crux,Cannopilus hemisphaericus,Ammodochium serotinum,Ammodochium pyramidale,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 913,B, 24,R, 4, 111.00,    467.6100,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,P                 ,                 ,              ,A                  ,                 ,               ,C                             ,              ,                ,                 ,R                             ,                     ,R                          ,                        ,F              ,                                        ,                     ,                   ,                     ,                    ,               ,R                  ,R                   ,                ,                         ,                                 ,                      ,                       ,                     ,T                 ,                       ,                   ,                                ,               ,T                          ,R                        ,                        ,                            ,                    ,                   ,T                          ,R                   ,                        ,                                ,                                    ,                       ,                 ,               ,                    ,                        ,                       ,                      ,R                            ,                           ,T              ,R             ,                        ,                           ,R                ,R                           ,                                ,T               ,                     ,                    ,                ,                              ,                     ,                         ,                     ,                      ,From LEG 151SR; Ch 6; Tables 4&5; pp. 109-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. hexacantha     ,              ,151, 913,B, 24,R,CC,   0.00,    469.0800,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,MP                ,                 ,R             ,A                  ,                 ,R              ,C                             ,R             ,R               ,                 ,R                             ,F                    ,F                          ,+                       ,R              ,                                        ,                     ,F                  ,                     ,                    ,C              ,R                  ,                    ,R               ,                         ,                                 ,R                     ,A                      ,                     ,                  ,R                      ,                   ,                                ,               ,                           ,C                        ,                        ,R                           ,                    ,                   ,R                          ,                    ,R                       ,                                ,                                    ,                       ,                 ,               ,R                   ,                        ,                       ,                      ,R                            ,                           ,               ,R             ,R                       ,                           ,C                ,R                           ,R                               ,R               ,                     ,                    ,                ,                              ,                     ,                         ,                     ,                      ,From LEG 151SR; Ch 6; Tables 4&5; pp. 109-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. hexacantha     ,              ,151, 913,B, 25,R, 1, 114.00,    472.7400,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,MP                ,                 ,C             ,A                  ,R                ,F              ,C                             ,              ,F               ,R                ,F                             ,R                    ,R                          ,+                       ,F              ,                                        ,R                    ,F                  ,R                    ,R                   ,A              ,R                  ,R                   ,                ,                         ,                                 ,R                     ,F                      ,                     ,                  ,R                      ,                   ,                                ,               ,                           ,A                        ,                        ,R                           ,                    ,                   ,C                          ,                    ,R                       ,                                ,                                    ,                       ,                 ,R              ,R                   ,                        ,                       ,                      ,R                            ,                           ,R              ,              ,R                       ,R                          ,F                ,                            ,                                ,R               ,                     ,                    ,                ,                              ,                     ,                         ,                     ,                      ,From LEG 151SR; Ch 6; Tables 4&5; pp. 109-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. hexacantha     ,              ,151, 913,B, 25,R, 2, 114.00,    474.2400,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,MG                ,R                ,              ,C                  ,                 ,R              ,F                             ,              ,R               ,                 ,R                             ,R                    ,R                          ,+                       ,R              ,                                        ,R                    ,                   ,                     ,R                   ,A              ,R                  ,R                   ,R               ,                         ,                                 ,F                     ,F                      ,                     ,                  ,                       ,                   ,                                ,               ,                           ,C                        ,R                       ,R                           ,                    ,                   ,F                          ,                    ,R                       ,                                ,                                    ,                       ,                 ,               ,R                   ,                        ,R                      ,                      ,R                            ,                           ,R              ,              ,                        ,F                          ,                 ,R                           ,                                ,                ,                     ,                    ,                ,                              ,                     ,                         ,                     ,                      ,From LEG 151SR; Ch 6; Tables 4&5; pp. 109-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. hexacantha     ,              ,151, 913,B, 25,R, 3, 114.00,    475.7400,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,PM                ,R                ,              ,F                  ,                 ,F              ,R                             ,R             ,R               ,                 ,R                             ,                     ,R                          ,+                       ,F              ,                                        ,R                    ,                   ,R                    ,R                   ,F              ,R                  ,R                   ,                ,                         ,                                 ,F                     ,R                      ,                     ,                  ,                       ,                   ,                                ,               ,R                          ,F                        ,                        ,R                           ,                    ,                   ,R                          ,                    ,R                       ,                                ,                                    ,                       ,                 ,               ,                    ,T                       ,                       ,                      ,                             ,                           ,R              ,              ,R                       ,R                          ,R                ,                            ,                                ,                ,                     ,                    ,                ,                              ,                     ,                         ,                     ,                      ,From LEG 151SR; Ch 6; Tables 4&5; pp. 109-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. hexacantha     ,              ,151, 913,B, 25,R, 4, 112.00,    477.2200,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,MP                ,R                ,              ,C                  ,                 ,R              ,F                             ,              ,R               ,                 ,F                             ,                     ,R                          ,+                       ,R              ,R                                       ,F                    ,                   ,                     ,R                   ,R              ,R                  ,R                   ,                ,                         ,R                                ,R                     ,T                      ,                     ,                  ,R                      ,                   ,                                ,               ,                           ,F                        ,                        ,                            ,                    ,                   ,R                          ,                    ,R                       ,                                ,R                                   ,                       ,                 ,               ,R                   ,F                       ,R                      ,T                     ,                             ,                           ,R              ,              ,R                       ,                           ,R                ,                            ,R                               ,                ,                     ,                    ,                ,                              ,                     ,                         ,                     ,                      ,From LEG 151SR; Ch 6; Tables 4&5; pp. 109-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. hexacantha     ,              ,151, 913,B, 25,R, 5, 112.00,    478.7200,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,MP                ,                 ,              ,F                  ,                 ,               ,R                             ,              ,R               ,                 ,R                             ,R                    ,R                          ,+                       ,R              ,T                                       ,R                    ,                   ,                     ,                    ,R              ,R                  ,R                   ,                ,                         ,R                                ,R                     ,                       ,R                    ,                  ,R                      ,                   ,                                ,               ,                           ,R                        ,                        ,                            ,                    ,                   ,                           ,                    ,                        ,                                ,                                    ,                       ,                 ,               ,R                   ,                        ,R                      ,                      ,                             ,                           ,R              ,              ,R                       ,R                          ,R                ,R                           ,                                ,                ,                     ,                    ,                ,                              ,                     ,                         ,                     ,                      ,From LEG 151SR; Ch 6; Tables 4&5; pp. 109-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. hexacantha     ,              ,151, 913,B, 25,R, 6, 113.00,    480.2300,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,MP                ,R                ,              ,C                  ,                 ,R              ,F                             ,              ,R               ,R                ,R                             ,                     ,R                          ,+                       ,F              ,                                        ,R                    ,                   ,R                    ,                    ,               ,R                  ,R                   ,                ,                         ,C                                ,R                     ,C                      ,F                    ,                  ,                       ,                   ,                                ,               ,                           ,F                        ,                        ,R                           ,                    ,                   ,R                          ,                    ,                        ,                                ,                                    ,                       ,                 ,               ,R                   ,                        ,                       ,                      ,                             ,                           ,R              ,              ,F                       ,R                          ,R                ,C                           ,                                ,                ,                     ,                    ,                ,                              ,                     ,                         ,                     ,                      ,From LEG 151SR; Ch 6; Tables 4&5; pp. 109-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. hexacantha     ,              ,151, 913,B, 25,R,CC,  13.00,    481.4400,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,MP                ,R                ,R             ,C                  ,                 ,R              ,C                             ,              ,R               ,                 ,R                             ,R                    ,R                          ,+                       ,R              ,                                        ,R                    ,                   ,R                    ,                    ,R              ,R                  ,R                   ,                ,                         ,                                 ,R                     ,                       ,R                    ,F                 ,                       ,                   ,                                ,               ,                           ,R                        ,                        ,                            ,                    ,                   ,                           ,                    ,                        ,                                ,                                    ,                       ,                 ,               ,                    ,                        ,R                      ,                      ,                             ,                           ,               ,              ,                        ,R                          ,                 ,                            ,                                ,                ,                     ,                    ,                ,                              ,                     ,                         ,                     ,                      ,From LEG 151SR; Ch 6; Tables 4&5; pp. 109-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. hexacantha     ,              ,151, 913,B, 26,R, 1, 113.00,    482.2300,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,MP                ,F                ,              ,A                  ,                 ,T              ,C                             ,              ,T               ,                 ,                              ,                     ,R                          ,+                       ,R              ,                                        ,                     ,                   ,R                    ,                    ,R              ,                   ,R                   ,                ,                         ,                                 ,R                     ,R                      ,R                    ,R                 ,                       ,                   ,                                ,               ,                           ,R                        ,                        ,                            ,                    ,                   ,                           ,                    ,T                       ,                                ,                                    ,                       ,                 ,               ,                    ,R                       ,T                      ,                      ,                             ,                           ,               ,R             ,T                       ,                           ,                 ,                            ,                                ,                ,                     ,                    ,                ,                              ,                     ,                         ,                     ,                      ,From LEG 151SR; Ch 6; Tables 4&5; pp. 109-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. hexacantha     ,              ,151, 913,B, 26,R, 2, 113.00,    483.7300,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,MG                ,R                ,R             ,A                  ,                 ,R              ,C                             ,R             ,R               ,                 ,F                             ,                     ,R                          ,+                       ,               ,                                        ,F                    ,                   ,F                    ,                    ,               ,F                  ,R                   ,R               ,                         ,R                                ,                      ,                       ,F                    ,R                 ,                       ,                   ,                                ,               ,                           ,F                        ,R                       ,R                           ,                    ,                   ,                           ,                    ,                        ,                                ,                                    ,                       ,                 ,               ,                    ,R                       ,R                      ,                      ,                             ,                           ,F              ,              ,                        ,                           ,                 ,                            ,                                ,                ,                     ,                    ,                ,                              ,                     ,                         ,                     ,                      ,From LEG 151SR; Ch 6; Tables 4&5; pp. 109-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. hexacantha     ,              ,151, 913,B, 26,R, 3, 113.00,    485.2300,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,MP                ,                 ,              ,F                  ,                 ,               ,R                             ,              ,                ,                 ,R                             ,                     ,                           ,+                       ,F              ,                                        ,                     ,                   ,                     ,R                   ,               ,R                  ,R                   ,                ,                         ,                                 ,R                     ,                       ,R                    ,                  ,                       ,                   ,                                ,               ,                           ,                         ,                        ,                            ,                    ,                   ,R                          ,                    ,                        ,                                ,                                    ,                       ,                 ,               ,                    ,R                       ,                       ,                      ,                             ,                           ,               ,              ,                        ,                           ,                 ,                            ,                                ,                ,                     ,                    ,                ,                              ,                     ,                         ,                     ,                      ,From LEG 151SR; Ch 6; Tables 4&5; pp. 109-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
