Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (dextral),Neogloboquadrina atlantica (sinistral),Globorotalia scitula,Globorotalia cf. Gr. crassula,Globigerinita uvula,Globigerina quinqueloba,Globigerina bulloides,Orbulina universa,Globigerinita glutinata,Streptochilus tokelaunae,Neogloboquadrina atlantica (dextral),Globigerinoides conglobatus,Neogloboquadrina pachyderma (sinistral),Globorotalia puncticulata,Globorotalia crassaformis,Globigerina aequilateralis,Globigerina decoraperta,Globorotalia margaritae,Globigerina falconensis,Orbulina bilobata,Globorotalia inflata,Globorotalia truncatulinoides,Globigerinoides ruber,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 981,A,  1,H,CC,  17.00,      6.4500,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,F                                    ,                                      ,F                   ,                             ,                   ,F                      ,C                    ,T                ,T/R                    ,                        ,                                    ,                           ,C                                      ,                         ,                         ,                          ,                       ,                       ,                       ,                 ,R                   ,T                            ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 981,A,  2,H,CC,  13.00,     16.2400,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,R                                    ,                                      ,F                   ,                             ,                   ,R                      ,C                    ,T                ,T                      ,                        ,                                    ,                           ,T                                      ,                         ,                         ,                          ,                       ,                       ,                       ,                 ,                    ,T                            ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 981,A,  3,H,CC,  19.00,     25.7600,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,F                                    ,                                      ,F/C                 ,                             ,                   ,F/C                    ,C                    ,T/R              ,                       ,                        ,                                    ,                           ,F                                      ,                         ,                         ,                          ,                       ,                       ,                       ,                 ,F                   ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 981,A,  4,H,CC,  15.00,     35.3600,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,C                                    ,                                      ,R/F                 ,                             ,T                  ,C                      ,C                    ,T                ,R                      ,                        ,                                    ,                           ,F/C                                    ,                         ,                         ,                          ,                       ,                       ,                       ,                 ,F/C                 ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
