Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera sibogae	Thoracosphaera sp.	Syracosphaera pulchra	Scapholithus fossilis	Rhabdosphaera clavigera	Reticulofenestra minutula	Pseudoemiliania lacunosa	Oolithotus antillarum	Helicosphaera wallichii	Helicosphaera carteri	Gephyrocapsa spp. (small)	Gephyrocapsa oceanica s.l.	Gephyrocapsa oceanica (>5 microns)	Gephyrocapsa margerelii	Dictyococcites productellus	Cyclolithella annula	Ceratolithus cristatus	Calcidiscus leptoporus	Syracosphaera nodosa	Syracosphaera lamina	Reticulofenestra minuta	Discolithina japonica	Discolithina discopora	Gephyrocapsa caribbeanica	Discosphaera tubifera	Ceratolithus telesmus	Umbellosphaera irregularis	Coccolithus pelagicus	Helicosphaera inversa	Emiliania huxleyi	Umbellosphaera tenuis	Helicosphaera hyalina	Comment



  SR	Pleistocene      	                 	NN21              	              	124	 769	A	  1	H	CC	  22.00	      8.3400	Shyu     	Nannofossils                                 	               	                  	F                      	VR                	F                    	F                    	R                      	                         	                        	R                    	VR                     	F                    	C                        	C                         	F                                 	                       	C                          	VR                  	                      	F                     	                    	VR                  	VR                     	                     	                      	                         	VR                   	                     	F                         	                     	                     	F                	VR                   	VR                   	from ODP Leg 124 SR Chapter 10 Table 6 p 145

  SR	Pleistocene      	                 	NN21              	              	124	 769	A	  2	H	 3	  75.00	     12.1500	Shyu     	Nannofossils                                 	               	                  	F                      	R                 	F                    	F                    	R                      	                         	                        	F                    	VR                     	F                    	A                        	A                         	R                                 	                       	F                          	VR                  	                      	F                     	                    	F                   	                       	                     	VR                    	                         	VR                   	                     	R                         	                     	                     	R                	                     	                     	from ODP Leg 124 SR Chapter 10 Table 6 p 145

  SR	Pleistocene      	                 	NN21              	              	124	 769	A	  2	H	 5	  76.00	     15.1600	Shyu     	Nannofossils                                 	               	                  	F                      	R                 	F                    	R                    	F                      	                         	                        	R                    	                       	F                    	A                        	C                         	                                  	                       	C                          	VR                  	VR                    	F                     	                    	VR                  	                       	VR                   	VR                    	                         	VR                   	                     	VR                        	                     	                     	VR               	                     	                     	from ODP Leg 124 SR Chapter 10 Table 6 p 145

  SR	Pleistocene      	                 	NN21              	              	124	 769	A	  2	H	 7	  74.00	     18.1400	Shyu     	Nannofossils                                 	               	                  	F                      	R                 	F                    	F                    	F                      	                         	                        	F                    	                       	F                    	A                        	A                         	                                  	                       	C                          	R                   	VR                    	F                     	                    	F                   	                       	                     	                      	                         	VR                   	                     	                          	                     	                     	R                	                     	VR                   	from ODP Leg 124 SR Chapter 10 Table 6 p 145

  SR	Pleistocene      	                 	NN21              	              	124	 769	A	  2	H	CC	  29.00	     18.4600	Shyu     	Nannofossils                                 	               	                  	F                      	F                 	F                    	F                    	F                      	                         	                        	F                    	VR                     	F                    	A                        	A                         	                                  	                       	F                          	R                   	                      	F                     	VR                  	R                   	                       	R                    	                      	                         	R                    	                     	R                         	                     	R                    	R                	VR                   	VR                   	from ODP Leg 124 SR Chapter 10 Table 6 p 145

