Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys peregrina,Stichocorys delmontensis,Lychnodictyum audax,Lithopera bacca,Didymocyrtis penultima,Didymocyrtis antepenultima,Diartus hughesi,Dendrospyris bursa,Acrobotrys tritubus,Solenosphaera omnitubus,Phormostichoartus fistula,Siphostichartus corona,Phormostichoartus doliolum,Anthocyrtidium pliocenica,Spongaster berminghami,Didymocyrtis avita,Anthocyrtidium jenghisi,Stylatractus universus,Pterocanium prismatium,Didymocyrtis tetrathalamus,Anthocyrtidium michelinae,Amphirhopalum ypsilon,Theocorythium trachelium,Anthocyrtidium angulare,Lamprocyrtis neoheteroporos,Spongaster tetras,Pterocorys hertwigii,Pterocorys campanula,Lamprocyrtis nigriniae,Anthocyrtidium euryclathrum,Collosphaera tuberosa,Buccinosphaera invaginata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B invaginata      ,              ,115, 709,A,  1,H, 2,  75.00,      2.2500,Johnson  ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                   ,               ,                      ,                          ,               ,                  ,                   ,                       ,                         ,                      ,                          ,                         ,                      ,                  ,                       ,-                     ,-                     ,F                         ,                         ,R                    ,C                       ,-                      ,-                          ,F                ,R                   ,                    ,F                     ,                           ,R                    ,R                        ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN14              ,              ,115, 709,A,  1,H, 4,  75.00,      5.2500,Johnson  ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                   ,               ,                      ,                          ,               ,                  ,                   ,                       ,                         ,                      ,                          ,                         ,                      ,                  ,-                      ,F                     ,-                     ,C                         ,-                        ,F                    ,C                       ,-                      ,-                          ,                 ,R                   ,                    ,R                     ,                           ,-                    ,-                        ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN14              ,              ,115, 709,A,  1,H,CC,  15.00,     10.0700,Johnson  ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                   ,               ,                      ,                          ,               ,                  ,                   ,                       ,                         ,                      ,                          ,                         ,                      ,                  ,-                      ,R                     ,-                     ,F                         ,-                        ,C                    ,C                       ,-                      ,-                          ,F                ,-                   ,R                   ,R                     ,R                          ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare RN13  ,              ,115, 709,A,  2,H, 2,  75.00,     12.3500,Johnson  ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                   ,F              ,                      ,                          ,               ,                  ,                   ,                       ,                         ,                      ,                          ,                         ,                      ,                  ,-                      ,F                     ,-                     ,C                         ,-                        ,C                    ,F                       ,R                      ,-                          ,                 ,-                   ,R                   ,-                     ,R                          ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
