Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeugrhabdotus sisyphus ?,Watznaueria barnesae,Vagalapilla matalosa,Tegumentum octiformis,Rhagodiscus angustus,Prediscosphaera ponticula,Prediscosphaera intercisa,Microrhabdulus decoratus,Glaukolithus diplogrammus,Glaukolithus compactus,Eprolithus floralis,Eiffellithus turriseiffelii,Cretarhabdus angustiforatus,Chiastozygus garrisonii,Biscutum constans,Gartnerago obliquum,Tranolithus phacelosus,Tranolithus manifestus,Stradneria crenulata,Prediscosphaera cretacea,Eprolithus sp. 2,Ahmuellerella octoradiata,Broinsonia enormis,Placozygus fibuliformis,Staurolithites crux,Eprolithus sp. 1,Staurolithus sp.,Lucianorhabdus maleformis,Lucianorhabdus cayeuxii,Lithastrinus moratus,Helicolithus trabeculatus,Eiffellithus eximius,Cretarhabdus conicus,Prediscosphaera spinosa,Prediscosphaera sp.,Kamptnerius magnificus,Eiffellithus gorkae,Corollithion signum,Chiastozygus litterarius,Prediscosphaera cantabrigensis,Rhagodiscus sp.,Chiastozygus sp.,Lithastrinus septenarius,Quadrum gartneri,Micula decussata,Broinsonia furtiva,Reinhardtites anthophorus,Lithastrinus grillii,Lithraphidites carniolensis,Broinsonia parca,Cribrosphaerella ehrenbergii,Tegumentum stradneri,Marthasterites furcatus,Phanulithus obscurus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,CC17              ,              ,121, 755,A,  5,R, 1,  36.00,     65.5600,Resiwati ,Nannofossils                                 ,R              ,P                 ,R                       ,C                   ,                    ,                     ,                    ,                         ,                         ,R                       ,                         ,                      ,                   ,                           ,                           ,R                      ,R                ,R                  ,R                     ,                      ,R                   ,                        ,                ,R                        ,R                 ,                       ,                   ,                ,F               ,R                        ,F                      ,                    ,C                        ,R                   ,                    ,                       ,                   ,                      ,                   ,                   ,                        ,                              ,R              ,                ,                        ,R               ,F               ,R                 ,                         ,                    ,                           ,F               ,                            ,                    ,                       ,R                   ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,CC17              ,              ,121, 755,A,  5,R, 1,  89.00,     66.0900,Resiwati ,Nannofossils                                 ,R              ,P                 ,                        ,C                   ,                    ,                     ,                    ,                         ,                         ,                        ,                         ,F                     ,                   ,R                          ,                           ,                       ,                 ,F                  ,                      ,                      ,R                   ,                        ,                ,R                        ,                  ,                       ,                   ,                ,R               ,?                        ,C                      ,                    ,                         ,                    ,                    ,                       ,                   ,R                     ,R                  ,                   ,                        ,                              ,               ,                ,                        ,                ,C               ,F                 ,R                        ,                    ,                           ,                ,                            ,                    ,                       ,C                   ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC16              ,              ,121, 755,A,  5,R, 2,  40.00,     67.1000,Resiwati ,Nannofossils                                 ,R              ,P                 ,?                       ,C                   ,                    ,                     ,                    ,                         ,                         ,R                       ,                         ,F                     ,                   ,?                          ,                           ,                       ,F                ,C                  ,F                     ,                      ,F                   ,                        ,                ,                         ,?                 ,                       ,                   ,                ,R               ,C                        ,?                      ,                    ,F                        ,?                   ,                    ,                       ,?                  ,                      ,                   ,                   ,                        ,                              ,?              ,                ,                        ,                ,C               ,                  ,                         ,                    ,                           ,                ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC16              ,              ,121, 755,A,  5,R, 2,  90.00,     67.6000,Resiwati ,Nannofossils                                 ,R              ,P                 ,                        ,C                   ,                    ,                     ,                    ,                         ,                         ,                        ,R                        ,R                     ,                   ,                           ,                           ,                       ,                 ,R                  ,R                     ,                      ,                    ,                        ,                ,                         ,                  ,                       ,                   ,                ,F               ,                         ,                       ,                    ,F                        ,R                   ,                    ,                       ,                   ,R                     ,                   ,                   ,                        ,                              ,               ,R               ,                        ,                ,F               ,                  ,?                        ,                    ,                           ,R               ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
