Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sibogae var. sibogae,Umbilicosphaera sibogae var. foliosa,Umbilicosphaera hulburtiana,Syracosphaera spp.,Rhabdosphaera clavigera,Reticulofenestra producta,Reticulofenestra minutula,Pseudoemiliania lacunosa,Pontosphaera japonica,Neosphaera coccolithomorpha,Helicosphaera carteri,Gephyrocapsa spp. medium,Gephyrocapsa spp. (small),Gephyrocapsa oceanica ss,Florisphaera profunda,Calciosolenia murrayi,Calcidiscus leptoporus,Reticulofenestra minuta,Prediscosphaera cretacea,Pontosphaera multipora,Oolithotus fragilis,Helicolithus trabeculatus,Chiastozygus litterarius,Ceratolithus cristatus,Braarudosphaera bigelowii,Watznaueria barnesae,Helicosphaera pavimentum,Gephyrocapsa margerelii/muellerae,Algirosphaera robusta,Umbellosphaera tenuis,Umbellosphaera irregularis,Emiliania huxleyi,Coccolithus pelagicus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN15              ,              ,164, 994,A,  1,H,CC,  21.00,      7.9200,Okada    ,Nannofossils                                 ,A              ,G                 ,R                                   ,R                                   ,                           ,F                 ,R                      ,                         ,                         ,                        ,R                    ,R                          ,C                    ,F                       ,D                        ,C                       ,A                    ,F                    ,F                     ,                       ,                        ,R                     ,F                  ,                         ,                        ,                      ,                         ,                    ,R                       ,F                                ,                     ,R                    ,R                         ,A                ,F                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data994A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN14a             ,              ,164, 994,A,  2,H,CC,  22.00,     17.7300,Okada    ,Nannofossils                                 ,A              ,G                 ,F                                   ,F                                   ,                           ,F                 ,R                      ,C                        ,F                        ,C                       ,R                    ,R                          ,C                    ,A                       ,A                        ,F                       ,A                    ,R                    ,C                     ,C                      ,                        ,R                     ,                   ,                         ,                        ,                      ,                         ,rR                  ,R                       ,C                                ,R                    ,                     ,                          ,                 ,                     ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data994A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN14a             ,              ,164, 994,A,  3,H,CC,  27.00,     27.2500,Okada    ,Nannofossils                                 ,A              ,G                 ,F                                   ,F                                   ,R                          ,C                 ,R                      ,F                        ,C                        ,A                       ,R                    ,R                          ,C                    ,A                       ,A                        ,C                       ,A                    ,R                    ,C                     ,A                      ,rR                      ,R                     ,R                  ,rR                       ,rR                      ,R                     ,R                        ,                    ,                        ,                                 ,                     ,                     ,                          ,                 ,                     ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data994A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN14a             ,              ,164, 994,A,  4,H,CC,  16.00,     36.5500,Okada    ,Nannofossils                                 ,A              ,G                 ,F                                   ,F                                   ,R                          ,C                 ,F                      ,F                        ,C                        ,A                       ,R                    ,F                          ,F                    ,C                       ,A                        ,F                       ,A                    ,F                    ,C                     ,                       ,                        ,                      ,                   ,                         ,                        ,                      ,                         ,                    ,                        ,                                 ,                     ,                     ,                          ,                 ,                     ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data994A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
