Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triceratium polymorphus,Triceratium pileus,Triceratium groningensis,Thalassiothrix longissima,Thalassiosira spumellaroides,Thalassiosira spinosa,Thalassiosira primalabiata,Thalassiosira fraga,Thalassiosira bukryi,Thalassionema nitzschioides  var. parva,Thalassionema nitzschioides,Synedra jouseana f. linearis,Synedra jouseana and miocenica,Stephanopyxis turris ex. group,Simonseniella praebarboi,Simonseniella barboi,Rossiella symmetrica,Rossiella paleacea,Rocella vigilans (large),Rocella sp.,Rocella semigelida,Rocella gelida  var. schraderi,Rocella gelida,Rhizosolenia styliformis,Rhizosolenia sp.cf. R.oligocaenica,Rhizosolenia hebetata f. hiemalis,Raphidodiscus marylandicus,Pyxilla fragments,Pleurosigma planktonica,Paralia sulcata,Nitzschia pusilla,Nitzschia maleinterpretaria,Nitzschia grossepunctata,Neobrunia mirabilis,Macrora stella,Lithodesmium sp. 2,Lisitzinia ornata,Hemiaulus taurus,Hemiaulus sp.,Hemiaulus polymorphus,Hemiaulus polycystinorum,Diatoms gen.et sp.indet. (opaque),Diatom gen. et sp. indet. (blade),Denticulopsis punctata var. hustedtii,Denticulopsis punctata,Denticulopsis maccollumii,Denticulopsis lauta and hustedtii (copulae),Denticulopsis lauta,Denticulopsis hyalina,Denticulopsis hustedtii,Crucidenticula nicobarica,Crucidenticula kanayae,Coscinodiscus rhombicus,Coscinodiscus marginatus,Coscinodiscus lewisianus var. robustus,Coscinodiscus lewisianus var. rhomboides,Coscinodiscus lewisianus,Coscinodiscus endoi,Cestodiscus robustus,Cestodiscus peplum,Azpeitia salisburyana,Azpeitia praenodulifera,Asteromphalus oligocenicus,Asteromphalus inaegabilis,Asterolampra tela,Actinocyclus spp.,Actinocyclus radionovae,Actinocyclus ingens  var. nodus,Actinocyclus ingens,Actinocyclus ellipticus,Thalassiothrix miocenica,Thalassiosira sp. cf. T.multipora,Thalassiosira praeoestrupii,Thalassiosira praeconvexa,Thalassiosira plicata,Thalassiosira oestrupii,Thalassiosira nativa,Thalassiosira lentiginosa,Thalassiosira insigna,Thalassiosira hyalinopsis,Thalassiosira convexa var. aspinosa,Stephanopyxis turris,Rouxia spp. (other),Rouxia sp. 1,Rouxia naviculoides,Rouxia isopolica,Rouxia ciesielski,Rouxia californica,Nitzschia spp. (other),Nitzschia sp. cf. N.denticuloides,Nitzschia sp. 14,Nitzschia sicula var. rostrata,Nitzschia reinholdii,Nitzschia praereinholdii,Nitzschia porteri,Nitzschia marina,Nitzschia januaria,Nitzschia heteropolica,Nitzschia fossilis,Nitzschia denticuloides,Nitzschia cylindrica,Nitzschia clementia,Nitzschia claviceps,Lithodesmium sp. cf. L.minusculum,Lithodesmium cornigerum,Hemidiscus triangularus,Hemidiscus karstenii f.1,Hemidiscus karstenii,Hemidiscus cuneiformis,Eucampia antarctica,Denticulopsis sp. (copulae),Denticulopsis sp.,Denticulopsis miocenica,Denticulopsis hustedtii var. ovata,Denticulopsis dimorpha,Cosmiodiscus intersectus,Asteromphalus kennettii,Actinocyclus ehrenbergii var. tenella,Actinocyclus cubitus,Actinocyclus ingens var. planus,Thalassiosira vulnifica,Thalassiosira kolbei,Thalassiosira elliptipora,Coscinodiscus insignis,Thalassiosira sp. cf. T.vulnifica,Thalassiosira praevulnifica,Thalassiosira lineata,Thalassiosira lentiginosa var. ovalis,Thalassiosira elliptipora (very elongate aerolae),Thalassiosira convexa,Rouxia spp.,Rhizosolenia sp. A,Rhizosolenia hebetata f. semispina,Nitzschia weaveri,Nitzschia sp. cf. N.interfrigidaria,Nitzschia sp. aff. N.praeinterfrigidaria,Nitzschia praeinterfrigidaria,Nitzschia kerguelenis,Nitzschia jouseae,Nitzschia interfrigidaria,Nitzschia angulata,Ethmodiscus sp. (fragments),Coscinodiscus tabularis,Coscinodiscus lineatus,Charcotia actinochilus,Chaetoceros sp. (spines),Asteromphalus parvulus,Asteromphalus hookeri,Actinocyclus ingens (ovate form),Actinocyclus divisus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. hustedtii      ,              ,114, 704,B, 28,X, 1,  79.00,    252.4900,Ciesielski,Diatoms                                      ,               ,F                 ,                       ,                  ,                        ,F                        ,                            ,                     ,                          ,                   ,                    ,-                                      ,-                          ,                            ,                              ,                              ,-                       ,R                   ,-                   ,                  ,-                       ,           ,                  ,rVR                           ,-             ,S                       ,                                  ,C                                ,                          ,-                ,                       ,               ,                 ,-                          ,                        ,S                  ,              ,                  ,-                ,                ,             ,-                    ,-                       ,                                 ,                                 ,-                                    ,-                     ,                         ,S                                          ,-                  ,-                    ,C                      ,                         ,                      ,                       ,C                       ,                                      ,                                        ,                        ,R                  ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,-                ,                       ,                               ,C                  ,-                      ,-                       ,VR                               ,-                          ,VR                       ,-                    ,-                      ,R                   ,-                        ,-                    ,-                        ,-                                  ,-                   ,-                  ,-           ,-                  ,-               ,-                ,-                 ,R                     ,-                                ,-               ,-                             ,R                   ,-                       ,-                ,-               ,S                 ,-                     ,R                 ,-                      ,-                   ,-                  ,-                  ,-                                ,-                      ,-                      ,-                       ,-                   ,-                     ,-                  ,VR                         ,-                ,-                      ,-                                 ,-                     ,-                       ,VR                     ,-                                    ,-                   ,                               ,                       ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. hustedtii      ,              ,114, 704,B, 28,X, 2,  79.00,    253.9900,Ciesielski,Diatoms                                      ,               ,F                 ,                       ,                  ,                        ,S                        ,                            ,                     ,                          ,                   ,                    ,VR                                     ,VR                         ,                            ,                              ,                              ,-                       ,-                   ,-                   ,                  ,-                       ,           ,                  ,-                             ,-             ,C                       ,                                  ,F                                ,                          ,-                ,                       ,               ,                 ,-                          ,                        ,S                  ,              ,                  ,-                ,                ,             ,-                    ,-                       ,                                 ,                                 ,-                                    ,-                     ,                         ,-                                          ,-                  ,-                    ,R                      ,                         ,                      ,                       ,A                       ,                                      ,                                        ,                        ,-                  ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,-                ,                       ,                               ,C                  ,-                      ,-                       ,-                                ,-                          ,-                        ,-                    ,-                      ,-                   ,-                        ,-                    ,-                        ,-                                  ,-                   ,-                  ,-           ,-                  ,-               ,-                ,-                 ,R                     ,-                                ,-               ,-                             ,S                   ,-                       ,-                ,VR              ,R                 ,-                     ,VR                ,-                      ,S                   ,-                  ,-                  ,-                                ,-                      ,-                      ,-                       ,R                   ,-                     ,-                  ,-                          ,-                ,-                      ,-                                 ,-                     ,-                       ,-                      ,-                                    ,-                   ,                               ,                       ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. hustedtii      ,              ,114, 704,B, 28,X, 3,  79.00,    255.4900,Ciesielski,Diatoms                                      ,               ,F                 ,                       ,                  ,                        ,S                        ,                            ,                     ,                          ,                   ,                    ,-                                      ,                           ,                            ,                              ,                              ,-                       ,R                   ,-                   ,                  ,-                       ,           ,                  ,-                             ,-             ,-                       ,                                  ,F                                ,                          ,-                ,                       ,               ,                 ,-                          ,                        ,-                  ,              ,                  ,-                ,                ,             ,-                    ,-                       ,                                 ,                                 ,-                                    ,-                     ,                         ,-                                          ,-                  ,-                    ,R                      ,                         ,                      ,                       ,R                       ,                                      ,                                        ,                        ,-                  ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,-                ,                       ,                               ,C                  ,-                      ,-                       ,-                                ,-                          ,-                        ,-                    ,-                      ,-                   ,-                        ,S                    ,-                        ,-                                  ,-                   ,-                  ,-           ,-                  ,-               ,-                ,-                 ,R                     ,-                                ,-               ,-                             ,S                   ,-                       ,-                ,-               ,-                 ,-                     ,VR                ,-                      ,-                   ,-                  ,-                  ,-                                ,-                      ,-                      ,-                       ,S                   ,-                     ,-                  ,-                          ,-                ,-                      ,-                                 ,-                     ,-                       ,-                      ,-                                    ,-                   ,                               ,                       ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. hustedtii      ,              ,114, 704,B, 28,X, 4,  79.00,    256.9900,Ciesielski,Diatoms                                      ,               ,F                 ,                       ,                  ,                        ,S                        ,                            ,                     ,                          ,                   ,                    ,VR                                     ,R                          ,                            ,                              ,                              ,-                       ,R                   ,-                   ,                  ,-                       ,           ,                  ,-                             ,-             ,R                       ,                                  ,A                                ,                          ,-                ,                       ,               ,                 ,-                          ,                        ,-                  ,              ,                  ,-                ,                ,             ,-                    ,-                       ,                                 ,                                 ,-                                    ,-                     ,                         ,R                                          ,-                  ,-                    ,R                      ,                         ,                      ,                       ,-                       ,                                      ,                                        ,                        ,-                  ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,F                ,                       ,                               ,R                  ,-                      ,S                       ,-                                ,-                          ,-                        ,-                    ,-                      ,-                   ,-                        ,R                    ,-                        ,-                                  ,-                   ,-                  ,-           ,-                  ,-               ,-                ,-                 ,R                     ,-                                ,-               ,-                             ,VR                  ,-                       ,-                ,-               ,-                 ,-                     ,-                 ,-                      ,-                   ,-                  ,-                  ,-                                ,-                      ,-                      ,-                       ,F                   ,F                     ,-                  ,-                          ,-                ,-                      ,-                                 ,-                     ,-                       ,R                      ,-                                    ,-                   ,                               ,                       ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D.hustedtii/D.lauta,              ,114, 704,B, 28,X, 5,  79.00,    258.4900,Ciesielski,Diatoms                                      ,               ,F                 ,                       ,                  ,                        ,C                        ,                            ,                     ,                          ,                   ,                    ,R                                      ,F                          ,                            ,                              ,                              ,-                       ,R                   ,-                   ,                  ,-                       ,           ,                  ,-                             ,rVR           ,R                       ,                                  ,C                                ,                          ,-                ,                       ,               ,                 ,-                          ,                        ,R                  ,              ,                  ,-                ,                ,             ,rVR                  ,-                       ,                                 ,                                 ,-                                    ,-                     ,                         ,S                                          ,S                  ,-                    ,C                      ,                         ,                      ,                       ,S                       ,                                      ,                                        ,                        ,-                  ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,-                ,                       ,                               ,S                  ,R                      ,A                       ,-                                ,-                          ,-                        ,-                    ,-                      ,-                   ,-                        ,-                    ,-                        ,-                                  ,R                   ,-                  ,-           ,-                  ,-               ,-                ,-                 ,R                     ,-                                ,-               ,-                             ,-                   ,-                       ,-                ,-               ,-                 ,-                     ,R                 ,-                      ,-                   ,-                  ,-                  ,-                                ,-                      ,-                      ,-                       ,S                   ,S                     ,R                  ,-                          ,-                ,-                      ,-                                 ,rR                    ,-                       ,VR                     ,-                                    ,-                   ,                               ,                       ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D.hustedtii/D.lauta,              ,114, 704,B, 28,X, 6,  79.00,    259.9900,Ciesielski,Diatoms                                      ,               ,F                 ,                       ,                  ,                        ,F                        ,                            ,                     ,                          ,                   ,                    ,S                                      ,R                          ,                            ,                              ,                              ,-                       ,R                   ,-                   ,                  ,-                       ,           ,                  ,-                             ,-             ,                        ,                                  ,C                                ,                          ,-                ,                       ,               ,                 ,-                          ,                        ,-                  ,              ,                  ,-                ,                ,             ,rVR                  ,-                       ,                                 ,                                 ,-                                    ,-                     ,                         ,-                                          ,R                  ,-                    ,S                      ,                         ,                      ,                       ,F                       ,                                      ,                                        ,                        ,-                  ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,-                ,                       ,                               ,R                  ,-                      ,C                       ,-                                ,-                          ,-                        ,-                    ,-                      ,-                   ,-                        ,-                    ,-                        ,-                                  ,-                   ,-                  ,-           ,R                  ,-               ,-                ,-                 ,-                     ,-                                ,-               ,-                             ,-                   ,-                       ,-                ,-               ,-                 ,-                     ,R                 ,-                      ,-                   ,-                  ,-                  ,-                                ,-                      ,-                      ,-                       ,F                   ,S                     ,VR                 ,-                          ,-                ,-                      ,-                                 ,-                     ,-                       ,-                      ,-                                    ,-                   ,                               ,                       ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D.hustedtii/D.lauta,              ,114, 704,B, 29,X, 1,  80.00,    262.0000,Ciesielski,Diatoms                                      ,               ,P                 ,                       ,                  ,                        ,S                        ,                            ,                     ,                          ,                   ,                    ,S                                      ,F                          ,                            ,                              ,                              ,-                       ,-                   ,-                   ,                  ,-                       ,           ,                  ,-                             ,-             ,VR                      ,                                  ,F                                ,                          ,-                ,                       ,               ,                 ,-                          ,                        ,R                  ,              ,                  ,-                ,                ,             ,-                    ,-                       ,                                 ,                                 ,-                                    ,-                     ,                         ,-                                          ,-                  ,-                    ,VR                     ,                         ,                      ,                       ,R                       ,                                      ,                                        ,                        ,-                  ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,-                ,                       ,                               ,S                  ,-                      ,S                       ,-                                ,-                          ,-                        ,-                    ,-                      ,-                   ,-                        ,S                    ,-                        ,-                                  ,-                   ,-                  ,-           ,S                  ,-               ,-                ,-                 ,R                     ,-                                ,-               ,-                             ,R                   ,-                       ,-                ,R               ,R                 ,-                     ,R                 ,-                      ,S                   ,-                  ,-                  ,-                                ,-                      ,-                      ,-                       ,-                   ,-                     ,-                  ,-                          ,-                ,-                      ,-                                 ,-                     ,-                       ,VR                     ,-                                    ,-                   ,                               ,                       ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D.hustedtii/D.lauta,              ,114, 704,B, 29,X, 2,  80.00,    263.5000,Ciesielski,Diatoms                                      ,               ,P                 ,                       ,                  ,                        ,R                        ,                            ,                     ,                          ,                   ,                    ,-                                      ,-                          ,                            ,                              ,                              ,-                       ,-                   ,-                   ,                  ,-                       ,           ,                  ,-                             ,-             ,-                       ,                                  ,S                                ,                          ,-                ,                       ,               ,                 ,-                          ,                        ,VR                 ,              ,                  ,-                ,                ,             ,-                    ,-                       ,                                 ,                                 ,-                                    ,-                     ,                         ,-                                          ,-                  ,-                    ,-                      ,                         ,                      ,                       ,R                       ,                                      ,                                        ,                        ,-                  ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,-                ,                       ,                               ,C                  ,-                      ,-                       ,-                                ,-                          ,-                        ,-                    ,-                      ,-                   ,-                        ,A                    ,-                        ,-                                  ,-                   ,-                  ,-           ,-                  ,-               ,-                ,-                 ,R                     ,-                                ,-               ,-                             ,R                   ,-                       ,-                ,VR              ,-                 ,-                     ,-                 ,-                      ,R                   ,-                  ,-                  ,-                                ,-                      ,-                      ,-                       ,-                   ,-                     ,-                  ,-                          ,-                ,-                      ,-                                 ,-                     ,-                       ,-                      ,-                                    ,-                   ,                               ,                       ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D.hustedtii/D.lauta,              ,114, 704,B, 29,X, 3,  80.00,    265.0000,Ciesielski,Diatoms                                      ,               ,F                 ,                       ,                  ,                        ,S                        ,                            ,                     ,                          ,                   ,                    ,S                                      ,S                          ,                            ,                              ,                              ,-                       ,R                   ,-                   ,                  ,-                       ,           ,                  ,-                             ,rR            ,-                       ,                                  ,C                                ,                          ,-                ,                       ,               ,                 ,-                          ,                        ,R                  ,              ,                  ,-                ,                ,             ,-                    ,-                       ,                                 ,                                 ,R                                    ,-                     ,                         ,-                                          ,-                  ,-                    ,S                      ,                         ,                      ,                       ,S                       ,                                      ,                                        ,                        ,-                  ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,S                ,                       ,                               ,S                  ,-                      ,S                       ,-                                ,-                          ,-                        ,-                    ,-                      ,-                   ,-                        ,-                    ,-                        ,-                                  ,-                   ,-                  ,-           ,-                  ,-               ,-                ,VR                ,F                     ,-                                ,-               ,-                             ,R                   ,-                       ,-                ,-               ,S                 ,-                     ,S                 ,-                      ,VR                  ,-                  ,-                  ,-                                ,-                      ,-                      ,C                       ,C                   ,F                     ,-                  ,-                          ,-                ,-                      ,-                                 ,rR                    ,-                       ,R                      ,-                                    ,-                   ,                               ,                       ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D.hustedtii/D.lauta,              ,114, 704,B, 29,X, 4,  80.00,    266.5000,Ciesielski,Diatoms                                      ,               ,M                 ,                       ,                  ,                        ,F                        ,                            ,                     ,                          ,                   ,                    ,-                                      ,R                          ,                            ,                              ,                              ,-                       ,R                   ,-                   ,                  ,-                       ,           ,                  ,rVR                           ,-             ,-                       ,                                  ,A                                ,                          ,-                ,                       ,               ,                 ,-                          ,                        ,R                  ,              ,                  ,-                ,                ,             ,-                    ,-                       ,                                 ,                                 ,-                                    ,-                     ,                         ,-                                          ,R                  ,-                    ,S                      ,                         ,                      ,                       ,C                       ,                                      ,                                        ,                        ,-                  ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,R                ,                       ,                               ,S                  ,-                      ,F                       ,-                                ,-                          ,-                        ,-                    ,-                      ,-                   ,-                        ,-                    ,-                        ,-                                  ,-                   ,-                  ,-           ,-                  ,-               ,-                ,-                 ,S                     ,-                                ,-               ,-                             ,-                   ,-                       ,-                ,-               ,-                 ,-                     ,S                 ,-                      ,-                   ,-                  ,-                  ,R                                ,-                      ,-                      ,C                       ,C                   ,A                     ,-                  ,-                          ,-                ,-                      ,-                                 ,rR                    ,-                       ,-                      ,-                                    ,-                   ,                               ,                       ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D.hustedtii/D.lauta,              ,114, 704,B, 29,X, 5,  80.00,    268.0000,Ciesielski,Diatoms                                      ,               ,P                 ,                       ,                  ,                        ,S                        ,                            ,                     ,                          ,                   ,                    ,S                                      ,S                          ,                            ,                              ,                              ,-                       ,R                   ,-                   ,                  ,-                       ,           ,                  ,rVR                           ,rR            ,-                       ,                                  ,C                                ,                          ,-                ,                       ,               ,                 ,-                          ,                        ,-                  ,              ,                  ,-                ,                ,             ,-                    ,-                       ,                                 ,                                 ,-                                    ,-                     ,                         ,S                                          ,R                  ,-                    ,S                      ,                         ,                      ,                       ,C                       ,                                      ,                                        ,                        ,-                  ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,-                ,                       ,                               ,S                  ,-                      ,-                       ,-                                ,-                          ,-                        ,-                    ,-                      ,-                   ,-                        ,-                    ,-                        ,-                                  ,-                   ,-                  ,-           ,-                  ,-               ,-                ,-                 ,-                     ,-                                ,-               ,-                             ,-                   ,-                       ,-                ,-               ,-                 ,-                     ,-                 ,-                      ,-                   ,-                  ,-                  ,-                                ,-                      ,-                      ,-                       ,S                   ,C                     ,-                  ,-                          ,-                ,-                      ,-                                 ,rR                    ,-                       ,S                      ,-                                    ,-                   ,                               ,                       ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
