Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Paratrochamminoides spp.	Rhabdammina spp.	Reticulophragmium amplectens	Haplophragmoides walteri	Recurvoides spp.	Glomospira charoides	Arenobulimina sp.	Reophax elongatus	Remesella varians	Hyperammina sp. (fragments)	Haplophragmoides sp.	Glomospira irregularis	Gaudryina sp.	Subreophax scalaris	Glomospira gordialis	Ammodiscus cf. pennyi	Karrerulina conformis	Hyperammina subdiscreta	Ammolagena clavata	Ammodiscus sp.	Comment



  SR	Late Eocene      	                 	                  	              	149	 899	B	 13	R	 5	  32.00	    347.2200	Kuhnt    	Benthic Foraminifers                         	               	                  	2                       	14              	3                           	                        	3               	17                  	                 	9                	                 	                           	                    	1                     	             	2                  	                    	                     	                     	                       	2                 	1             	1 indet. tubular aggl. 40 indet aggl. fragments. radiolaria recorded as x(?). 15 ichthyoliths. from 149 SR. Chapter 8. Table 3. page 205.

  SR	Late Eocene      	                 	                  	              	149	 899	B	 13	R	 5	 140.00	    348.3000	Kuhnt    	Benthic Foraminifers                         	               	                  	2                       	27              	6                           	                        	2               	14                  	                 	1                	                 	                           	                    	                      	             	                   	1                   	                     	                     	                       	                  	              	23 indet aggl. fragments. radiolaria recorded as x(?). 9 ichthyoliths. from 149 SR. Chapter 8. Table 3. page 205.

  SR	Late Eocene      	                 	                  	              	149	 899	B	 13	R	 6	  46.00	    348.8600	Kuhnt    	Benthic Foraminifers                         	               	                  	                        	9               	1                           	1                       	                	4                   	                 	                 	                 	                           	                    	                      	             	                   	1                   	                     	                     	                       	                  	              	1 indet. tubular aggl. 51 indet aggl. fragments. from 149 SR. Chapter 8. Table 3. page 205.

  SR	Late Eocene      	                 	                  	              	149	 899	B	 13	R	 6	 101.00	    349.4100	Kuhnt    	Benthic Foraminifers                         	               	                  	1                       	2               	1                           	                        	                	4                   	                 	1                	                 	                           	                    	2                     	             	1                  	                    	                     	                     	                       	                  	              	2 indet. tubular aggl. 10 indet aggl. fragments. 3 ichthyoliths. from 149 SR. Chapter 8. Table 3. page 205.

  SR	Late Eocene      	                 	                  	              	149	 899	B	 13	R	CC	  13.00	    349.7500	Kuhnt    	Benthic Foraminifers                         	               	                  	2                       	42              	                            	7                       	17              	33                  	                 	16               	                 	                           	2                   	4                     	             	                   	                    	                     	2                    	4                      	                  	              	13 indet. tubular aggl. 166 indet aggl. fragments. from 149 SR. Chapter 8. Table 3. page 205.

  SR	Late Eocene      	                 	                  	              	149	 899	B	 14	R	 1	  40.00	    351.0000	Kuhnt    	Benthic Foraminifers                         	               	                  	1                       	10              	5                           	2                       	                	4                   	                 	34               	                 	                           	                    	                      	             	                   	4                   	3                    	                     	                       	                  	              	14 indet aggl. fragments. redeposited calcareous foraminifera recorded as x. 7 ichthyoliths. from 149 SR. Chapter 8. Table 3. page 205.

