Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Paragloborotalia nympha	Paragloborotalia nana	Paragloborotalia continuosa	Orbulina universa	Orbulina suturalis	Globoturborotalita woodi	Globoturborotalita decoraperta	Globoturborotalita apertura	Globorotalia panda	Globorotalia miotumida	Globorotalia juanai	Globorotalia conoidea	Globoquadrina dehiscens	Globigerinita uvula	Globigerinita glutinata	Globigerinella obesa	Globigerina quinqueloba	Globigerina praebulloides	Globigerina falconensis	Globigerina bulloides	Paragloborotalia mayeri	Globorotalia scitula	Globorotalia peripheroronda	Globigerina eamesi	Globorotalia explicationis	Neogloboquadrina pachyderma (sinistral)	Globorotalia conomiozea	Globorotalia sphericomiozea	Globigerinoides immaturus	Neogloboquadrina humerosa	Globorotalia puncticuloides	Globorotalia challengeri	Neogloboquadrina pachyderma	Globorotalia puncticulata	Globorotalia pliozea	Globorotalia crassaformis	Globorotalia crassaconica	Globorotalia truncatulinoides	Globorotalia triangula	Globorotalia inflata	Globigerinoides ruber	Globigerinita parkerae	Globigerinella aequilateralis	Comment



  IR	                 	                 	                  	SN14          	189	1172	B	  1	H	CC	   8.00	      2.7900	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                     	                           	+                	                  	                        	                              	                           	                  	                      	                   	                     	                       	                   	+                      	                    	+                      	                         	                       	+                    	                       	+                   	                           	                  	                          	                                       	                       	                           	                         	                         	                           	                        	+                          	                         	                    	                         	                         	+                            	+                     	+                   	+                    	+                     	+                            	       

  IR	                 	                 	                  	              	189	1172	B	  8	H	CC	  21.00	     69.7800	forams   	Planktonic Foraminifers                      	               	                  	                       	                     	                           	+                	                  	                        	                              	                           	                  	                      	                   	                     	                       	                   	                       	                    	                       	                         	                       	                     	                       	                    	                           	                  	                          	                                       	                       	                           	                         	                         	                           	                        	                           	                         	                    	                         	                         	                             	                      	                    	                     	                      	                             	       

  IR	                 	                 	                  	SN12a         	189	1172	B	  9	H	CC	  23.00	     79.2000	forams   	Planktonic Foraminifers                      	A              	G                 	                       	                     	                           	+                	                  	                        	                              	+                          	                  	                      	                   	                     	                       	+                  	+                      	                    	+                      	                         	+                      	+                    	                       	+                   	                           	                  	                          	+                                      	                       	+                          	                         	+                        	+                          	                        	+                          	+                        	+                   	+                        	+                        	                             	                      	                    	                     	                      	                             	       

  IR	                 	                 	                  	SN11          	189	1172	B	 10	H	CC	  45.00	     89.0500	forams   	Planktonic Foraminifers                      	A              	G                 	                       	                     	                           	+                	                  	                        	                              	                           	                  	                      	                   	                     	                       	+                  	+                      	                    	+                      	                         	+                      	+                    	                       	+                   	                           	                  	                          	+                                      	+                      	+                          	                         	+                        	+                          	+                       	                           	                         	                    	                         	                         	                             	                      	                    	                     	                      	                             	       

