Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Jenkinsella mayeri,Zeaglobigerina nepenthes,Globorotalia conomiozea,Comment
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,              ,183,1141,A,  4,R,CC,   0.00,     36.8700,Coxall   ,Planktonic Foraminifers                      ,A              ,VG                ,                  ,+                       ,-                      ,Globigerina nepenthis Zone
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,              ,183,1141,A,  8,R,CC,  22.00,     75.2700,Coxall   ,Planktonic Foraminifers                      ,A              ,VG                ,+                 ,                        ,                       ,Gr. mayeri Zone
,,,,,,,,,,,,,,,,,,,,
