Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tenuitella sp.,Subbotina patagonica,Subbotina angiporoides,Globorotaloides turgida,Globigerinatheka index,Chiloguembelina cubensis,Acarinina matthewsae,Subbotina linaperta,Morozovella spinulosa,Acarinina bullbrooki,Catapsydrax dissimilis,Acarinina collactea,Pseudohastigerina micra,Globorotaloides suteri,Globigerina eocaena,Paragloborotalia nana,Tenuitellinata insolita,Catapsydrax unicavus,Subbotina brevis,Tenuitella patefacta,Acarinina primitiva,Tenuitella munda,Tenuitella gemma,Globigerina officinalis,Globigerina labiacrassata,Globigerina euapertura,Globoturborotalita brazieri,Tenuitella cf. pseudoedita,Globoturborotalita woodi,Globigerinita uvula,Paragloborotalita incognita,Tenuitella angustiumbilicata,Paragloborotalia semivera,Globorotalia zealandica,Globorotalia praescitula,Globigerina bulloides,Neogloboquadrina nympha,Neogloboquadrina continuosa,Globorotalia scitula,Turborotalita quinqueloba,Neogloboquadrina pachyderma,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NK7               ,              ,120, 748,B,  2,H, 1,  40.00,      0.5000,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,              ,                    ,                      ,                       ,                      ,                        ,                    ,                   ,                     ,                    ,                      ,                   ,                       ,                      ,                   ,                     ,                       ,                    ,                ,                    ,                   ,                ,                ,                       ,                         ,                      ,                           ,                          ,                        ,                   ,                           ,                            ,                         ,                       ,                        ,                     ,                       ,                           ,                    ,R                        ,A                          ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix B back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NK7               ,              ,120, 748,B,  2,H, 2,  40.00,      2.0000,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,              ,                    ,                      ,                       ,                      ,                        ,                    ,                   ,                     ,                    ,                      ,                   ,                       ,                      ,                   ,                     ,                       ,                    ,                ,                    ,                   ,                ,                ,                       ,                         ,                      ,                           ,                          ,                        ,                   ,                           ,                            ,                         ,                       ,                        ,R                    ,                       ,                           ,                    ,                         ,A                          ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix B back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,NK7               ,              ,120, 748,B,  2,H, 3,  40.00,      3.5000,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,              ,                    ,                      ,                       ,                      ,                        ,                    ,                   ,                     ,                    ,                      ,                   ,                       ,                      ,                   ,                     ,                       ,                    ,                ,                    ,                   ,                ,                ,                       ,                         ,                      ,                           ,                          ,                        ,                   ,                           ,                            ,                         ,                       ,                        ,                     ,                       ,                           ,                    ,                         ,A                          ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix B back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,NK7               ,              ,120, 748,B,  2,H, 4,  40.00,      5.0000,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,              ,                    ,                      ,                       ,                      ,                        ,                    ,                   ,                     ,                    ,                      ,                   ,                       ,                      ,                   ,                     ,                       ,                    ,                ,                    ,                   ,                ,                ,                       ,                         ,                      ,                           ,                          ,                        ,                   ,                           ,                            ,                         ,                       ,                        ,                     ,                       ,                           ,                    ,                         ,C                          ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix B back pocket microfiche
