Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Otoliths (all taxa),Comment
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B,  2,H, 5, 145.00,      7.5500,Quilty   ,Miscellaneous                                ,B              ,                  ,-                  ,from ODP Leg 120 SR Vol 2 Chapter 59 Table 2 p 1066
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B,  3,H, 5, 145.00,     17.0500,Quilty   ,Miscellaneous                                ,B              ,                  ,-                  ,from ODP Leg 120 SR Vol 2 Chapter 59 Table 2 p 1066
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B,  6,H, 5, 145.00,     45.5500,Quilty   ,Miscellaneous                                ,B              ,                  ,-                  ,from ODP Leg 120 SR Vol 2 Chapter 59 Table 2 p 1066
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B,  9,H, 5, 145.00,     74.0500,Quilty   ,Miscellaneous                                ,B              ,                  ,-                  ,from ODP Leg 120 SR Vol 2 Chapter 59 Table 2 p 1066
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B, 12,H, 5, 145.00,    102.5500,Quilty   ,Miscellaneous                                ,B              ,                  ,-                  ,from ODP Leg 120 SR Vol 2 Chapter 59 Table 2 p 1066
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B, 15,H, 5, 145.00,    131.0500,Quilty   ,Miscellaneous                                ,B              ,                  ,-                  ,from ODP Leg 120 SR Vol 2 Chapter 59 Table 2 p 1066
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B, 18,H, 5, 145.00,    159.5500,Quilty   ,Miscellaneous                                ,B              ,                  ,-                  ,from ODP Leg 120 SR Vol 2 Chapter 59 Table 2 p 1066
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B, 23,X, 2, 145.00,    199.5500,Quilty   ,Miscellaneous                                ,B              ,                  ,-                  ,from ODP Leg 120 SR Vol 2 Chapter 59 Table 2 p 1066
,,,,,,,,,,,,,,,,,,
