Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pseudoemiliania lacunosa	Coccolithus pelagicus	Calcidiscus leptoporus	Gephyrocapsa spp. (>4 microns)	Cyclicargolithus abisectus	Pontosphaera multipora	Calcidiscus macintyrei	Sphenolithus abies	Micula decussata	Watznaueria barnesae	Prediscosphaera cretacea	Cruciplacolithus tenuis	Arkhangelskiella cymbiformis	Emiliania huxleyi	Comment



  SR	Pleistocene      	                 	CN15              	              	152	 918	A	  1	H	 1	   0.00	      0.0000	Wei      	Nannofossils                                 	A              	M                 	                        	A                    	R                     	                              	                          	                      	                      	                  	                	                    	                        	                       	                            	A                	From Leg 152SR; Ch 11; Table 4; p 151

  SR	Pleistocene      	                 	CN15              	              	152	 918	A	  1	H	 1	  29.00	      0.2900	Wei      	Nannofossils                                 	C              	M                 	                        	C                    	R                     	                              	                          	                      	                      	                  	                	                    	                        	                       	                            	C                	From Leg 152SR; Ch 11; Table 4; p 151

  SR	Pleistocene      	                 	CN15              	              	152	 918	A	  1	H	 1	  59.00	      0.5900	Wei      	Nannofossils                                 	R              	M                 	                        	                     	R                     	R                             	                          	                      	                      	                  	                	                    	                        	                       	                            	R                	From Leg 152SR; Ch 11; Table 4; p 151

  SR	Pleistocene      	                 	CN15              	              	152	 918	A	  1	H	 2	  29.00	      1.2900	Wei      	Nannofossils                                 	F              	M                 	                        	                     	                      	F                             	                          	                      	                      	                  	                	                    	                        	                       	                            	R                	From Leg 152SR; Ch 11; Table 4; p 151

  SR	Pleistocene      	                 	CN15              	              	152	 918	A	  1	H	 2	  59.00	      1.5900	Wei      	Nannofossils                                 	R              	M                 	                        	                     	                      	R                             	                          	                      	                      	                  	                	                    	                        	                       	                            	R                	From Leg 152SR; Ch 11; Table 4; p 151

  SR	Pleistocene      	                 	CN15              	              	152	 918	A	  1	H	CC	  10.00	      1.7000	Wei      	Nannofossils                                 	R              	M                 	                        	                     	                      	R                             	                          	                      	                      	                  	                	                    	                        	                       	                            	R                	From Leg 152SR; Ch 11; Table 4; p 151

  SR	Pleistocene      	                 	CN15              	              	152	 918	A	  2	H	 1	  30.00	      2.1000	Wei      	Nannofossils                                 	R              	M                 	                        	R                    	                      	R                             	                          	                      	                      	                  	                	                    	                        	                       	                            	R                	From Leg 152SR; Ch 11; Table 4; p 151

  SR	Pleistocene      	                 	CN15              	              	152	 918	A	  2	H	 1	  60.00	      2.4000	Wei      	Nannofossils                                 	R              	M                 	                        	                     	                      	                              	                          	                      	                      	                  	                	                    	                        	                       	                            	R                	From Leg 152SR; Ch 11; Table 4; p 151

  SR	Pleistocene      	                 	CN15              	              	152	 918	A	  2	H	 1	  90.00	      2.7000	Wei      	Nannofossils                                 	R              	M                 	                        	                     	                      	                              	                          	                      	                      	                  	                	                    	                        	                       	                            	R                	From Leg 152SR; Ch 11; Table 4; p 151

