Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stilostomella spp.,Ostracoda spp.,Melonis barleeanus,Lenticulina spp.,Laticarinina pauperata,Hopkinsina mioindex,Globocassidulina subglobosa,Eggerella bradyi,Cibicidoides mundulus,Cassidulina spp.,Bolivina spp.,Bolivina huneri,Bolboforma spp.,Uvigerina hispida,Unilocular species,Quinqueloculina spp.,Pullenia bulloides,Pleurostomella spp.,Oridorsalis umbonatus,Nuttallides umbonifera,Gyroidinoides spp.,Fontbotia wuellerstorfi,Uvigerina peregrina,Unidentified benthic forams,Pyrulina spp.,Epistominella exigua,Dentalina spp.,Spiroloculina spp.,Pyrgo spp.,Pullenia quinqueloba,Karreriella bradyi,Gyroidina zealandica,Bulimina alazanensis,Astrononion spp.,Textularia spp.,Parrelloides bradyi,Ehrenbergina spp.,Pullenia spp.,Polymorphina spp.,Gyroidina orbicularis,Sigmoilopsis schlumbergeri,Nonionella spp.,Chilostomella oolina,Bulimina aculeata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,A,  1,H,CC,   8.00,      7.0200,benthics ,Benthic Foraminifers                         ,C              ,VG                ,                  ,R             ,T                 ,                ,                      ,                   ,C                          ,T               ,                     ,T               ,T            ,               ,               ,T                ,R                 ,                    ,R                 ,                   ,R                    ,                      ,                  ,                       ,R                  ,                           ,             ,                    ,              ,                  ,F         ,T                   ,F                 ,                    ,                    ,                ,               ,                   ,R                ,             ,                 ,                     ,T                         ,T              ,T                   ,R                ,B/P: 1/100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,A,  3,H,CC,  17.00,     24.7600,benthics ,Benthic Foraminifers                         ,F              ,G                 ,R                 ,R             ,                  ,                ,T                     ,                   ,T                          ,                ,                     ,                ,             ,               ,               ,                 ,R                 ,T                   ,R                 ,T                  ,T                    ,                      ,                  ,                       ,                   ,                           ,             ,                    ,T             ,                  ,          ,T                   ,                  ,T                   ,                    ,                ,               ,                   ,                 ,T            ,T                ,R                    ,                          ,               ,                    ,                 ,B/P: 1/190
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,A,  5,H,CC,  18.00,     45.3600,benthics ,Benthic Foraminifers                         ,C              ,G                 ,T                 ,R             ,R                 ,                ,R                     ,                   ,T                          ,                ,T                    ,                ,             ,               ,               ,T                ,R                 ,                    ,                  ,T                  ,T                    ,                      ,T                 ,R                      ,T                  ,T                          ,T            ,                    ,T             ,T                 ,T         ,                    ,                  ,T                   ,                    ,                ,R              ,T                  ,R                ,             ,                 ,                     ,                          ,               ,                    ,                 ,B/P: 1/150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,A,  7,H,CC,  25.00,     64.2000,benthics ,Benthic Foraminifers                         ,C              ,G                 ,T                 ,F             ,                  ,                ,T                     ,                   ,R                          ,R               ,R                    ,                ,F            ,C              ,               ,                 ,T                 ,                    ,R                 ,                   ,T                    ,                      ,                  ,R                      ,                   ,R                          ,T            ,                    ,T             ,R                 ,T         ,T                   ,R                 ,T                   ,T                   ,T               ,               ,                   ,                 ,             ,                 ,                     ,                          ,               ,                    ,                 ,B/P: 1/120
