Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix antarctica,Proboscia barboi,Odontella aurita,Denticulopsis dimorpha,Azpeitia nodulifera,Sponge spicules,Pyxilla fragments,Coscinodiscus marginatus,Actinocyclus fryxellae,Denticulopsis hustedtii,Azpeitia tabularis,Silicoflagellate tests,Thalassionema nitzschioides  var. parva,Hemidiscus karstenii,Hemidiscus cuneiformis,Asteromphalus kennettii,Fragilariopsis reinholdii,Actinocyclus ingens var. ovalis,Thalassiosira insigna,Actinoptychus senarius,Thalassiosira complicata,Fragilariopsis weaveri,Fragilariopsis spp.,Dactyliosolen antarcticus,Thalassiosira striata,Thalassiosira oliverana,Thalassiosira inura,Stephanopyxis turris,Chaetoceros spp. (resting spores),Azpeitia cf. nodulifer,Thalassiosira kolbei,Actinocyclus karstenii,Thalassiosira tetraoestrupii var. reimeri,Thalassiosira leptopus,Thalassiosira lentiginosa,Thalassiosira gracilis,Thalassionema nitzschioides,Fragilariopsis kerguelensis,Fragilariopsis barronii,Thalassiosira trifulta,Thalassiosira fasciculata,Thalassiosira elliptipora,Thalassiosira eccentrica,Rhizosolenia styliformis,Fragilariopsis doliolus,Asteromphalus parvulus,Actinocyclus dimorphus,Thalassiosira oestrupii,Eucampia antarctica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,A,  1,H,CC,   8.00,      7.0200,diatoms  ,Diatoms                                      ,C              ,M                 ,D                        ,                ,                ,                      ,                   ,C              ,                 ,                        ,                      ,                       ,C                 ,F                     ,                                       ,                    ,                      ,                       ,                         ,                               ,                     ,                      ,                        ,                      ,                   ,                         ,                     ,                       ,                   ,R                   ,                                 ,                      ,                    ,                      ,                                         ,R                     ,A                        ,                      ,C                          ,A                          ,                       ,                      ,                         ,                         ,                        ,                        ,                       ,                      ,                      ,F                      ,F                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,A,  2,H,CC,  18.00,     16.1000,diatoms  ,Diatoms                                      ,A              ,G                 ,C                        ,                ,C               ,                      ,                   ,C              ,                 ,R                       ,                      ,                       ,                  ,F                     ,                                       ,                    ,                      ,                       ,F                        ,                               ,                     ,                      ,                        ,                      ,F                  ,                         ,F                    ,C                      ,                   ,                    ,                                 ,                      ,                    ,                      ,                                         ,F                     ,C                        ,R                     ,                           ,D                          ,                       ,R                     ,F                        ,R                        ,F                       ,R                       ,R                      ,R                     ,F                     ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,A,  3,H,CC,  17.00,     24.7600,diatoms  ,Diatoms                                      ,A              ,G                 ,C                        ,D               ,C               ,                      ,                   ,C              ,                 ,                        ,                      ,                       ,                  ,F                     ,                                       ,F                   ,                      ,                       ,R                        ,                               ,                     ,                      ,                        ,                      ,                   ,                         ,                     ,C                      ,                   ,                    ,                                 ,                      ,                    ,                      ,F                                        ,C                     ,C                        ,R                     ,C                          ,F                          ,C                      ,                      ,                         ,                         ,                        ,                        ,                       ,                      ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,A,  4,H,CC,  20.00,     35.7800,diatoms  ,Diatoms                                      ,A              ,G                 ,D                        ,C               ,C               ,                      ,                   ,C              ,                 ,+                       ,                      ,                       ,                  ,C                     ,                                       ,C                   ,C                     ,                       ,                         ,                               ,C                    ,                      ,C                       ,C                     ,C                  ,R                        ,                     ,C                      ,F                  ,                    ,                                 ,                      ,C                   ,R                     ,                                         ,                      ,                         ,                      ,                           ,                           ,                       ,                      ,                         ,                         ,                        ,                        ,                       ,                      ,                      ,                       ,                   ,       
