Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia crassaformis hessi	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Hastigerina digitata	Globorotalia tumida flexuosa	Globorotalia tumida	Globorotalia truncatulinoides	Globorotalia tosaensis	Globorotalia menardii	Globorotalia inflata	Globorotalia hexagonus	Globorotalia fimbriata	Globorotalia crassaformis viola	Globorotalia crassaformis crassaformis	Globigerinoides trilobus trilobus	Globigerinoides trilobus sacculifer	Globigerinoides ruber (white)	Globigerinoides ruber (pink)	Globigerina calida calida	Globigerina bulloides	Bolliella adamsi	Comment



  IR	Holocene         	                 	Z                 	              	155	 936	A	  1	H	 1	  20.00	      0.2000	Showers  	Planktonic Foraminifers                      	A              	G                 	R                               	F                           	C                         	-                   	-                           	F                  	F                            	-                     	F                    	R                   	F                     	F                     	-                              	-                                     	C                                	F                                  	C                            	F                           	-                        	-                    	-               	from Leg 155IR p. 346-347 Table 4

  IR	Holocene         	                 	Z                 	              	155	 936	A	  1	H	 1	  43.00	      0.4300	Showers  	Planktonic Foraminifers                      	A              	G                 	-                               	F                           	C                         	-                   	-                           	F                  	R                            	-                     	F                    	-                   	-                     	-                     	-                              	-                                     	C                                	F                                  	C                            	R                           	-                        	-                    	-               	from Leg 155IR p. 346-347 Table 4

  IR	Holocene         	                 	Z                 	              	155	 936	A	  1	H	 1	  52.00	      0.5200	Showers  	Planktonic Foraminifers                      	C              	M                 	-                               	F                           	F                         	-                   	-                           	F                  	R                            	-                     	R                    	-                   	-                     	R                     	-                              	-                                     	F                                	F                                  	C                            	R                           	-                        	-                    	-               	from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 936	A	  1	H	 1	 100.00	      1.0000	Showers  	Planktonic Foraminifers                      	F              	M                 	-                               	F                           	F                         	-                   	-                           	-                  	R                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	F                                	R                                  	C                            	F                           	-                        	-                    	-               	S; from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 936	A	  1	H	CC	   7.00	      6.4700	Showers  	Planktonic Foraminifers                      	R              	M                 	-                               	-                           	C                         	-                   	-                           	R                  	R                            	-                     	R                    	-                   	-                     	R                     	-                              	-                                     	C                                	C                                  	F                            	R                           	-                        	-                    	-               	from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 936	A	  2	H	CC	  12.00	     16.2900	Showers  	Planktonic Foraminifers                      	R              	M                 	-                               	-                           	C                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	C                     	-                     	-                              	-                                     	-                                	C                                  	F                            	-                           	-                        	-                    	-               	from Leg 155IR p. 346-347 Table 4

