Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Incertae sedis forma A	Bachmayerella tenuis	Comment



  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 966	A	  1	H	 1	 110.00	      1.1000	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 3

  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 966	A	  1	H	 2	 110.00	      2.6000	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 3

  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 966	A	  1	H	 3	  52.00	      3.5200	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 3

  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 966	A	  1	H	 4	  35.00	      4.8500	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 3

  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 966	A	  1	H	CC	  34.00	      5.8200	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 3

  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 966	A	  2	H	 1	  30.00	      6.1000	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 3

  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 966	A	  2	H	 1	 126.00	      7.0600	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 3

  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 966	A	  2	H	 2	  30.00	      7.6000	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 3

  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 966	A	  2	H	 2	 126.00	      8.5600	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 3

  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 966	A	  2	H	 3	  30.00	      9.1000	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 3

  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 966	A	  2	H	 3	 126.00	     10.0600	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 3

  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 966	A	  2	H	 4	  82.00	     11.1200	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 3

