Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pseudoemiliania lacunosa	Gephyrocapsa large	Gephyrocapsa (small)	Calcidiscus leptoporus	Helicosphaera carteri	Gephyrocapsa sp. 3	Gephyrocapsa oceanica s.l.	Coccolithus pelagicus	Helicosphaera sellii	Emiliania huxleyi	Comment



  IR	                 	                 	CN15              	              	167	1013	C	  1	H	CC	  18.00	      5.6500	Fornaciari	Nannofossils                                 	A              	G                 	                        	F                 	A                   	R                     	C                    	                  	C                         	                     	R                   	+                	from IR. Ch 7. Table 4.

  IR	                 	                 	CN14b             	CN15          	167	1013	C	  2	H	CC	  21.00	     15.5300	Fornaciari	Nannofossils                                 	R              	P                 	                        	                  	+                   	R                     	R                    	                  	R                         	                     	                    	                 	few reworked taxa.from IR.Ch 7.Table 4.

  IR	                 	                 	CN14b             	CN15          	167	1013	C	  3	H	CC	  25.00	     25.1300	Fornaciari	Nannofossils                                 	A              	G                 	                        	                  	A                   	R                     	                     	                  	+                         	F                    	                    	                 	from IR. Ch 7. Table 4.

  IR	                 	                 	CN14              	CN15          	167	1013	C	  4	H	CC	  23.00	     34.1800	Fornaciari	Nannofossils                                 	A              	G                 	R                       	                  	A                   	R                     	                     	                  	+                         	F                    	                    	                 	trace reworked taxa.from IR. Ch 7. Table 4.

  IR	                 	                 	CN14a             	              	167	1013	C	  5	H	CC	  16.00	     43.8700	Fornaciari	Nannofossils                                 	A              	G                 	C                       	                  	A                   	                      	R                    	F                 	R/F                       	                     	                    	                 	from IR. Ch 7. Table 4.

  IR	                 	                 	CN13b             	              	167	1013	C	  6	H	CC	  33.00	     53.5300	Fornaciari	Nannofossils                                 	R              	M                 	+                       	                  	+                   	R                     	R                    	                  	                          	                     	                    	                 	from IR. Ch 7. Table 4.

  IR	                 	                 	CN13b             	              	167	1013	C	  7	H	CC	  17.00	     62.9600	Fornaciari	Nannofossils                                 	C/A            	M                 	+                       	                  	C                   	+                     	                     	                  	                          	                     	                    	                 	from IR. Ch 7. Table 4.

  IR	                 	                 	CN13b             	              	167	1013	C	  8	H	CC	  32.00	     72.2300	Fornaciari	Nannofossils                                 	F              	M                 	C                       	C                 	                    	                      	                     	                  	                          	                     	                    	                 	from IR. Ch 7. Table 4.

