Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Dictyococcites antarcticus	Coronocyclus nitescens	Calcidiscus premacintyrei	Coccolithus miopelagicus	Reticulofenestra umbilica	Calcidiscus macintyrei	Sphenolithus abies	Discoaster hamatus	Discoaster surculus	Discoaster neohamatus	Comment



  IR	                 	Late Miocene     	                  	              	177	1088	C	  2	H	CC	  19.00	    132.3300	Flores   	Nannofossils                                 	A              	M                 	                          	                      	                         	                        	                         	                      	                  	R                 	R                  	R                    	       

  IR	                 	Late Miocene     	                  	              	177	1088	C	  3	H	CC	  10.00	    143.3500	Flores   	Nannofossils                                 	A              	M                 	                          	                      	                         	                        	D                        	                      	                  	R                 	                   	                     	       

  IR	                 	Late Miocene     	                  	              	177	1088	C	  4	H	CC	  12.00	    152.4000	Flores   	Nannofossils                                 	A              	M                 	                          	                      	                         	                        	A                        	                      	F                 	                  	                   	                     	       

  IR	                 	Late Miocene     	                  	              	177	1088	C	  5	H	CC	  12.00	    162.1300	Flores   	Nannofossils                                 	A              	M                 	                          	                      	                         	                        	C                        	                      	                  	                  	                   	                     	       

  IR	                 	Late Miocene     	                  	              	177	1088	C	  6	X	CC	  11.00	    165.9400	Flores   	Nannofossils                                 	A              	M                 	A                         	                      	                         	                        	C                        	F                     	                  	                  	                   	                     	       

  IR	                 	Middle Miocene   	                  	              	177	1088	C	  7	X	CC	  16.00	    171.8300	Flores   	Nannofossils                                 	A              	M                 	                          	                      	                         	F                       	                         	C                     	                  	                  	                   	                     	       

  IR	                 	Middle Miocene   	                  	              	177	1088	C	  8	X	CC	  20.00	    185.2200	Flores   	Nannofossils                                 	A              	M                 	C                         	                      	                         	F                       	                         	F                     	                  	                  	                   	                     	       

  IR	                 	Middle Miocene   	                  	              	177	1088	C	  9	X	CC	  15.00	    194.0600	Flores   	Nannofossils                                 	A              	M                 	A                         	                      	                         	R                       	                         	F                     	                  	                  	                   	                     	       

  IR	                 	Middle Miocene   	                  	              	177	1088	C	 10	X	CC	  18.00	    202.4800	Flores   	Nannofossils                                 	A              	G                 	                          	                      	                         	R                       	A                        	R                     	                  	                  	                   	                     	       

  IR	                 	Middle Miocene   	                  	              	177	1088	C	 11	X	CC	  72.00	    209.3700	Flores   	Nannofossils                                 	A              	G                 	A                         	F                     	R                        	R                       	                         	                      	                  	                  	                   	                     	       

  IR	                 	Middle Miocene   	                  	              	177	1088	C	 13	X	CC	  17.00	    233.2700	Flores   	Nannofossils                                 	A              	G                 	C                         	A                     	C                        	                        	                         	                      	                  	                  	                   	                     	       

