Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Vitreisporites signatus,Vallizonosporites sp.,Triletes tuberculiformis,Trilete spores (unspecified taxon or taxa),Trichotomosulcites subgranulatus,Stereisporites sp.,Saccate pollen (unspecified taxon or taxa),Retitriletes sp.,Polycingulatisporites sp.,Podocarpidites sp.,Microcachryidites antarcticus,Laevigatosporites (unspecified taxon or taxa),Gleicheniidites taxa,Gleicheniidites sp. cf. G. umbonatus,Foveosporites canalis,Densoisporites sp.,Cycadopites sp.,Cyathidites taxa,Cyatheacidites sp.,Corollina  (unspecified taxon or taxa),Contignisporites glebulentus,Contignisporites cooksonae,Clavatipollenites sp. A,Cicatricosisporites australiensis,Balmeiopsis (unspecified taxon or taxa),Baculatisporites sp.,Ashmoripollis woodywisei,Angiosperm pollen spp.,Impardecispora triorticulosus,Cicatricosisporites hughesii,Neoraistrickia truncata,Interulobites intraverrucatus,Clavatipollenites hughesii,Cibotiumspora sp.,Calamospora mesozoica,Neoraistrickia levidensis,Camerozonosporites sp.,Balmeiopsis limbata,Tricolpopollenites sp. 1,Perotrilites linearis,Ischyosporites variegatus,Concavissimisporites sp.,Balmeiopsis robusta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,B, 11,W, 2, 136.00,    597.4600,Mohr     ,Pollen/Spores                                ,               ,                  ,+                      ,                     ,                        ,                                          ,                                ,                  ,                                          ,                ,                         ,                  ,+                            ,                                             ,                    ,                                    ,                     ,                  ,               ,                ,                  ,                                      ,                            ,+                         ,                       ,                                 ,                                       ,                    ,                        ,                      ,                             ,                            ,                       ,                             ,                          ,                 ,                     ,                         ,                      ,                   ,+                       ,                     ,                         ,                        ,                   ,from ODP Leg 120 SR Vol 1 Chapter 17 Tables 3&4 pp 260&262-263
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,B, 12,W,CC,  15.00,    627.7100,Mohr     ,Pollen/Spores                                ,               ,                  ,                       ,                     ,                        ,18.6%                                     ,                                ,                  ,36.3%                                     ,                ,+                        ,                  ,+                            ,                                             ,14.8%               ,+                                   ,                     ,+                 ,               ,28.8%           ,+                 ,+                                     ,                            ,+                         ,                       ,+                                ,.0%                                    ,                    ,.9%                     ,.2%                   ,                             ,                            ,                       ,                             ,                          ,                 ,                     ,+                        ,                      ,                   ,                        ,                     ,                         ,                        ,                   ,from ODP Leg 120 SR Vol 1 Chapter 17 Tables 3&4 pp 260&262-263
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,B, 13,W, 1, 130.00,    644.1000,Mohr     ,Pollen/Spores                                ,               ,                  ,+                      ,+                    ,                        ,1.8%                                      ,                                ,+                 ,10.2%                                     ,+               ,+                        ,+                 ,+                            ,+                                            ,16.2%               ,+                                   ,+                    ,+                 ,+              ,45.3%           ,+                 ,+                                     ,                            ,+                         ,+                      ,                                 ,.4%                                    ,+                   ,24.9%                   ,.2%                   ,                             ,+                           ,                       ,+                            ,+                         ,                 ,+                    ,+                        ,                      ,+                  ,+c                      ,+                    ,+                        ,+                       ,+                  ,from ODP Leg 120 SR Vol 1 Chapter 17 Tables 3&4 pp 260&262-263
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,B, 13,W, 2,  90.00,    645.2000,Mohr     ,Pollen/Spores                                ,               ,                  ,                       ,                     ,                        ,11.7%                                     ,+                               ,                  ,29.2%                                     ,+               ,+                        ,+                 ,+                            ,+                                            ,24.1%               ,+                                   ,+                    ,+                 ,+              ,31.5%           ,+                 ,                                      ,+                           ,+                         ,                       ,+                                ,.2%                                    ,                    ,2.7%                    ,.0%                   ,                             ,                            ,                       ,                             ,+                         ,+                ,+                    ,+                        ,+                     ,+                  ,                        ,                     ,                         ,                        ,                   ,from ODP Leg 120 SR Vol 1 Chapter 17 Tables 3&4 pp 260&262-263
