Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Stylatractus universus,Collosphaera tuberosa,Lamprocyrtis neoheteroporos,Anthocyrtidium angulare,Lamprocyrtis nigriniae,Theocorythium vetulum,Lamprocyrtis heteroporos,Theocorythium trachelium,Pterocorys minythorax,Pterocanium prismatium,Didymocyrtis avita,Anthocyrtidium jenghisi,Theocalyptra davisiana,Stichocorys peregrina,Anthocyrtidium pliocenica,Phormostichoartus fistula,Lychnodictyum audax,Spongaster pentas,Phormostichoartus doliolum,Amphirhopalum ypsilon,Didymocyrtis penultima,Spongaster tetras,Nephrospyris renilla,Solenosphaera omnitubus,Spongaster berminghami,Didymocyrtis antepenultima,Stichocorys johnsoni,Calocycletta caepa,Didymocyrtis tetrathalamus,Stichocorys delmontensis,Acrobotrys tritubus,Stylosphaera sp. C,Acrobotris tritubus,Diartus hughesi,Didymocyrtis laticonus,Botryostrobus miralestensis,Diartus petterssoni,Stichocorys wolffii,Cladococcus abietinus,Stauroxiphos communis,Cyrtocapsella japonica,Carpocanopsis cristata,Lithopera neotera,Cyrtocapsella cornuta,Dorcadospyris alata,Cyrtocapsella tetrapera,Lithopera renzae,Comments,File data,
320-U1334A-1H-2-W,320,U1334,A,1,1-2,H,2,W,,105,107,2.55,2.57,,R,P,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REWK OLIG, L. MIOC",,
320-U1334A-1H-4-W,320,U1334,A,1,1-4,H,4,W,,105,107,5.55,5.57,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REWK OLIG, L. MIOC",,
320-U1334A-1H-CC-PAL-RADS,320,U1334,A,1,1-CC,H,CC,PAL,RADS,0,0,8.19,8.19,RN7,C,M,2,,,,,,,,,,,,,,,,,R,,,,R,,,,R,,R,R,,F,,,,R,,,vR,,,,,,,,,,,,,
320-U1334A-2H-2-W 105/107,320,U1334,A,2,2-2,H,2,W,105/107,105,107,11.8,11.82,RN6,C,M,2,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,R,,F,,,,,R,R,R,,,,,,,vR,,vR,,,,
320-U1334A-2H-4-W,320,U1334,A,2,2-4,H,4,W,,105,107,13.75,13.77,RN6,C,M,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,R,R,R,R,,,R,,,,,,,,,
320-U1334A-2H-CC-PAL-RADS,320,U1334,A,2,2-CC,H,CC,PAL,RADS,0,0,18.11,18.11,RN5,C,G,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,F,,,,,F,R,,R,,,,,R,,,,R,,,
