Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Diatoms group abundance,Diatom preservation dissolution,Diatom preservation fragmentation,Hemiaulus altus,Hemiaulus caracteristicus,Hemiaulus danicus,Hemiaulus dissimilis,Hemiaulus grassus,Hemiaulus incisus,Hemiaulus inequilaterus,Hemiaulus peripterus,Hemiaulus polycystinorum,Hemiaulus polymorphus var. morsianus,Hemiaulus rectus var. twista,Hemiaulus sp.,Hemiaulus stilwelli,Hemiaulus subacutus,Hemiaulus taurus,Hemidiscus cuneiformis,Hemidiscus karstenii,Hemidiscus karstenii f.1,Ikebea tenuis,Kannoa sp.,Kisseleviella carina,Kisseleviella cicatricata,Kisseleviella ezoensis,Kisseleviella faballiforma,Kisseleviella gaster,Kisseleviella tricoronata,Kisselviella magnaareolata,Lisitzinia ornata,Lithodesmium minusculum,Navicula directa,Navicula spp.,Navicula wisei,Naviculata udintsevii,Neobrunia mirabilis,Nitzschia denticuloides,Nitzschia efferans,Nitzschia grossepunctata,Nitzschia miocenica,Nitzschia sp. 17,Nitzschia spp.,Odontella spp.,Paralia sulcata,Paralia sulcata var. crenulata,Porosira glacialis,Porosira pseudodenticulata,Porotheca danica,Proboscia barboi,Proboscia ?cretacea,Proboscia curvirostris,Proboscia sp,Pseudopyxilla spp.,Pseudotriceratium radiosoreticulatum,Pterotheca aculeifera,Pyrgupyxis eocena,Pyxilla prolongata,Pyxilla sp.,Pyxilla reticulata,Raphidodiscus marylandicus,Rhabdonema spp.,Rhaphoneis amphiceros,Rhaphoneis spp.,Rhizosolenia antarctica,Rhizosolenia antennata var. semispina,Rhizosolenia costata,Rhizosolenia fidicularis,Rhizosolenia harwoodii,Rhizosolenia hebetata,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. semispina,Rhizosolenia sp. B,Rhizosolenia oligocaenica,Rhizosolenia spp.,Rocella gelida,Rocella gelida  var. schraderi,Rocella praenitida,Rocella semigelida,Rocella vigilans var. A,Rocella vigilans var. B,Roperia tesselata,Rossiella fennerae,Rossiella symmetrica,Rouxia antarctica,Rouxia californica,Rouxia constricta,Rouxia diploneides,Rouxia heteropolara,Rouxia isopolica,Rouxia leventerae,Rouxia naviculoides,Rouxia peragalli,Rouxia spp.,Rylandsia biradiata,Sceptroneis lingulatus,Sceptroneis pesplanus,Shionodiscus gracilis var. gracilis,Shionodiscus oestrupii,Shionodiscus tetraoestrupii var. reimeri,Skeletonema penicillus,Skeletonema utriculosa,"""Skeletonema"" utriculosa",Skeletonemopsis barbabadensis,Skeletonemopsis mahoodii,Skeletonemopsis and Skeletonema grp,Sphynctolethus pacificus,Stellarima microtrias,Stellarima stellaris,Stephanonycites coronis,Stephanonycites tabularis,Stephanonycites variegatus,Stephanopyxis grunowii,Stephanopyxis spp.,Stictodiscus hardmanianus,Stictodiscus kittonianus,Syndendrium rugosum,Synedropsis cheethamii,Synedropsis sp. C,Thalassionema nitzschioides  var. parva,Thalassionema nitzschioides,Thalassiosira antarctica,Thalassiosira complicata,Thalassiosira convexa,Thalassiosira convexa var. aspinosa,Thalassiosira eccentrica,Thalassiosira elliptipora,Thalassiosira fasciculata,Thalassiosira gravida,Thalassiosira insigna,Thalassiosira insigna/inura trans,Thalassiosira inura,Thalassiosira aff. Inura,Thalassiosira jacksonii,Thalassiosira kolbei,Thalassiosira lentiginosa,Thalassiosira lentiginosa var. obovatus,Thalassiosira lineata,Thalassiosira miocenica,Thalassiosira nansenii,Thalassiosira nativa,Thalassiosira oliverana,Thalassiosira oliverana var. sparsa,Thalassiosira praeconvexa,Thalassiosira praefraga,Thalassiosira spp.,Thalassiosira striata,Thalassiosira teres,Thalassiosira torokina,Thalassiosira trifulta,Thalassiosira tumida,Thalassiosira vulnifica,Thalassiosira webbii,Thalassiothrix antarctica,Thalassiothrix longissima,Thalassiothrix miocenica,Triceratium inconspicuum var. trilobata,Triceratium kanayae,Triceratium kanayae var. quadriloba,Triceratium pileus,Triceratium pulvinar,Triceratium unguiculatum,Trichotoxon reinboldii,Trinacria cornuta,Trinacria excavata,Trinacria simulacrum,Trinacria spp.,Trochosira coronata,Trochosira spinosa,Tubaformis unicornis,Xanthiopyxis sp.,Nitzschia denticuloides var. M,Trochosira spp.
318-U1356A-1R-1-W 3/5-PAL-DIAT1,318,U1356,A,1,1-1,R,1,W,3/5-PAL-DIAT1,0,2,0.03,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,R-F,,,,,X[318_Si],,,,,,,,,,,X[318_Si],,,,,,,,
318-U1356A-1R-1-W 3/5-PAL-DIAT3,318,U1356,A,1,1-1,R,1,W,3/5-PAL-DIAT3,0,2,0.03,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,X[318_Si],,,,,,,,,,,,,X[318_Si],,,,,,,,,R[318_Si],,,,,,,,,,,X[318_Si],,,,,,,R[318_Si],,,,,,,,,,,,,,,R[318_Si],,,,,,X[318_Si],,,,,,X[318_Si],X[318_Si],,,,,,,,,,,,X[318_Si],,,,,,,,,X[318_Si],,,,,,X[318_Si],R[318_Si],,,,,X[318_Si],,,,,,,,,X[318_Si]?,,X[318_Si],,,,,,,,
318-U1356A-1R-2-W 2/4-PAL-DIAT,318,U1356,A,1,1-2,R,2,W,2/4-PAL-DIAT,0,1,2.88,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],X[318_Si],,,,,,,,,F[318_Si],,,,F-C,,,R-F,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,
318-U1356A-1R-2-W 2/4-PAL-DIAT2,318,U1356,A,1,1-2,R,2,W,2/4-PAL-DIAT2,0,2,1.52,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,X[318_Si],,,,,F[318_Si],,X[318_Si],,F[318_Si],,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,F[318_Si],X[318_Si],,,,,F[318_Si],,,,,X[318_Si],,F[318_Si],,,,,,,,,,,,,,,,,,,,,R[318_Si],F[318_Si],,,,,,F[318_Si],,,,,F[318_Si],X[318_Si],,,,,,,,,,X[318_Si],,,,,,,,
318-U1356A-1R-2-W 2/4-PAL-DIAT3,318,U1356,A,1,1-2,R,2,W,2/4-PAL-DIAT3,0,2,1.52,1.54,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,F[318_Si],,,,R[318_Si],,,R[318_Si],,,,,X[318_Si],,,,,,,,,,,R[318_Si],,,,,,,,
318-U1356A-1R-CC-PAL-DIAT1,318,U1356,A,1,1-CC,R,CC,PAL,DIAT1,0,5,4.55,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C[318_Si],,,R[318_Si],,,,,,F[318_Si],,,,,,,,,,,,,,,,,,,,,,,,A[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,X[318_Si],X[318_Si],,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,R[318_Si],,,,,,,,,F[318_Si],,,,,,,,
318-U1356A-1R-CC-PAL-DIAT2,318,U1356,A,1,1-CC,R,CC,PAL,DIAT2,0,5,4.55,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,
318-U1356A-2R-CC-PAL-DIAT1,318,U1356,A,2,2-CC,R,CC,PAL,DIAT1,0,5,19.05,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,
318-U1356A-2R-CC-PAL-DIAT2,318,U1356,A,2,2-CC,R,CC,PAL,DIAT2,0,5,19.05,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,
318-U1356A-3R-CC-PAL-DIAT1,318,U1356,A,3,3-CC,R,CC,PAL,DIAT1,0,5,19.75,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,F[318_Si],,,F[318_Si],,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,C[318_Si],,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,R[318_Si],,,,,,,,
