Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Diartus petterssoni,Cyrtocapsella japonica,Lithopera neotera,Calocycletta robusta,Stichocorys armata,Acrocubus octopylus,Didymocyrtis mammifera,Liriospyris parkerae,Calocycletta caepa,Eucyrtidium diaphanes,Didymocyrtis violina,Calocycletta costata,Calocycletta virginis,Carpocanopsis bramlettei,Didymocyrtis tubaria,Dorcadospyris dentata,Dorcadospyris forcipata,Liriospyris stauropora,Dorcadospyris alata,Carpocanopsis cingulata,Lychnocanoma elongata,Didymocyrtis prismatica,Didymocyrtis laticonus,Carpocanopsis cristata,Lithopera renzae,Dorcadospyris scambos n. sp.,Dorcadospyris ateuchus,Stichocorys wolffii,Dorcadospyris simplex s.s.,Dorcadospyris praeforcipata,Calocycletta serrata,Stichocorys delmontensis,Lophocyrtis pegetrum,Theocyrtis annosa,Calocycletta virginis,Lophocyrtis leptetrum,Eucyrtidium mitodes n. sp.,Cyrtocapsella cornuta,Cyrtocapsella tetrapera,Artophormis gracilis,Anthocyrtidium  marieae,Didymocyrtis bassanii,Dorcadospyris cyclacantha n. sp.,Dorcadospyris riedeli,Dorcadospyris circulus,Dorcadospyris papilio,Liriospyris longicornuta,Acrocubus octopylus ,Eucyrtidium plesiodiaphanes,Theocyrtis setanios,Theocorys puriri ,Lychnocanoma apodora,Comments,File data
320-U1334A-2H-CC-PAL-RADS,320,U1334,A,2,2-CC,H,CC,PAL,RADS,0,0,18.11,18.11,,,,,,,,,,,,,F,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,
320-U1334A-3H-2-W 105/107,320,U1334,A,3,3-2,H,2,W,105/107,105,107,21.3,21.32,RN5,C,P,2,,,,,,,,,R,,R,R,R,,,,,,R,,,,R,,,,,R,,,,R,,,R,,,R,R,,,,,,,,,,,,,,,
320-U1334A-3H-4-W 105/107,320,U1334,A,3,3-4,H,4,W,105/107,105,107,24.3,24.32,RN5,C,P,2,,,,,R,R,,,R,,,R,R,,,,,,R,,,,R,,R,,,R,,,,R,,,R,,,R,R,,,,,,,,,,,,,,,
320-U1334A-3H-CC-PAL-RADS,320,U1334,A,3,3-CC,H,CC,PAL,RADS,0,0,27.65,27.65,RN5,C,P,,,,,,,R,,R,,,,C,C,R,,vR,,,F,,,,R,,R,,,R,,,,F,,,C,,,R,R,,,,,,,,,,,,,,,
320-U1334A-4H-2-W,320,U1334,A,4,4-2,H,2,W,,105,107,29.75,29.77,RN4,C,M,,,,,,R,R,,R,R,R,R,F,F,R,R,R,R,R,,,,,R,,R,,,R,,,,F,,,F,,,R,R,,,,,,,,,,,,,,,
320-U1334A-4H-4-W 105/107,320,U1334,A,4,4-4,H,4,W,105/107,105,107,33.8,33.82,RN4,C,G,,,,,,R,R,R,,,R,R,F,R,R,R,F,R,R,,R,,,,,R,,,R,,,,F,,,R,R,,R,R,,,,,,,,,,,,,,,
320-U1334A-4H-CC-PAL-RADS,320,U1334,A,4,4-CC,H,CC,PAL,RADS,0,0,37.18,37.18,RN4,C,M,,,,,R,R,,R,,,R,,F,F,R,R,R,R,R,,R,R,,,,R,,,R,,,,C,,,F,R,,R,R,,,,,,,,,,,,,,C. ELONGATA,
320-U1334A-5H-2-W 104/106,320,U1334,A,5,5-2,H,2,W,104/106,104,106,40.28,40.3,RN4,C,M,,,,,F,,R,R,,,R,,R,F,R,R,R,R,R,,R,R,,,,,,,F,,,,F,,,F,,,R,R,,,,,,,,,,,,,,C. ELONGATA,
320-U1334A-5H-4-W 104/106,320,U1334,A,5,5-4,H,4,W,104/106,104,106,43.28,43.3,RN3,C,M,,,,,F,R,,R,,,R,,,R,R,R,,R,R,,R,R,R,,,,,,R,,,,F,,,R,R,,R,R,,,,,,,,,,,,,,,
320-U1334A-5H-CC-PAL-RADS,320,U1334,A,5,5-CC,H,CC,PAL,RADS,0,0,46.78,46.78,RN2,C,P,,,,,F,R,,,,,R,,,R,R,R,,,,,R,R,R,,,,vR,vR,,R,vR,R,F,,,R,R,,R,R,,,R,,,,,,,,,,,,
320-U1334A-6H-2-W 104/106,320,U1334,A,6,6-2,H,2,W,104/106,104,106,49.78,49.8,RN2,C,M,,,,,F,,,,,,R,R,,R,R,R,,,,,R,R,R,,,,,,,R,,,F,,,R,R,,R,R,,,R,,,,,,,,,,,C. ELONGATA,
320-U1334A-6H-4-W 104/106,320,U1334,A,6,6-4,H,4,W,104/106,104,106,52.78,52.8,RN2,C,M,,,,,F,R,,,,,R,,,R,R,R,,,,,R,R,R,,,,R,R,,R,,R,F,,,R,R,,R,R,,,R,,,,,,,,,,,,
320-U1334A-6H-CC-PAL-RADS,320,U1334,A,6,6-CC,H,CC,PAL,RADS,0,0,56.2,56.2,RN2,C,M,1,,,,F,,,,,,R,R,,R,R,,,,,,R,R,R,,,,R,R,,R,R,vR,F,,,R,R,,R,F,,,R,,,,,,,,,,,,
320-U1334A-7H-2-W,320,U1334,A,7,7-2,H,2,W,,105,107,58.25,58.27,RN2,C,M,,,,,F,,,,,,R,R,,R,,,,,,,R,R,R,,,,R,,,R,R,,R,R,,R,R,,R,R,,,R,,,,,,,,,,,,
320-U1334A-7H-4-W,320,U1334,A,7,7-4,H,4,W,,105,107,61.25,61.27,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PYRITE WORM BURROW,
320-U1334A-7H-CC-PAL-RADS,320,U1334,A,7,7-CC,H,CC,PAL,RADS,0,0,65.66,65.66,RN2,C,M,,,,,F,,,,,,R,,,R,R,,,,,,R,R,R,,,,R,R,,,R,,,R,,R,R,,F,F,,,R,,,,,,,,,,,,
320-U1334A-8H-2-W,320,U1334,A,8,8-2,H,2,W,,105,107,67.75,67.77,RN2,C,M,,,,,F,,,,,,R,,,,R,,,,,,R,F,R,,,,R,,,R,R,R,,R,,,,R,F,R,,,R,,,,,,,,,,,,
320-U1334A-8H-4-W,320,U1334,A,8,8-4,H,4,W,,105,107,70.75,70.77,RN2,C,M,,,,,F,,,,,,R,,,,,,,,,,R,R,R,,,,R,,,,,,,R,,,,,F,R,,,R,,,,,,,,,,,,
320-U1334A-8H-CC-PAL-RADS,320,U1334,A,8,8-CC,H,CC,PAL,RADS,0,0,75.06,75.06,RN1,A,M,,,,,F,,,,,,R,,,,,,,,,,R,F,R,,,,R,R,,,R,,,R,R,,,,F,F,,,R,,,,,,,,,,,,
320-U1334A-9H-2-W 105/107,320,U1334,A,9,9-2,H,2,W,105/107,105,107,78.3,78.32,RN1,A,G,1,,,,C,,,,,,R,,,,,,,,,,R,C,R,,,,R,,,,R,R,,R,F,,,,F,F,,,R,,,,,,,,,,,,
320-U1334A-9H-4-W 105/107,320,U1334,A,9,9-4,H,4,W,105/107,105,107,81.3,81.32,RN1,A,G,,,,,F,,,,,,R,,,,,,,,,,R,F,R,,,,R,R,,,R,,,R,F,,,R,R,R,,,R,,,,,,,,,,,,
320-U1334A-9H-CC-PAL-RADS,320,U1334,A,9,9-CC,H,CC,PAL,RADS,0,0,84.74,84.74,RN1,A,M,,,,,C,,,,,,R,,,,,,,,,,R,C,R,,,,R,R,,,R,,,R,F,,,R,R,R,,,R,,,,,,,,,,,,
320-U1334A-10H-2-W,320,U1334,A,10,10-2,H,2,W,,105,107,86.75,86.77,RN1,A,G,1,,,,F,,,,,,R,,,,,,,,,,R,R,R,,,,R,R,,,R,,,R,F,,,R,R,R,-,R,vR?,,,,,,,,,,,,
