Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Vulvulina spinosa	Uvigerina spp.	Unilocular species	Stilostomella rugosa	Stilostomella lepidula	Pleurostomella spp.	Osangularia mexicana	Oridorsalis umbonatus	Nuttallides truempyi	Gyroidinoides spp.	Globocassidulina sp.	Globocassidulina globosa	Gaudryina laevigata	Dentalina/Nodosaria spp.	Cibicidoides praemundulus	Cibicidoides havanensis	Cibicidoides grimsdalei	Cibicidoides eocaenus	Anomalinoides spissiformis	Anomalinoides semicribratus	Abyssamina quadrata	Siphonodosaria abyssorum	Spiroplectammina spectabilis	Lenticulina spp.	Cibicidoides hyphalus	Anomalinoides capitatus	Pullenia bulloides	Nuttallides umbonifera	Gyroidinoides girardanus	Cibicidoides subspiratus	Pyrulina spp.	Pullenia subcarinata	Gyroidinoides lamarckianus	Cibicidoides dohmi	Karreriella subglabra	Stilostomella subspinosa	Gyroidinoides planulatus	Buliminella carseyae	Buliminella beaumonti	Karreriella chapapotensis	Eggerella spp.	Heronallenia sp.	Ammodiscus sp.	Bathysiphon spp.	Recurvoides sp.	Pullenia osloensis	Anomalinoides pseudogrosserugosus	Martinottiella communis	Gyroidinoides soldanii	Glomospira gordialis	Cribrostomoides spp.	Arenobulimina sp.	Laticarinina pauperata	Glomospira sp.	Rhizammina sp.	Nodosarella rotundata	Epistominella exigua	Anomalinoides globulosus	Subreophax sp.	Comment



  IR	                 	                 	                  	              	199	1218	A	  5	H	CC	  19.00	     46.3500	nannos   	Benthic Foraminifers                         	F              	M                 	                 	              	F                 	                    	                      	F                  	                    	C                    	                    	R                 	F                   	                        	                   	                        	                         	                       	F                      	                     	                          	                           	                   	R                       	R                           	                	                     	                       	F                 	C                     	                        	                        	             	R                   	                          	F                 	R                    	R                       	                        	                    	                     	                         	R             	                	              	F               	               	                  	                                 	                       	                      	                    	                    	                 	                      	              	              	R                    	                    	                        	R             	       

  IR	                 	                 	                  	              	199	1218	A	  6	H	CC	   0.00	     55.3200	nannos   	Benthic Foraminifers                         	F              	M                 	                 	              	R                 	                    	F                     	F                  	                    	R                    	                    	                  	                    	                        	                   	                        	                         	                       	                       	                     	                          	                           	                   	R                       	                            	                	                     	                       	R                 	                      	                        	                        	R            	R                   	R                         	                  	                     	F                       	                        	                    	                     	                         	R             	                	              	                	               	F                 	                                 	                       	R                     	R                   	                    	                 	                      	              	              	                     	                    	R                       	              	       

  IR	                 	                 	                  	              	199	1218	A	  7	H	CC	  19.00	     65.7000	nannos   	Benthic Foraminifers                         	F              	M                 	R                	              	F                 	                    	                      	C                  	                    	C                    	                    	F                 	R                   	                        	                   	R                       	                         	R                      	R                      	                     	                          	                           	                   	F                       	                            	                	                     	                       	                  	F                     	                        	                        	             	R                   	                          	R                 	                     	F                       	                        	                    	                     	                         	              	                	              	F               	               	                  	                                 	                       	                      	                    	                    	                 	                      	              	              	R                    	                    	                        	              	       

  IR	                 	                 	                  	              	199	1218	A	  8	H	CC	  14.00	     74.1300	nannos   	Benthic Foraminifers                         	F              	M                 	                 	              	                  	                    	                      	F                  	                    	F                    	                    	                  	                    	                        	                   	                        	                         	                       	R                      	                     	                          	                           	                   	                        	                            	                	                     	                       	                  	                      	                        	                        	             	R                   	R                         	R                 	                     	F                       	                        	                    	                     	                         	R             	R               	              	                	               	F                 	                                 	                       	                      	                    	                    	                 	                      	              	              	                     	F                   	                        	              	       
