Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Cytherella sp.,Robsoniella cf. falklandensis,Cytherella bensoni,Arculicythere tumida,Krithe sp. sp.,Cytherelloidea cf. carnavonensis,Cytherella cf. atypica,Genus X sp.,Paramunsayella? exmouthensis,Hystricocythere sp.,Apateloschizocythere geniculata,Cytherella cf. jonesi,Karsteneis aspericava,Eucytherura ? aff. pyramidatus,Henryhowella? reticulata,Cytherella spp.,Actinocythereis orientalis orientalis,Bairdioidea (inspecified taxon or taxa),Cytheropteron spp.,Bythoceratina sp.,Bradleya ossa,Bythocythere sp.,Bradleya gr. johnsoni,Abyssocypris sp.,Krithe spp.,Actinocythereis orientalis,Poseidonamicus? sp.,Argillocea? sp.,Macrocypris? sp.,Henryhowella sp.,Rockallia sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C,  3,X, 1,  17.00,    179.6700,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,+              ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,+          ,                          ,                   ,+              ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C,  3,X,CC,  10.00,    185.3000,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,+              ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,+                         ,                   ,               ,                ,                ,             ,questionable identity of Cytherella spp.;  from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C,  4,X, 2,  21.00,    190.7100,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,+              ,                                     ,                                       ,                  ,                 ,+            ,                ,                     ,                ,+          ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C,  4,X, 4,  21.00,    193.7100,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,+              ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,+                         ,+                  ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
