Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis paenedehiscens	Sphaeroidinellopsis kochi	Neogloboquadrina humerosa	Neogloboquadrina acostaensis (dextral)	Globorotaloides hexagona	Globorotalia plesiotumida	Globorotalia margaritae	Globorotalia limbata	Globorotalia crassaformis crassaformis	Globoquadrina altispira	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinoides obliquus obliquus	Globigerinoides obliquus extremus	Globigerina nepenthes	Globigerina bulloides	Pulleniatina primalis	Neogloboquadrina pachyderma (dextral)	Globorotalia puncticulata	Globorotalia multicamerata	Globorotalia menardii	Globorotalia conomiozea	Globoquadrina venezuelana	Pulleniatina praecursor	Orbulina universa	Globorotalia scitula	Globorotalia miocenica	Globigerinoides conglobatus	Neogloboquadrina dutertrei	Neogloboquadrina continuosa	Globorotalia tumida tumida	Globigerinoides ruber (white)	Globigerinita glutinata	Globigerina falconensis	Globigerina decoraperta	Globorotalia exilis	Globorotalia crassula	Globigerinella calida	Neogloboquadrina pseudopima	Globorotalia tumida flexuosa	Sphaeroidinella dehiscens	Beella digitata	Globigerinoides sp. cf. G. fistulosus	Pulleniatina obliquiloculata	Globorotalia triangula	Candeina nitida	Globorotalia inflata	Globorotalia crassaformis viola	Globorotalia truncatulinoides	Globorotalia crassaformis hessi	Globorotalia ungulata	Globigerinoides ruber (pink)	Comment



  SR	                 	                 	G. truncatulinoides	              	108	 666	A	  1	H	 6	  61.00	      8.1800	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	                                  	                         	                         	                                      	R                       	                         	                       	                    	R                                     	                       	F                       	R                         	R                                	                                 	                     	                     	                     	                                     	                         	                          	R                    	                       	                         	                       	R                	R                   	                      	                           	R                         	                           	                          	C                            	C                      	R                      	                       	                   	                     	                     	R                          	                            	                         	               	                                     	R                           	                      	               	                    	                               	R                            	                               	R                    	R                           	sample with a large number of reworked species from ODP Leg 108 SR Chapter 5 Table 15 p 89

  SR	                 	                 	G. truncatulinoides	              	108	 666	A	  2	H	CC	  11.00	     17.6800	Weaver   	Planktonic Foraminifers                      	F              	P                 	                              	                                  	                         	                         	                                      	                        	                         	                       	                    	                                      	                       	P                       	P                         	                                 	                                 	                     	                     	                     	                                     	                         	                          	P                    	                       	                         	                       	P                	                    	                      	P                          	P                         	                           	                          	                             	                       	                       	                       	                   	                     	                     	                           	                            	P                        	               	                                     	P                           	                      	               	                    	                               	P                            	P                              	                     	                            	from ODP Leg 108 SR Chapter 5 Table 15 p 89

  SR	                 	                 	G. truncatulinoides	              	108	 666	A	  3	H	CC	  16.00	     27.2100	Weaver   	Planktonic Foraminifers                      	F              	P                 	                              	                                  	                         	                         	                                      	P                       	                         	                       	                    	P                                     	                       	P                       	P                         	                                 	                                 	                     	                     	                     	P                                    	                         	                          	                     	                       	                         	                       	P                	                    	                      	                           	P                         	                           	                          	P                            	P                      	                       	                       	                   	                     	                     	                           	                            	P                        	               	                                     	P                           	                      	               	P                   	                               	P                            	                               	                     	                            	from ODP Leg 108 SR Chapter 5 Table 15 p 89

  SR	                 	                 	G. truncatulinoides	              	108	 666	A	  4	H	 5	 126.00	     34.2600	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	                                  	                         	                         	                                      	R                       	                         	                       	                    	                                      	F                      	C                       	R                         	R                                	                                 	                     	                     	                     	                                     	                         	                          	                     	                       	                         	                       	F                	                    	R                     	                           	R                         	                           	                          	C                            	                       	                       	                       	R                  	R                    	                     	                           	                            	R                        	               	                                     	                            	                      	               	                    	                               	                             	                               	                     	                            	from ODP Leg 108 SR Chapter 5 Table 15 p 89
