Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Gephyrocapsa aperta,Cyclococcolithus leptoporus,Coccolithus pelagicus,Pseudoemiliania lacunosa,Gephyrocapsa oceanica,Helicosphaera carteri,Cyclococcolithus macintyrei,Discolithina japonica,Cyclococcolithus sp. cf. C. macintyrei,Cyclococcolithus sp. cf. C. leptoporus,Helicosphaera sellii,Emiliania sp. cf. E. huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN21              ,              ,112, 688,A,  1,H, 4,  91.00,      5.4100,Martini  ,Nannofossils                                 ,               ,M                 ,F                  ,R                          ,F                    ,                        ,R                    ,R                    ,                           ,                     ,                                      ,                                      ,                    ,R                           ,uncertain zonal assignment; from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN20              ,              ,112, 688,A,  1,H,CC,   0.00,      8.3000,Martini  ,Nannofossils                                 ,               ,P                 ,R                  ,R                          ,R                    ,                        ,R                    ,                     ,                           ,                     ,                                      ,                                      ,                    ,                            ,from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN20              ,              ,112, 688,A,  2,H,CC,  17.00,     18.0500,Martini  ,Nannofossils                                 ,               ,M                 ,C                  ,F                          ,F                    ,                        ,F                    ,C                    ,                           ,                     ,                                      ,                                      ,R                   ,                            ,reworked Miocene; from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN20              ,              ,112, 688,A,  3,H,CC,  15.00,     27.7200,Martini  ,Nannofossils                                 ,               ,M                 ,A                  ,F                          ,R                    ,                        ,C                    ,C                    ,                           ,                     ,                                      ,                                      ,R                   ,                            ,from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN20              ,              ,112, 688,A,  4,H,CC,  33.00,     37.1900,Martini  ,Nannofossils                                 ,               ,M                 ,C                  ,F                          ,                     ,                        ,F                    ,F                    ,                           ,                     ,                                      ,                                      ,                    ,                            ,from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN19              ,              ,112, 688,A,  5,H,CC,  20.00,     46.5500,Martini  ,Nannofossils                                 ,               ,M                 ,A                  ,F                          ,R                    ,C                       ,F                    ,F                    ,                           ,                     ,                                      ,                                      ,                    ,                            ,from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
