Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina senticosa,Uvigerina auberiana,Unilocular species,Melonis affinis,Eilohedra levicula,Bolivina costata,Pyrgo sp.,Pullenia bulloides,Oridorsalis umbonatus,Melonis pompilioides,Hoeglundina elegans,Cassidelina complanata,Pyrgo murrhyna,Pseudoparrella  exigua,Martinottiella communis,Astrononion schwageri,Hansenisca zealandica,Fontbotia wuellerstorfi,Ehrenbergina trigona,Cibicidoides cicatricosus,Karreriella bradyi,Cibicidoides mundulus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 688,A,  1,H,CC,   0.00,      8.3000,Resig    ,Benthic Foraminifers                         ,               ,                  ,C                  ,                   ,C                 ,C              ,F                 ,C               ,         ,C                 ,C                    ,C                   ,                   ,                      ,              ,F                     ,                       ,                     ,R                    ,                       ,                    ,                         ,R                 ,R                    ,from ODP Leg 112 SR Chapter 16 Table 10 p 290
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 688,A,  2,H,CC,  17.00,     18.0500,Resig    ,Benthic Foraminifers                         ,               ,                  ,A                  ,                   ,                  ,C              ,                  ,C               ,R        ,C                 ,                     ,A                   ,                   ,F                     ,              ,                      ,                       ,                     ,                     ,                       ,R                   ,                         ,                  ,                     ,from ODP Leg 112 SR Chapter 16 Table 10 p 290
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 688,A,  3,H,CC,  15.00,     27.7200,Resig    ,Benthic Foraminifers                         ,               ,                  ,A                  ,                   ,F                 ,C              ,                  ,C               ,         ,C                 ,F                    ,                    ,C                  ,F                     ,R             ,C                     ,R                      ,C                    ,F                    ,                       ,                    ,                         ,                  ,                     ,from ODP Leg 112 SR Chapter 16 Table 10 p 290
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 688,A,  4,H,CC,  33.00,     37.1900,Resig    ,Benthic Foraminifers                         ,               ,                  ,A                  ,                   ,F                 ,C              ,F                 ,F               ,         ,F                 ,F                    ,A                   ,F                  ,                      ,              ,C                     ,R                      ,                     ,F                    ,R                      ,R                   ,R                        ,                  ,                     ,from ODP Leg 112 SR Chapter 16 Table 10 p 290
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 688,A,  5,H,CC,  20.00,     46.5500,Resig    ,Benthic Foraminifers                         ,               ,                  ,A                  ,                   ,                  ,A              ,C                 ,C               ,         ,F                 ,F                    ,A                   ,A                  ,                      ,F             ,A                     ,R                      ,A                    ,                     ,                       ,                    ,                         ,                  ,                     ,from ODP Leg 112 SR Chapter 16 Table 10 p 290
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 688,A,  6,H,CC,   9.00,     56.3000,Resig    ,Benthic Foraminifers                         ,               ,                  ,C                  ,                   ,                  ,C              ,C                 ,A               ,         ,                  ,                     ,C                   ,                   ,C                     ,              ,                      ,                       ,                     ,                     ,                       ,                    ,                         ,                  ,                     ,from ODP Leg 112 SR Chapter 16 Table 10 p 290
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 688,A, 19,X,CC,  20.00,    176.9000,Resig    ,Benthic Foraminifers                         ,               ,                  ,A                  ,                   ,                  ,A              ,F                 ,C               ,F        ,F                 ,C                    ,F                   ,R                  ,                      ,              ,                      ,                       ,                     ,                     ,                       ,                    ,                         ,                  ,                     ,from ODP Leg 112 SR Chapter 16 Table 10 p 290
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 688,A, 29,X,CC,  23.00,    274.4500,Resig    ,Benthic Foraminifers                         ,               ,                  ,A                  ,C                  ,F                 ,C              ,C                 ,A               ,         ,                  ,                     ,                    ,                   ,                      ,              ,                      ,                       ,                     ,                     ,                       ,                    ,                         ,                  ,                     ,from ODP Leg 112 SR Chapter 16 Table 10 p 290
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
