Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiosira oestrupii,Thalassiosira antiqua,Thalassionema nitzschioides,Stephanopyxis spp.,Stephanopyxis dimorpha,Neodenticula seminae,Neodenticula koizumii,Neodenticula kamtschatica,Delphineis surirella,Aulacoseira spp.,Actinocyclus oculatus,Actinocyclus ochotensis,Actinocyclus curvatulus,Proboscia barboi,Proboscia alata,Coscinodiscus radiatus,Actinoptychus senarius,Pyxidicula horridus,Delphineis angustata,Thalassiosira eccentrica,Rhizosolenia hebetata,Fragilariopsis reinholdii,Coscinodiscus marginatus,Thalassiosira lineata,Fragilariopsis doliolus,Thalassiosira leptopus,Rhizosolenia styliformis,Hemidiscus cuneiformis,Proboscia curvirostris,Thalassiosira convexa,Thalassiosira jouseae,Thalassiothrix longissima,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1252,A,  1,H,CC,  20.00,      4.8900,Watanabe ,Diatoms                                      ,F              ,P                 ,T                      ,T                    ,F                          ,R                 ,F                     ,R                   ,                     ,                         ,                    ,R               ,+                    ,R                      ,R                      ,                ,               ,R                     ,R                     ,                   ,                    ,+                       ,                     ,                         ,R                       ,                     ,R                      ,                      ,                        ,T                     ,                      ,R                    ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1252,A,  2,H,CC,  25.00,     14.8800,Watanabe ,Diatoms                                      ,A              ,M                 ,                       ,                     ,R                          ,R                 ,A                     ,R                   ,                     ,                         ,                    ,                ,                     ,R                      ,                       ,                ,               ,                      ,                      ,                   ,+                   ,                        ,                     ,+                        ,+                       ,                     ,                       ,                      ,                        ,                      ,                      ,                     ,                     ,R                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1252,A,  3,H,CC,  22.00,     23.8400,Watanabe ,Diatoms                                      ,F              ,P                 ,                       ,                     ,R                          ,R                 ,F                     ,T                   ,                     ,                         ,                    ,+               ,+                    ,R                      ,+                      ,                ,               ,+                     ,R                     ,                   ,T                   ,                        ,                     ,                         ,R                       ,                     ,                       ,                      ,                        ,                      ,                      ,                     ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1252,A,  4,H,CC,  40.00,     33.7700,Watanabe ,Diatoms                                      ,C              ,P                 ,T                      ,                     ,R                          ,F                 ,C                     ,R                   ,                     ,                         ,                    ,                ,                     ,                       ,C                      ,                ,               ,                      ,R                     ,                   ,                    ,                        ,                     ,                         ,                        ,                     ,                       ,                      ,                        ,                      ,                      ,                     ,                     ,                         ,       
