Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Valvulineria laevigata	Uvigerina senticosa	Uvigerina peregrina	Uvigerina auberiana	Stilostomella spp.	Pyrgo spp.	Pullenia bulloides	Oridorsalis umbonatus	Nuttallides umbonifera	Nonionella atlantica	Nodosaria spp.	Melonis sp.	Melonis pompilioides	Melonis barleeanus	Lagena spp.	Hoeglundina elegans	Gyroidinoides spp.	Globocassidulina subglobosa	Globobulimina affinis	Gavelinopsis translucens	Fontbotia wuellerstorfi	Epistominella exigua	Elphidium spp.	Eggerella bradyi	Cibicidoides kullenbergi	Chilostomella oolina	Cassidulina crassa	Cassidulina carinata	Bulimina marginata	Bulimina gr. costata	Bulimina alazanensis	Bulimina aculeata	Brizalina subaenariensis	Bolivinita quadrilatera	Bolivina pseudopunctata	Bolivina paula	Comment



  IR	                 	                 	                  	              	172	1057	B	  1	H	CC	   9.00	      3.6500	Poli     	Benthic Foraminifers                         	T              	P                 	-                     	-                  	+                  	-                  	-                 	-         	-                 	-                    	-                     	-                   	-             	-          	-                   	-                 	-          	-                  	-                 	-                          	-                    	-                       	-                      	-                   	-             	-               	-                       	-                   	-                 	-                   	-                 	-                   	-                   	-                	-                       	-                      	-                      	+             	       

  IR	                 	                 	                  	              	172	1057	B	  3	H	CC	  16.00	     23.0300	Poli     	Benthic Foraminifers                         	F              	M                 	R                     	-                  	-                  	-                  	-                 	F         	R                 	-                    	-                     	-                   	-             	-          	-                   	-                 	R          	-                  	-                 	-                          	R                    	-                       	-                      	T                   	-             	-               	-                       	-                   	-                 	-                   	-                 	-                   	-                   	-                	R                       	-                      	R                      	F             	       

  IR	                 	                 	                  	              	172	1057	B	  4	H	CC	  20.00	     32.6200	Poli     	Benthic Foraminifers                         	R              	P                 	+                     	-                  	-                  	-                  	-                 	-         	-                 	-                    	-                     	-                   	-             	-          	+                   	-                 	-          	-                  	-                 	-                          	+                    	-                       	+                      	-                   	-             	-               	-                       	-                   	-                 	-                   	-                 	-                   	-                   	-                	-                       	+                      	-                      	-             	       

  IR	                 	                 	                  	              	172	1057	B	  5	H	CC	  28.00	     42.1700	Poli     	Benthic Foraminifers                         	F              	M                 	-                     	T                  	C                  	-                  	-                 	C         	-                 	-                    	-                     	-                   	-             	-          	R                   	-                 	-          	-                  	-                 	-                          	-                    	-                       	F                      	-                   	-             	-               	-                       	T                   	-                 	-                   	-                 	-                   	-                   	-                	-                       	C                      	-                      	-             	       

  IR	                 	                 	                  	              	172	1057	B	  6	H	CC	  24.00	     51.7200	Poli     	Benthic Foraminifers                         	F              	M                 	F                     	-                  	-                  	-                  	-                 	F         	-                 	-                    	-                     	R                   	-             	-          	T                   	-                 	-          	T                  	-                 	-                          	C                    	-                       	-                      	-                   	R             	-               	-                       	F                   	-                 	-                   	-                 	-                   	F                   	-                	F                       	C                      	F                      	-             	       

