Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Gephyrocapsa lumina,Emiliania huxleyi,Gephyrocapsa medium-sized,Comment
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B,  1,H,CC,  28.00,      9.5600,Watanabe ,Nannofossils                                 ,               ,                  ,                   ,+                ,+                        ,       
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B,  3,H,CC,  21.00,     27.6300,Watanabe ,Nannofossils                                 ,               ,                  ,+                  ,+                ,                         ,       
,,,,,,,,,,,,,,,,,,,,
