Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Turborotalia cerroazulensis cocoaensis	Subbotina linaperta	Subbotina eocaena	Pseudohastigerina micra	Morozovella aragonensis	Hantkenina alabamensis	Globigerina corpulenta	Catapsydrax dissimilis	Acarinina bullbrooki	Globigerinatheka mexicana mexicana	Turborotalia cerroazulensis pomeroli	Subbotina euapertura	Morozovella spinulosa	Globorotaloides carcoselleensis	Globigerinatheka mexicana cf. barri	Pseudohastigerina naguewichiensis	Cribrohantkenina inflata	Globigerina sp. A	Globigerina praeturritilina	Globigerina tripartita	Comment



  SR	                 	                 	                  	              	125	 786	A	 10	X	 5	  33.00	     92.7300	Milner   	Planktonic Foraminifers                      	               	G                 	                                      	                   	C                	                       	                       	                      	F                     	F                     	                    	                                  	                                    	C                   	                     	                               	                                   	                                 	                        	                 	F                          	R                     	Total number of species = 7. from 125SR. Chapter 4. Table 1. page 73.

  SR	                 	                 	                  	              	125	 786	A	 10	X	 6	  51.00	     94.4100	Milner   	Planktonic Foraminifers                      	               	G                 	R                                     	                   	F                	                       	                       	                      	F                     	F                     	                    	                                  	                                    	F                   	                     	                               	                                   	R                                	                        	R                	F                          	                      	Total number of species = 10. from 125SR. Chapter 4. Table 1. page 73.

  SR	                 	                 	                  	              	125	 786	A	 10	X	CC	  38.00	     94.8800	Milner   	Planktonic Foraminifers                      	               	M                 	F                                     	F                  	C                	R                      	                       	F                     	C                     	F                     	                    	                                  	                                    	C                   	                     	                               	                                   	R                                	R                       	                 	                           	                      	Total number of species = 11. from 125SR. Chapter 4. Table 1. page 73.

  SR	                 	                 	                  	              	125	 786	A	 11	X	 1	   8.00	     96.0800	Milner   	Planktonic Foraminifers                      	               	M                 	A                                     	C                  	C                	R                      	                       	F                     	C                     	R                     	                    	                                  	                                    	F                   	                     	                               	                                   	                                 	                        	                 	                           	                      	Total number of species = 9. from 125SR. Chapter 4. Table 1. page 73.

  SR	                 	                 	                  	              	125	 786	A	 11	X	 1	 100.00	     97.0000	Milner   	Planktonic Foraminifers                      	               	P                 	C                                     	C                  	C                	F                      	                       	F                     	C                     	F                     	                    	                                  	C                                   	C                   	                     	                               	                                   	                                 	                        	                 	                           	                      	Total number of species = 10. from 125SR. Chapter 4. Table 1. page 73.

  SR	                 	                 	                  	              	125	 786	A	 11	X	 3	 116.00	    100.1600	Milner   	Planktonic Foraminifers                      	               	M                 	C                                     	C                  	C                	F                      	                       	F                     	C                     	R                     	                    	F                                 	C                                   	C                   	                     	                               	F                                  	                                 	                        	                 	                           	                      	Total number of species = 12. from 125SR. Chapter 4. Table 1. page 73.

  SR	                 	                 	                  	              	125	 786	A	 11	X	 4	  71.00	    101.2100	Milner   	Planktonic Foraminifers                      	               	M                 	C                                     	C                  	F                	F                      	                       	R                     	C                     	R                     	                    	F                                 	C                                   	F                   	F                    	R                              	F                                  	                                 	                        	                 	                           	                      	Total number of species = 13. from 125SR. Chapter 4. Table 1. page 73.

  SR	                 	                 	                  	              	125	 786	A	 11	X	CC	  36.00	    104.8800	Milner   	Planktonic Foraminifers                      	               	M                 	                                      	C                  	F                	F                      	F                      	R                     	R                     	R                     	F                   	F                                 	                                    	                    	                     	                               	                                   	                                 	                        	                 	                           	                      	C.dissimilis G.corpulenta H.alabamensis reported as questionable. Total number of species = 10. from 125SR. Chapter 4. Table 1. page 73.

  SR	                 	                 	                  	              	125	 786	A	 12	X	CC	  36.00	    107.9400	Milner   	Planktonic Foraminifers                      	               	M                 	F                                     	C                  	F                	F                      	F                      	R                     	R                     	R                     	C                   	                                  	                                    	                    	                     	                               	                                   	                                 	                        	                 	                           	                      	C.dissimilis G.corpulenta reported as questionable. Total number of species = 10. from 125SR. Chapter 4. Table 1. page 73.

