Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globorotaloides suteri	Globoquadrina tripartita	Catapsydrax dissimilis ciperoensis	Tenuitella clemenciae	Globoquadrina venezuelana	Globoquadrina tapuriensis	Globoquadrina praedehiscens	Paragloborotalia siakensis	Paragloborotalia kugleri	Paragloborotalia continuosa	Tenuitella gemma	Paragloborotalia pseudokugleri	Paragloborotalia mayeri	Globigerina prasaepis	Globigerina ciperoensis	Globoquadrina sellii	Tenuitellinata angustiumbilicata	Globoquadrina dehiscens	Globigerinoides trilobus	Globigerinella praesiphonifera	Chiloguembelina cubensis	Comment



  IR	                 	                 	                  	              	199	1218	B	  9	H	 3	  63.00	     74.0300	planks   	Planktonic Foraminifers                      	C              	M                 	                      	                        	                                  	                     	F                        	                         	R                          	                          	A                       	                           	                	                              	F                      	                     	                       	F                   	F                               	                       	                        	                              	P                       	       

  IR	                 	                 	                  	              	199	1218	B	  9	H	 4	  63.00	     75.5300	planks   	Planktonic Foraminifers                      	C              	M                 	                      	                        	                                  	R                    	F                        	                         	R                          	                          	F                       	R                          	                	                              	F                      	                     	                       	                    	R                               	F                      	R                       	F                             	                        	       

  IR	                 	                 	                  	              	199	1218	B	  9	H	 5	  63.00	     77.0300	planks   	Planktonic Foraminifers                      	F              	M                 	                      	R                       	R                                 	                     	F                        	R                        	                           	                          	                        	R                          	                	R                             	R                      	                     	                       	R                   	                                	                       	                        	                              	                        	       

  IR	                 	                 	                  	              	199	1218	B	  9	H	 6	  63.00	     78.5300	planks   	Planktonic Foraminifers                      	               	P                 	                      	                        	                                  	                     	                         	                         	+                          	                          	                        	                           	                	                              	                       	                     	                       	                    	                                	                       	                        	                              	                        	       

  IR	                 	                 	                  	              	199	1218	B	  9	H	 7	  63.00	     80.0100	planks   	Planktonic Foraminifers                      	F              	P                 	                      	                        	                                  	                     	R                        	                         	R                          	                          	                        	R                          	                	                              	R                      	                     	R                      	                    	                                	                       	                        	                              	                        	       

  IR	                 	                 	                  	              	199	1218	B	 10	H	 3	 125.00	     84.1500	planks   	Planktonic Foraminifers                      	R              	M                 	                      	P                       	R                                 	                     	R                        	                         	R                          	R                         	                        	R                          	P               	P                             	R                      	F                    	                       	                    	                                	                       	                        	                              	                        	       

  IR	                 	                 	                  	              	199	1218	B	 10	H	 4	 125.00	     85.6500	planks   	Planktonic Foraminifers                      	F              	M                 	R                     	R                       	A                                 	R                    	                         	                         	                           	A                         	A                       	F                          	                	                              	                       	                     	                       	                    	                                	                       	                        	                              	                        	       

  IR	                 	                 	                  	              	199	1218	B	 10	H	 5	 125.00	     87.1500	planks   	Planktonic Foraminifers                      	R              	P                 	                      	R                       	R                                 	R                    	R                        	R                        	R                          	                          	                        	                           	                	                              	                       	                     	                       	                    	                                	                       	                        	                              	                        	       

  IR	                 	                 	                  	              	199	1218	B	 10	H	 6	 125.00	     88.6500	planks   	Planktonic Foraminifers                      	R              	P                 	R                     	R                       	R                                 	                     	                         	                         	                           	                          	                        	                           	                	                              	                       	                     	                       	                    	                                	                       	                        	                              	                        	       

