Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Distephanus speculum speculum,Dictyocha varia,Dictyocha epiodon,Actiniscus pentasterias s.l.,Mesocena elliptica,Actiniscus cf. elongatus,Hermesinella conata,Distephanus crux crux,Paramesocena circulus apiculata,Naviculopsis lata,Naviculopsis biapiculata,Ebriopsis crenulata,Corbisema triacantha,Corbisema hexacantha,Naviculopsis constricta,Dictyocha medusa,Dictyocha fibula fibula,Distephanus sp. 1,Mesocena quadrangula,Dictyocha messanensis stapedia,Dictyocha messanensis aculeata,Distephanus sp. 2,Dictyocha perlaevis perlaevis,Distephanus bioctonarius bioctonarius,Dictyocha messaensis m. aspinosa,Distephanus speculum  pentagonus,Distephanus bioctonarius binonarius,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. mess. aculeata ,              ,112, 685,A,  1,H,CC,  10.00,      4.1200,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,               ,                 ,R                           ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,                              ,R                             ,                 ,                             ,                                     ,F                               ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. mess. aculeata ,              ,112, 685,A,  2,H,CC,   5.00,     13.7300,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                            ,               ,                 ,                            ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,R                             ,                              ,                 ,F                            ,R                                    ,F                               ,                                ,R                                  ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. mess. aculeata ,              ,112, 685,A,  3,H,CC,  11.00,     23.3600,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                            ,               ,                 ,R                           ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,R                             ,R                             ,                 ,F                            ,R                                    ,C                               ,R                               ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. mess. aculeata ,              ,112, 685,A,  4,H,CC,  16.00,     33.1700,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,               ,                 ,                            ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,F                               ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
