Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Oligosphaeridium spp.,Leptodinium eumorphum,Fromea cylindrica,Egmontodinium torynum,Cribroperidinium spp.,Batioladinium reticulatum,Apteodinium granulatum,Systematophora areolata,Tubotuberella vlamingii,Impagidinium spp.,Phoberocysta neocomica,Stelladinium spp.,Muderongia testudinaria,Muderongia australis,Dingodinium cerviculum,Muderongia tetracantha,Kaiwaradinium scrutillinum,Belodinium dysculum,Circulodinium deflandrei,Cassiculosphaeridia magna,Herendeenia postprojecta,Epitricysta vinckensis,Ovoidinium cinctum,Carpodinium granulatum,Odontochitina operculata,Muderongia macwhaei,Batioladinium micropodum,Circulodinium colliveri,Atlantodinium sp. A,Yalkalpodinium scutum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Aptian           ,                 ,2biii             ,              ,122, 763,B, 39,X, 1,  47.00,    541.9700,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,                     ,                 ,                     ,                     ,                         ,                      ,                       ,                       ,                 ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,A                      ,                   ,R                    ,zone assignment uncertain; from ODP Leg 122 SR Ch 31 Fig 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Aptian           ,                 ,2biii             ,              ,122, 763,B, 40,X, 1,  50.00,    551.5000,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,                     ,                 ,                     ,                     ,                         ,                      ,                       ,                       ,                 ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,A                      ,                   ,R                    ,zone assignment uncertain; from ODP Leg 122 SR Ch 31 Fig 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Aptian           ,                 ,2biii             ,              ,122, 763,B, 40,X, 2,  50.00,    553.0000,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,                     ,                 ,                     ,                     ,                         ,                      ,                       ,                       ,                 ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,A                      ,                   ,R                    ,zone assignment uncertain; from ODP Leg 122 SR Ch 31 Fig 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Aptian           ,                 ,2c                ,              ,122, 763,B, 41,X, 1,  47.00,    560.9700,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                    ,                     ,                 ,                     ,                     ,                         ,+                     ,                       ,                       ,+                ,                      ,+                ,                       ,+                   ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,+                       ,                   ,                        ,                       ,+                  ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
