Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spiniferites ramosus	Operculodinium sp. A	Manumiella druggii	Isabelidinium spp.	Impagidinium spp. (pars)	Elytrocysta spp.	Acanthaulax wilsonii	Palaeocystodinium spp.	Lejeunecysta spp.	Hystrichosphaeridium tubiferum	Cerodinium spp.	Cassidium fragile	Alterbidinium spp.	Trithyrodinium evittii	Glaphyrocysta ordinata	Cerodinium boloniensis	Alisocysta reticulata	Glaphyrocysta retiintexta	Impagidinium maculatum	Alisocysta circumtabulata	Systematophora placacantha	Pyxidinopsis waipawaensis	Operculodinium centrocarpum	Cordosphaeridium fibrospinosum	Impagidinium dispertitum	Deflandrea phosphoritica group	Wilsonidinium ornatum	Octodinium askiniae	Impagidinium waipawaensis	Hystrichokolpoma spinosum	Hystrichokolpoma rigaudiae	Homotryblium tenuispinosum	Eocladopyxis sp.	Dinopterygium cladoides	Cribroperidinium spp.	Comment



  IR	                 	                 	                  	              	189	1172	D	 12	R	CC	  23.00	    584.2700	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	A              	G                 	19                  	8                   	                  	                  	                        	                	                    	1                     	1                	1                             	               	                 	4                 	                      	                      	                      	                     	                         	                      	                         	3                         	6                        	5                          	1                             	5                       	40                            	1                    	1                  	1                        	1                        	1                         	1                         	13              	1                      	2                    	       

  IR	                 	                 	                  	              	189	1172	D	 13	R	CC	   0.00	    593.6300	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	F              	M                 	1                   	1                   	                  	                  	                        	                	                    	                      	                 	1                             	               	                 	                  	                      	                      	                      	                     	                         	                      	                         	                          	1                        	                           	1                             	                        	1                             	                     	                   	                         	                         	                          	                          	                	                       	                     	       

  IR	                 	                 	                  	              	189	1172	D	 19	R	CC	  23.00	    645.9100	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	R              	M                 	1                   	                    	                  	                  	                        	1               	                    	                      	                 	1                             	1              	                 	                  	                      	                      	                      	                     	                         	1                     	                         	                          	                         	                           	                              	1                       	1                             	                     	                   	                         	                         	                          	                          	                	                       	                     	       

  IR	                 	                 	                  	              	189	1172	D	 20	R	CC	   7.00	    660.8500	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	A              	G                 	2                   	3                   	                  	3                 	                        	1               	                    	                      	1                	2                             	9              	                 	6                 	                      	50                    	1                     	                     	17                       	                      	                         	2                         	1                        	1                          	2                             	                        	                              	                     	                   	                         	                         	                          	                          	                	                       	                     	       

  IR	                 	                 	                  	              	189	1172	D	 21	R	CC	   5.00	    667.2000	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	C              	M                 	1                   	                    	                  	                  	                        	1               	                    	1                     	1                	1                             	1              	                 	1                 	                      	16                    	1                     	                     	1                        	1                     	1                        	                          	                         	                           	                              	                        	                              	                     	                   	                         	                         	                          	                          	                	                       	                     	       

  IR	                 	                 	                  	              	189	1172	D	 22	R	CC	  17.00	    673.0300	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	A              	G                 	1                   	                    	                  	                  	                        	                	                    	1                     	                 	1                             	1              	                 	1                 	                      	180                   	1                     	                     	20                       	                      	                         	                          	                         	                           	                              	                        	                              	                     	                   	                         	                         	                          	                          	                	                       	                     	       

  IR	                 	                 	                  	              	189	1172	D	 23	R	CC	  28.00	    682.0600	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	F              	M                 	3                   	                    	                  	                  	1                       	1               	                    	1                     	                 	3                             	10             	                 	F30               	1                     	30                    	2                     	4                    	                         	                      	                         	                          	                         	                           	                              	                        	                              	                     	                   	                         	                         	                          	                          	                	                       	                     	       

  IR	                 	                 	                  	              	189	1172	D	 24	R	CC	   0.00	    699.0200	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	F              	M                 	2                   	                    	22                	                  	1                       	                	                    	1                     	2                	1                             	7              	1                	5                 	                      	                      	                      	                     	                         	                      	                         	                          	                         	                           	                              	                        	                              	                     	                   	                         	                         	                          	                          	                	                       	                     	       

  IR	                 	                 	                  	              	189	1172	D	 25	R	CC	  14.00	    709.1700	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	F              	M                 	1                   	1                   	25                	                  	                        	                	                    	                      	                 	                              	               	                 	                  	                      	                      	                      	                     	                         	                      	                         	                          	                         	                           	                              	                        	                              	                     	                   	                         	                         	                          	                          	                	                       	                     	       

  IR	                 	                 	                  	              	189	1172	D	 31	R	CC	  17.00	    766.1400	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	F              	G                 	1                   	6                   	50                	10                	15                      	1               	1                   	                      	                 	                              	               	                 	                  	                      	                      	                      	                     	                         	                      	                         	                          	                         	                           	                              	                        	                              	                     	                   	                         	                         	                          	                          	                	                       	                     	       

