Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeaglobigerina nepenthes	Sphaeroidinellopsis seminulina	Orbulina universa	Globorotalia pseudopima	Globorotalia miotumida r.c.	Globoquadrina dehiscens	Globigerina bulloides	Paragloborotalia mayeri	Bolboforma pentaspinosa	Globorotalia miotumida	Zeaglobigerina woodi	Neogloboquadrina continuosa	Neogloboquadrina pachyderma	Globorotalia scitula	Globigerinoides trilobus	Zeaglobigerina decoraperta	Globorotalia partimlabiata	Globorotalia miotumida conoidea	Catapsydrax parvulus	Globigerinoides quadrilobatus	Bolboforma aff. metzmacheri	Globigerina quinqueloba	Globorotalia menardii	Globorotalia juanai	Globorotalia explicationis	Neogloboquadrina acostaensis	Globigerina falconensis	Globorotalia sphericomiozea	Globorotalia pliozea	Globorotalia mons	Globorotalia puncticulata	Globorotalia crassaformis	Globigerinella aequilateralis	Comment



  IR	                 	                 	                  	              	181	1125	B	 23	X	CC	  19.00	    216.1700	forams   	Planktonic Foraminifers                      	C              	VG                	                        	                              	R                	                       	                           	                       	R                    	                       	                       	                      	                    	                           	A                          	                    	                        	                          	                          	                               	                    	                             	                           	                       	                     	                   	                          	                            	                       	                           	F                   	P                	F                        	F                        	                             	       

  IR	                 	                 	                  	              	181	1125	B	 25	X	CC	   9.00	    234.7200	forams   	Planktonic Foraminifers                      	C              	VG                	                        	                              	R                	                       	                           	                       	R                    	                       	                       	                      	                    	                           	A                          	R                   	                        	                          	                          	                               	                    	                             	                           	                       	                     	                   	                          	                            	                       	P                          	F                   	P                	R                        	R                        	P                            	       

  IR	                 	                 	                  	              	181	1125	B	 26	X	CC	  17.00	    245.2200	forams   	Planktonic Foraminifers                      	C              	VG                	                        	                              	R                	                       	                           	                       	R                    	                       	                       	F                     	R                   	                           	F                          	R                   	                        	                          	                          	                               	                    	                             	                           	                       	                     	R                  	                          	R                           	                       	                           	F                   	F                	                         	                         	                             	       

  IR	                 	                 	                  	              	181	1125	B	 27	X	CC	  19.00	    253.8500	forams   	Planktonic Foraminifers                      	A              	VG                	                        	                              	F                	                       	                           	                       	F                    	                       	                       	F                     	                    	                           	A                          	R                   	                        	                          	                          	                               	                    	                             	                           	R                      	                     	R                  	                          	                            	                       	R                          	                    	R                	                         	                         	                             	       

  IR	                 	                 	                  	              	181	1125	B	 29	X	CC	  23.00	    273.9900	forams   	Planktonic Foraminifers                      	A              	G                 	                        	                              	P                	                       	                           	                       	R                    	                       	                       	A                     	R                   	                           	A                          	P                   	                        	                          	                          	                               	                    	                             	                           	                       	                     	                   	                          	                            	                       	F                          	P                   	F                	                         	                         	                             	       

  IR	                 	                 	                  	              	181	1125	B	 31	X	CC	  28.00	    288.2800	forams   	Planktonic Foraminifers                      	A              	G                 	                        	                              	P                	                       	                           	                       	F                    	                       	                       	A                     	R                   	                           	A                          	P                   	                        	                          	                          	                               	                    	                             	                           	F                      	                     	P                  	                          	                            	F                      	                           	                    	                 	                         	                         	                             	       

