Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia crassaformis	Menardella miocenica	Hirsutella hirsuta	Globoturborotalita woodi	Globigerinoides extremus	Globigerina falconensis	Sphaeroidinellopsis paenedehiscens	Sphaeroidinella dehiscens	Globigerinoides obliquus	Dentoglobigerina altispira	Globoquadrina venezuelana	Globoconella puncticulata	Neogloboquadrina pachyderma	Globoturborotalita rubescens	Globoconella inflata	Globoturborotalita apertura	Globigerina bulloides	Truncorotalia crassaformis hessi	Globigerina quinqueloba	Pulleniatina obliquiloculata	Truncorotalia crassula	Truncorotalia truncatulinoides (dex.)	Sphaeroidinellopsis seminulina	Truncorotalia truncatulinoides (sin.)	Globorotalia tumida	Menardella menardii (sinistral)	Globorotalia tumida flexuosa	Truncorotalia tosaensis	Comment	 
																																														
																																														
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	1	H	CC	10	5.28	Chaisson 	Planktonic Foraminifers                      	C              	G                 	                          	                    	+                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	F                   	                           	                     	                                	                       	                            	                      	F                                    	                              	R                                    	                   	                               	                            	                       	       	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	2	H	CC	0	13.6	Chaisson 	Planktonic Foraminifers                      	C              	G                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	F                                    	                              	                                     	                   	                               	                            	                       	ostracodes abundant inflata very abundant -> dissolution	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	3	H	CC	0	24.44	Chaisson 	Planktonic Foraminifers                      	F              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	R                          	                            	A                   	                           	                     	                                	                       	                            	                      	                                     	                              	R                                    	                   	                               	                            	                       	pyrite	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	4	H	1	69	24.99	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                    	F                 	                        	                        	F                      	                                  	                         	                        	                          	                         	                         	                           	R                           	F                   	                           	F                    	                                	                       	R                           	                      	F                                    	                              	R                                    	R                  	                               	                            	                       	rads present	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	4	H	3	70	28	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                    	F                 	                        	                        	F                      	                                  	                         	                        	                          	                         	                         	                           	R                           	+                   	                           	F                    	                                	                       	R                           	                      	F                                    	                              	F                                    	                   	                               	                            	                       	       	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	4	H	4	70	29.5	Chaisson 	Planktonic Foraminifers                      	R              	M                 	                          	                    	                  	                        	                        	F                      	                                  	                         	                        	                          	                         	                         	R                          	                            	F                   	                           	R                    	                                	                       	                            	                      	                                     	                              	R                                    	                   	                               	                            	                       	rare rads	
																																														
