Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Actinoptychus senarius,Thalassiosira oestrupii,Thalassionema nitzschioides,Rhizosolenia praebergonii var. robusta,Pseudoeunotia doliolus,Nitzschia marina,Azpeitia nodulifera,Nitzschia fossilis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,P. doliolus   ,170,1040,B,  4,X,CC,  24.00,     19.4400,White    ,Diatoms                                      ,C              ,M                 ,                      ,R                      ,C                          ,rR                                    ,F                     ,R               ,                   ,rR                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,P. doliolus   ,170,1040,B,  6,X,CC,  33.00,     39.0100,White    ,Diatoms                                      ,R              ,P                 ,R                     ,R                      ,R                          ,                                      ,                      ,                ,R                  ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,170,1040,B,  7,X,CC,  51.00,     46.5000,White    ,Diatoms                                      ,B              ,                  ,R                     ,                       ,                           ,                                      ,                      ,                ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,P. doliolus   ,170,1040,B,  9,X,CC,  30.00,     73.0400,White    ,Diatoms                                      ,C              ,P                 ,                      ,C                      ,R                          ,rR                                    ,R                     ,F               ,R                  ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Late Pliocene    ,                  ,              ,170,1040,B, 15,X,CC,  27.00,    120.8600,White    ,Diatoms                                      ,R              ,P                 ,R                     ,                       ,                           ,                                      ,                      ,                ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,
